Model: yoshitomo-matsubara/bert-large-uncased-cola  Arch: bert  Layers: 24
Magnitude bins: 13 bins from 1e-08 to 1e+05

Probe: input_ids (Input IDs)  [global]
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  All      1,094,528    91.151     8.849     8.849  |   0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.57    6.66    0.62

Probe: after_embed (After Embedding)  [global]
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  All  1,120,796,672     0.000     3.756     0.000  |   0.00    0.00    0.00    0.02    0.15    1.70   16.61   77.76    3.76    0.00    0.00    0.00    0.00

Probe: query_proj (XW_q + b_q)
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0      1,120,796,672     0.000    22.048     0.000  |   0.00    0.00    0.00    0.01    0.10    0.98    9.40   67.46   22.05    0.00    0.00    0.00    0.00
  L1      1,120,796,672     0.000    35.112     0.000  |   0.00    0.00    0.00    0.01    0.07    0.67    6.69   57.45   35.11    0.00    0.00    0.00    0.00
  L2      1,120,796,672     0.000    21.148     0.000  |   0.00    0.00    0.00    0.01    0.10    0.96    9.57   68.21   21.15    0.00    0.00    0.00    0.00
  L3      1,120,796,672     0.000    20.534     0.000  |   0.00    0.00    0.00    0.01    0.10    1.03   10.21   68.12   20.53    0.00    0.00    0.00    0.00
  L4      1,120,796,672     0.000    20.982     0.000  |   0.00    0.00    0.00    0.01    0.10    0.97    9.70   68.23   20.98    0.00    0.00    0.00    0.00
  L5      1,120,796,672     0.000    14.770     0.000  |   0.00    0.00    0.00    0.01    0.12    1.18   11.71   72.21   14.77    0.00    0.00    0.00    0.00
  L6      1,120,796,672     0.000    12.358     0.000  |   0.00    0.00    0.00    0.01    0.14    1.43   14.15   71.91   12.36    0.00    0.00    0.00    0.00
  L7      1,120,796,672     0.000     9.756     0.000  |   0.00    0.00    0.00    0.01    0.15    1.46   14.33   74.30    9.76    0.00    0.00    0.00    0.00
  L8      1,120,796,672     0.000     9.648     0.000  |   0.00    0.00    0.00    0.02    0.15    1.52   14.99   73.67    9.65    0.00    0.00    0.00    0.00
  L9      1,120,796,672     0.000    13.766     0.000  |   0.00    0.00    0.00    0.01    0.13    1.30   12.94   71.85   13.77    0.00    0.00    0.00    0.00
  L10     1,120,796,672     0.000    19.582     0.000  |   0.00    0.00    0.00    0.01    0.11    1.11   11.06   68.12   19.58    0.00    0.00    0.00    0.00
  L11     1,120,796,672     0.000    25.603     0.000  |   0.00    0.00    0.00    0.01    0.09    0.90    8.95   64.44   25.60    0.00    0.00    0.00    0.00
  L12     1,120,796,672     0.000    28.846     0.000  |   0.00    0.00    0.00    0.01    0.08    0.80    7.98   62.28   28.85    0.00    0.00    0.00    0.00
  L13     1,120,796,672     0.000    31.851     0.000  |   0.00    0.00    0.00    0.01    0.07    0.74    7.33   60.00   31.85    0.00    0.00    0.00    0.00
  L14     1,120,796,672     0.000    30.750     0.000  |   0.00    0.00    0.00    0.01    0.08    0.76    7.57   60.83   30.75    0.00    0.00    0.00    0.00
  L15     1,120,796,672     0.000    31.321     0.000  |   0.00    0.00    0.00    0.01    0.08    0.75    7.49   60.35   31.32    0.00    0.00    0.00    0.00
  L16     1,120,796,672     0.000    33.405     0.000  |   0.00    0.00    0.00    0.01    0.07    0.71    7.08   58.73   33.41    0.00    0.00    0.00    0.00
  L17     1,120,796,672     0.000    35.051     0.000  |   0.00    0.00    0.00    0.01    0.07    0.68    6.83   57.36   35.05    0.00    0.00    0.00    0.00
  L18     1,120,796,672     0.000    35.239     0.000  |   0.00    0.00    0.00    0.01    0.07    0.69    6.87   57.13   35.24    0.00    0.00    0.00    0.00
