Model: assemblyai/bert-large-uncased-sst2  Arch: bert  Layers: 24
Magnitude bins: 13 bins from 1e-08 to 1e+05

Probe: input_ids (Input IDs)  [global]
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  All      8,620,672    89.594    10.406    10.406  |   0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.56    7.50    1.35

Probe: after_embed (After Embedding)  [global]
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  All  8,827,568,128     0.000     3.830     0.000  |   0.00    0.00    0.00    0.01    0.17    1.69   16.67   77.63    3.83    0.00    0.00    0.00    0.00

Probe: query_proj (XW_q + b_q)
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0      8,827,568,128     0.000    21.710     0.000  |   0.00    0.00    0.00    0.01    0.10    0.94    9.50   67.73   21.71    0.00    0.00    0.00    0.00
  L1      8,827,568,128     0.000    35.245     0.000  |   0.00    0.00    0.00    0.01    0.07    0.68    6.74   57.26   35.24    0.00    0.00    0.00    0.00
  L2      8,827,568,128     0.000    21.417     0.000  |   0.00    0.00    0.00    0.01    0.10    0.98    9.71   67.79   21.42    0.00    0.00    0.00    0.00
  L3      8,827,568,128     0.000    20.365     0.000  |   0.00    0.00    0.00    0.01    0.10    1.03   10.29   68.20   20.37    0.00    0.00    0.00    0.00
  L4      8,827,568,128     0.000    18.015     0.000  |   0.00    0.00    0.00    0.01    0.11    1.09   10.87   69.90   18.01    0.00    0.00    0.00    0.00
  L5      8,827,568,128     0.000    15.306     0.000  |   0.00    0.00    0.00    0.01    0.12    1.16   11.52   71.90   15.31    0.00    0.00    0.00    0.00
  L6      8,827,568,128     0.000    12.368     0.000  |   0.00    0.00    0.00    0.01    0.14    1.40   13.82   72.26   12.37    0.00    0.00    0.00    0.00
  L7      8,827,568,128     0.000    10.686     0.000  |   0.00    0.00    0.00    0.01    0.15    1.48   14.52   73.15   10.69    0.00    0.00    0.00    0.00
  L8      8,827,568,128     0.000    15.538     0.000  |   0.00    0.00    0.00    0.01    0.11    1.15   11.42   71.76   15.54    0.00    0.00    0.00    0.00
  L9      8,827,568,128     0.000    23.252     0.000  |   0.00    0.00    0.00    0.01    0.10    0.97    9.63   66.04   23.25    0.00    0.00    0.00    0.00
  L10     8,827,568,128     0.000    32.569     0.000  |   0.00    0.00    0.00    0.01    0.07    0.74    7.33   59.28   32.57    0.00    0.00    0.00    0.00
  L11     8,827,568,128     0.000    44.267     0.000  |   0.00    0.00    0.00    0.01    0.06    0.56    5.57   49.54   44.27    0.00    0.00    0.00    0.00
  L12     8,827,568,128     0.000    44.599     0.000  |   0.00    0.00    0.00    0.01    0.06    0.55    5.53   49.26   44.60    0.00    0.00    0.00    0.00
  L13     8,827,568,128     0.000    30.837     0.000  |   0.00    0.00    0.00    0.01    0.08    0.77    7.70   60.60   30.84    0.00    0.00    0.00    0.00
  L14     8,827,568,128     0.000    32.370     0.000  |   0.00    0.00    0.00    0.01    0.07    0.72    7.16   59.68   32.37    0.00    0.00    0.00    0.00
  L15     8,827,568,128     0.000    28.593     0.000  |   0.00    0.00    0.00    0.01    0.08    0.78    7.80   62.74   28.59    0.00    0.00    0.00    0.00
  L16     8,827,568,128     0.000    33.097     0.000  |   0.00    0.00    0.00    0.01    0.07    0.69    6.93   59.20   33.10    0.00    0.00    0.00    0.00
  L17     8,827,568,128     0.000    37.843     0.000  |   0.00    0.00    0.00    0.01    0.06    0.65    6.45   54.99   37.84    0.00    0.00    0.00    0.00
  L18     8,827,568,128     0.000    31.234     0.000  |   0.00    0.00    0.00    0.01    0.08    0.77    7.66   60.25   31.23    0.00    0.00    0.00    0.00
  L19     8,827,568,128     0.000    34.239     0.000  |   0.00    0.00    0.00    0.01    0.07    0.72    7.12   57.84   34.24    0.00    0.00    0.00    0.00
  L20     8,827,568,128     0.000    37.205     0.000  |   0.00    0.00    0.00    0.01    0.07    0.69    6.79   55.23   37.20    0.00    0.00    0.00    0.00
  L21     8,827,568,128     0.000    30.479     0.000  |   0.00    0.00    0.00    0.01    0.08    0.83    8.26   60.34   30.48    0.00    0.00    0.00    0.00
  L22     8,827,568,128     0.000    28.716     0.000  |   0.00    0.00    0.00    0.01    0.09    0.85    8.50   61.84   28.72    0.00    0.00    0.00    0.00
  L23     8,827,568,128     0.000    28.000     0.000  |   0.00    0.00    0.00    0.01    0.10    1.02   10.09   60.77   28.00    0.00    0.00    0.00    0.00
  AGG   211,861,635,072     0.000    27.831     0.000  |   0.00    0.00    0.00    0.01    0.09    0.88    8.79   62.40   27.83    0.00    0.00    0.00    0.00

Probe: key_proj (XW_k + b_k)
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0      8,827,568,128     0.000    21.284     0.000  |   0.00    0.00    0.00    0.01    0.10    0.98    9.87   67.76   21.28    0.00    0.00    0.00    0.00
  L1      8,827,568,128     0.000    33.145     0.000  |   0.00    0.00    0.00    0.01    0.07    0.73    7.33   58.71   33.15    0.00    0.00    0.00    0.00
  L2      8,827,568,128     0.000    16.724     0.000  |   0.00    0.00    0.00    0.01    0.11    1.10   10.95   71.10   16.72    0.00    0.00    0.00    0.00
  L3      8,827,568,128     0.000    18.362     0.000  |   0.00    0.00    0.00    0.01    0.11    1.12   11.14   69.25   18.36    0.00    0.00    0.00    0.00
  L4      8,827,568,128     0.000    15.406     0.000  |   0.00    0.00    0.00    0.01    0.12    1.24   12.31   70.90   15.41    0.00    0.00    0.00    0.00
  L5      8,827,568,128     0.000    13.539     0.000  |   0.00    0.00    0.00    0.01    0.14    1.42   13.96   70.92   13.54    0.00    0.00    0.00    0.00
  L6      8,827,568,128     0.000     7.116     0.000  |   0.00    0.00    0.00    0.02    0.21    2.07   20.04   70.55    7.12    0.00    0.00    0.00    0.00
  L7      8,827,568,128     0.000     4.247     0.000  |   0.00    0.00    0.00    0.03    0.25    2.50   24.23   68.74    4.25    0.00    0.00    0.00    0.00
  L8      8,827,568,128     0.000     7.706     0.000  |   0.00    0.00    0.00    0.02    0.16    1.57   15.47   75.08    7.71    0.00    0.00    0.00    0.00
  L9      8,827,568,128     0.000    21.225     0.000  |   0.00    0.00    0.00    0.01    0.11    1.07   10.60   66.99   21.22    0.00    0.00    0.00    0.00
  L10     8,827,568,128     0.000    34.328     0.000  |   0.00    0.00    0.00    0.01    0.07    0.72    7.18   57.69   34.33    0.00    0.00    0.00    0.00
  L11     8,827,568,128     0.000    38.564     0.000  |   0.00    0.00    0.00    0.01    0.07    0.67    6.64   54.06   38.56    0.00    0.00    0.00    0.00
  L12     8,827,568,128     0.000    39.921     0.000  |   0.00    0.00    0.00    0.01    0.06    0.60    5.96   53.45   39.92    0.00    0.00    0.00    0.00
  L13     8,827,568,128     0.000    33.608     0.000  |   0.00    0.00    0.00    0.01    0.07    0.71    7.09   58.51   33.61    0.00    0.00    0.00    0.00
  L14     8,827,568,128     0.000    29.375     0.000  |   0.00    0.00    0.00    0.01    0.08    0.78    7.74   62.02   29.38    0.00    0.00    0.00    0.00
  L15     8,827,568,128     0.000    29.263     0.000  |   0.00    0.00    0.00    0.01    0.08    0.76    7.60   62.29   29.26    0.00    0.00    0.00    0.00
  L16     8,827,568,128     0.000    34.287     0.000  |   0.00    0.00    0.00    0.01    0.07    0.71    7.08   57.84   34.29    0.00    0.00    0.00    0.00
  L17     8,827,568,128     0.000    37.792     0.000  |   0.00    0.00    0.00    0.01    0.06    0.64    6.39   55.11   37.79    0.00    0.00    0.00    0.00
  L18     8,827,568,128     0.000    26.118     0.000  |   0.00    0.00    0.00    0.01    0.08    0.85    8.46   64.48   26.12    0.00    0.00    0.00    0.00
  L19     8,827,568,128     0.000    24.600     0.000  |   0.00    0.00    0.00    0.01    0.10    0.96    9.54   64.78   24.60    0.00    0.00    0.00    0.00
  L20     8,827,568,128     0.000    26.049     0.000  |   0.00    0.00    0.00    0.01    0.10    0.98    9.71   63.15   26.05    0.00    0.00    0.00    0.00
  L21     8,827,568,128     0.000    26.290     0.000  |   0.00    0.00    0.00    0.01    0.12    1.18   11.58   60.83   26.29    0.00    0.00    0.00    0.00
  L22     8,827,568,128     0.000    20.734     0.000  |   0.00    0.00    0.00    0.01    0.14    1.41   13.58   64.11   20.73    0.00    0.00    0.00    0.00
  L23     8,827,568,128     0.000    21.408     0.000  |   0.00    0.00    0.00    0.01    0.14    1.44   13.82   63.18   21.41    0.00    0.00    0.00    0.00
  AGG   211,861,635,072     0.000    24.212     0.000  |   0.00    0.00    0.00    0.01    0.11    1.09   10.76   63.81   24.21    0.00    0.00    0.00    0.00

Probe: value_proj (XW_v + b_v)
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0      8,827,568,128     0.000     1.612     0.000  |   0.00    0.00    0.00    0.02    0.21    2.18   21.18   74.80    1.61    0.00    0.00    0.00    0.00
  L1      8,827,568,128     0.000     7.638     0.000  |   0.00    0.00    0.00    0.01    0.13    1.33   13.13   77.75    7.64    0.00    0.00    0.00    0.00
  L2      8,827,568,128     0.000     2.459     0.000  |   0.00    0.00    0.00    0.02    0.19    1.91   18.77   76.64    2.46    0.00    0.00    0.00    0.00
  L3      8,827,568,128     0.000     1.053     0.000  |   0.00    0.00    0.00    0.03    0.26    2.60   25.22   70.84    1.05    0.00    0.00    0.00    0.00
  L4      8,827,568,128     0.000     0.711     0.000  |   0.00    0.00    0.00    0.03    0.30    2.97   28.61   67.38    0.71    0.00    0.00    0.00    0.00
  L5      8,827,568,128     0.000     0.962     0.000  |   0.00    0.00    0.00    0.04    0.42    4.17   38.65   55.75    0.96    0.00    0.00    0.00    0.00
  L6      8,827,568,128     0.000     1.327     0.000  |   0.00    0.00    0.00    0.05    0.49    4.89   43.58   49.66    1.33    0.00    0.00    0.00    0.00
  L7      8,827,568,128     0.000     1.629     0.000  |   0.00    0.00    0.00    0.05    0.50    4.95   44.68   48.19    1.63    0.00    0.00    0.00    0.00
  L8      8,827,568,128     0.000     1.132     0.000  |   0.00    0.00    0.00    0.03    0.31    3.12   29.89   65.52    1.13    0.00    0.00    0.00    0.00
  L9      8,827,568,128     0.000     1.731     0.000  |   0.00    0.00    0.00    0.03    0.25    2.55   24.83   70.61    1.73    0.00    0.00    0.00    0.00
  L10     8,827,568,128     0.000     2.085     0.000  |   0.00    0.00    0.00    0.02    0.19    1.93   18.93   76.85    2.08    0.00    0.00    0.00    0.00
  L11     8,827,568,128     0.000    16.319     0.000  |   0.00    0.00    0.00    0.01    0.11    1.11   10.78   71.67   16.32    0.00    0.00    0.00    0.00
  L12     8,827,568,128     0.000    29.278     0.000  |   0.00    0.00    0.00    0.01    0.09    0.85    7.77   62.01   29.28    0.00    0.00    0.00    0.00
  L13     8,827,568,128     0.000     8.097     0.000  |   0.00    0.00    0.00    0.01    0.14    1.39   13.02   77.34    8.10    0.00    0.00    0.00    0.00
  L14     8,827,568,128     0.000    10.275     0.000  |   0.00    0.00    0.00    0.01    0.13    1.34   12.61   75.62   10.27    0.00    0.00    0.00    0.00
  L15     8,827,568,128     0.000    11.475     0.000  |   0.00    0.00    0.00    0.01    0.13    1.29   12.19   74.90   11.47    0.00    0.00    0.00    0.00
  L16     8,827,568,128     0.000     7.364     0.000  |   0.00    0.00    0.00    0.01    0.14    1.43   13.74   77.31    7.36    0.00    0.00    0.00    0.00
  L17     8,827,568,128     0.000     8.594     0.000  |   0.00    0.00    0.00    0.01    0.14    1.39   13.56   76.31    8.59    0.00    0.00    0.00    0.00
  L18     8,827,568,128     0.000     8.773     0.000  |   0.00    0.00    0.00    0.02    0.20    2.01   18.49   70.51    8.77    0.00    0.00    0.00    0.00
  L19     8,827,568,128     0.000     7.963     0.000  |   0.00    0.00    0.00    0.03    0.34    3.42   23.62   64.61    7.96    0.00    0.00    0.00    0.00
  L20     8,827,568,128     0.000    10.843     0.000  |   0.00    0.00    0.00    0.04    0.41    4.01   23.16   61.54   10.84    0.00    0.00    0.00    0.00
  L21     8,827,568,128     0.000    12.697     0.000  |   0.00    0.00    0.00    0.03    0.30    2.94   22.43   61.61   12.70    0.00    0.00    0.00    0.00
  L22     8,827,568,128     0.000    10.114     0.000  |   0.00    0.00    0.00    0.03    0.29    2.90   24.00   62.66   10.11    0.00    0.00    0.00    0.00
  L23     8,827,568,128     0.000    11.705     0.000  |   0.00    0.00    0.00    0.02    0.20    2.01   18.18   67.88   11.71    0.00    0.00    0.00    0.00
  AGG   211,861,635,072     0.000     7.327     0.000  |   0.00    0.00    0.00    0.02    0.24    2.44   21.71   68.25    7.33    0.00    0.00    0.00    0.00

Probe: qkt_raw (QKᵀ (raw))
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0     17,655,136,256     0.000    93.018    42.181  |   0.00    0.00    0.00    0.00    0.01    0.06    0.63    6.28   50.84   42.17    0.02    0.00    0.00
  L1     17,655,136,256     0.000    99.525    93.920  |   0.00    0.00    0.00    0.00    0.00    0.00    0.04    0.43    5.60   93.90    0.02    0.00    0.00
  L2     17,655,136,256     0.000    90.099    25.848  |   0.00    0.00    0.00    0.00    0.01    0.09    0.89    8.91   64.25   25.84    0.00    0.00    0.00
  L3     17,655,136,256     0.000    98.281    68.745  |   0.00    0.00    0.00    0.00    0.00    0.02    0.15    1.55   29.54   68.54    0.21    0.00    0.00
  L4     17,655,136,256     0.000    97.176    59.287  |   0.00    0.00    0.00    0.00    0.00    0.03    0.25    2.54   37.89   59.23    0.05    0.00    0.00
  L5     17,655,136,256     0.000    99.364    92.292  |   0.00    0.00    0.00    0.00    0.00    0.01    0.06    0.57    7.07   92.29    0.00    0.00    0.00
  L6     17,655,136,256     0.000    99.018    74.191  |   0.00    0.00    0.00    0.00    0.00    0.01    0.09    0.88   24.83   74.19    0.00    0.00    0.00
  L7     17,655,136,256     0.000    96.574    16.999  |   0.00    0.00    0.00    0.00    0.00    0.03    0.30    3.09   79.57   17.00    0.00    0.00    0.00
  L8     17,655,136,256     0.000    95.515    29.842  |   0.00    0.00    0.00    0.00    0.00    0.04    0.39    4.05   65.67   29.84    0.00    0.00    0.00
  L9     17,655,136,256     0.000    98.856    88.358  |   0.00    0.00    0.00    0.00    0.00    0.01    0.10    1.03   10.50   87.53    0.83    0.00    0.00
  L10    17,655,136,256     0.000    96.732    72.330  |   0.00    0.00    0.00    0.00    0.00    0.03    0.29    2.94   24.40   71.87    0.46    0.00    0.00
  L11    17,655,136,256     0.000    97.530    72.931  |   0.00    0.00    0.00    0.00    0.00    0.02    0.22    2.22   24.60   69.87    3.06    0.00    0.00
  L12    17,655,136,256     0.000    97.140    67.824  |   0.00    0.00    0.00    0.00    0.00    0.03    0.26    2.58   29.32   67.82    0.00    0.00    0.00
  L13    17,655,136,256     0.000    99.124    90.945  |   0.00    0.00    0.00    0.00    0.00    0.01    0.08    0.79    8.18   90.93    0.01    0.00    0.00
  L14    17,655,136,256     0.000    98.020    76.688  |   0.00    0.00    0.00    0.00    0.00    0.02    0.18    1.78   21.33   76.69    0.00    0.00    0.00
  L15    17,655,136,256     0.000    94.297    50.994  |   0.00    0.00    0.00    0.00    0.01    0.05    0.51    5.13   43.30   50.99    0.00    0.00    0.00
  L16    17,655,136,256     0.000    96.711    66.063  |   0.00    0.00    0.00    0.00    0.00    0.03    0.30    2.96   30.65   66.06    0.00    0.00    0.00
  L17    17,655,136,256     0.000    97.922    77.418  |   0.00    0.00    0.00    0.00    0.00    0.02    0.19    1.87   20.50   75.57    1.85    0.00    0.00
  L18    17,655,136,256     0.000    96.195    61.254  |   0.00    0.00    0.00    0.00    0.00    0.03    0.34    3.42   34.94   61.25    0.00    0.00    0.00
  L19    17,655,136,256     0.000    94.695    51.550  |   0.00    0.00    0.00    0.00    0.00    0.05    0.48    4.77   43.15   51.55    0.00    0.00    0.00
  L20    17,655,136,256     0.000    96.202    63.617  |   0.00    0.00    0.00    0.00    0.00    0.03    0.34    3.42   32.59   63.62    0.00    0.00    0.00
  L21    17,655,136,256     0.000    97.453    63.968  |   0.00    0.00    0.00    0.00    0.00    0.02    0.23    2.29   33.48   62.42    1.55    0.00    0.00
  L22    17,655,136,256     0.000    95.827    50.581  |   0.00    0.00    0.00    0.00    0.00    0.04    0.41    3.72   45.25   50.40    0.18    0.00    0.00
  L23    17,655,136,256     0.000    91.277    62.062  |   0.00    0.00    0.00    0.00    0.01    0.10    1.01    7.61   29.21   61.36    0.70    0.00    0.00
  AGG   423,723,270,144     0.000    96.523    63.329  |   0.00    0.00    0.00    0.00    0.00    0.03    0.32    3.12   33.19   62.96    0.37    0.00    0.00

Probe: attn_scores (QKᵀ/√dₖ + mask)
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0     17,655,136,256     0.000    93.584    89.600  |   0.00    0.00    0.00    0.00    0.01    0.07    0.67    5.67    3.98    0.01    0.00    0.00   89.59
  L1     17,655,136,256     0.000    97.423    89.595  |   0.00    0.00    0.00    0.00    0.00    0.02    0.21    2.34    7.83    0.00    0.00    0.00   89.59
  L2     17,655,136,256     0.000    95.596    89.599  |   0.00    0.00    0.00    0.00    0.00    0.04    0.39    3.97    6.00    0.00    0.00    0.00   89.59
  L3     17,655,136,256     0.000    94.977    89.652  |   0.00    0.00    0.00    0.00    0.01    0.05    0.52    4.45    5.32    0.06    0.00    0.00   89.59
  L4     17,655,136,256     0.000    94.416    89.595  |   0.00    0.00    0.00    0.00    0.01    0.06    0.55    4.97    4.82    0.00    0.00    0.00   89.59
  L5     17,655,136,256     0.000    95.400    89.594  |   0.00    0.00    0.00    0.00    0.00    0.04    0.40    4.15    5.81    0.00    0.00    0.00   89.59
  L6     17,655,136,256     0.000    97.495    89.595  |   0.00    0.00    0.00    0.00    0.00    0.02    0.17    2.31    7.90    0.00    0.00    0.00   89.59
  L7     17,655,136,256     0.000    98.514    89.594  |   0.00    0.00    0.00    0.00    0.00    0.01    0.12    1.36    8.92    0.00    0.00    0.00   89.59
  L8     17,655,136,256     0.000    98.621    89.595  |   0.00    0.00    0.00    0.00    0.00    0.01    0.07    1.31    9.03    0.00    0.00    0.00   89.59
  L9     17,655,136,256     0.000    94.495    89.811  |   0.00    0.00    0.00    0.00    0.01    0.06    0.59    4.85    4.68    0.22    0.00    0.00   89.59
  L10    17,655,136,256     0.000    96.732    89.803  |   0.00    0.00    0.00    0.00    0.00    0.03    0.32    2.92    6.93    0.21    0.00    0.00   89.59
  L11    17,655,136,256     0.000    95.887    89.735  |   0.00    0.00    0.00    0.00    0.00    0.04    0.39    3.68    6.15    0.14    0.00    0.00   89.59
  L12    17,655,136,256     0.000    95.510    89.602  |   0.00    0.00    0.00    0.00    0.00    0.04    0.42    4.02    5.91    0.01    0.00    0.00   89.59
  L13    17,655,136,256     0.000    95.608    89.663  |   0.00    0.00    0.00    0.00    0.00    0.04    0.43    3.92    5.95    0.07    0.00    0.00   89.59
  L14    17,655,136,256     0.000    95.153    89.633  |   0.00    0.00    0.00    0.00    0.00    0.05    0.48    4.31    5.52    0.04    0.00    0.00   89.59
  L15    17,655,136,256     0.000    94.058    89.594  |   0.00    0.00    0.00    0.00    0.01    0.06    0.61    5.26    4.46    0.00    0.00    0.00   89.59
  L16    17,655,136,256     0.000    96.690    89.607  |   0.00    0.00    0.00    0.00    0.00    0.03    0.30    2.98    7.08    0.01    0.00    0.00   89.59
  L17    17,655,136,256     0.000    97.009    89.635  |   0.00    0.00    0.00    0.00    0.00    0.03    0.28    2.68    7.37    0.04    0.00    0.00   89.59
  L18    17,655,136,256     0.000    95.232    89.595  |   0.00    0.00    0.00    0.00    0.00    0.04    0.45    4.27    5.64    0.00    0.00    0.00   89.59
  L19    17,655,136,256     0.000    96.491    89.594  |   0.00    0.00    0.00    0.00    0.00    0.03    0.32    3.15    6.90    0.00    0.00    0.00   89.59
  L20    17,655,136,256     0.000    96.945    89.596  |   0.00    0.00    0.00    0.00    0.00    0.03    0.28    2.75    7.35    0.00    0.00    0.00   89.59
  L21    17,655,136,256     0.000    97.939    89.759  |   0.00    0.00    0.00    0.00    0.00    0.01    0.14    1.90    8.18    0.16    0.00    0.00   89.59
  L22    17,655,136,256     0.000    97.376    89.681  |   0.00    0.00    0.00    0.00    0.00    0.02    0.20    2.40    7.70    0.09    0.00    0.00   89.59
  L23    17,655,136,256     0.000    97.742    89.990  |   0.00    0.00    0.00    0.00    0.00    0.03    0.28    1.94    7.75    0.40    0.00    0.00   89.59
  AGG   423,723,270,144     0.000    96.204    89.655  |   0.00    0.00    0.00    0.00    0.00    0.04    0.36    3.40    6.55    0.06    0.00    0.00   89.59

Probe: attn_probs (Softmax(scores))
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0     17,655,136,256    89.594     0.000     0.000  |   0.03    0.08    0.12    0.16    0.22    1.84    6.34    1.61    0.00    0.00    0.00    0.00    0.00
  L1     17,655,136,256    89.594     0.000     0.000  |   0.00    0.01    0.07    0.28    1.26    4.46    3.06    1.27    0.00    0.00    0.00    0.00    0.00
  L2     17,655,136,256    89.594     0.000     0.000  |   0.01    0.01    0.04    0.11    0.45    3.21    5.08    1.50    0.00    0.00    0.00    0.00    0.00
  L3     17,655,136,256    89.594     0.000     0.000  |   0.15    0.06    0.08    0.14    0.45    3.31    4.68    1.53    0.00    0.00    0.00    0.00    0.00
  L4     17,655,136,256    89.594     0.000     0.000  |   0.00    0.01    0.02    0.09    0.40    2.99    5.21    1.68    0.00    0.00    0.00    0.00    0.00
  L5     17,655,136,256    89.594     0.000     0.000  |   0.00    0.00    0.01    0.04    0.37    4.69    3.71    1.59    0.00    0.00    0.00    0.00    0.00
  L6     17,655,136,256    89.594     0.000     0.000  |   0.00    0.00    0.00    0.03    0.25    4.14    4.34    1.64    0.00    0.00    0.00    0.00    0.00
  L7     17,655,136,256    89.594     0.000     0.000  |   0.00    0.00    0.00    0.02    0.23    4.10    4.41    1.63    0.00    0.00    0.00    0.00    0.00
  L8     17,655,136,256    89.594     0.000     0.000  |   0.00    0.01    0.03    0.10    0.54    4.76    3.43    1.54    0.00    0.00    0.00    0.00    0.00
  L9     17,655,136,256    89.594     0.000     0.000  |   0.41    0.06    0.06    0.14    0.60    3.68    3.91    1.55    0.00    0.00    0.00    0.00    0.00
  L10    17,655,136,256    89.594     0.000     0.000  |   0.36    0.26    0.40    0.65    0.97    2.07    4.16    1.54    0.00    0.00    0.00    0.00    0.00
  L11    17,655,136,256    89.594     0.000     0.000  |   0.05    0.08    0.18    0.35    0.97    2.76    4.12    1.89    0.00    0.00    0.00    0.00    0.00
  L12    17,655,136,256    89.594     0.000     0.000  |   0.01    0.03    0.08    0.28    0.91    2.69    4.48    1.93    0.00    0.00    0.00    0.00    0.00
  L13    17,655,136,256    89.594     0.000     0.000  |   0.09    0.21    0.46    1.31    3.32    3.02    1.10    0.90    0.00    0.00    0.00    0.00    0.00
  L14    17,655,136,256    89.594     0.000     0.000  |   0.04    0.05    0.16    0.58    1.74    3.78    2.92    1.13    0.00    0.00    0.00    0.00    0.00
  L15    17,655,136,256    89.594     0.000     0.000  |   0.00    0.00    0.01    0.09    0.64    2.60    5.30    1.76    0.00    0.00    0.00    0.00    0.00
  L16    17,655,136,256    89.594     0.000     0.000  |   0.00    0.00    0.01    0.09    0.52    2.25    5.53    2.00    0.00    0.00    0.00    0.00    0.00
  L17    17,655,136,256    89.594     0.000     0.000  |   0.00    0.01    0.03    0.14    0.53    2.46    5.26    1.98    0.00    0.00    0.00    0.00    0.00
  L18    17,655,136,256    89.594     0.000     0.000  |   0.00    0.00    0.01    0.07    0.49    2.88    4.91    2.05    0.00    0.00    0.00    0.00    0.00
  L19    17,655,136,256    89.594     0.000     0.000  |   0.00    0.00    0.01    0.06    0.64    3.40    4.30    2.00    0.00    0.00    0.00    0.00    0.00
  L20    17,655,136,256    89.594     0.000     0.000  |   0.00    0.00    0.02    0.16    1.10    3.55    3.59    1.99    0.00    0.00    0.00    0.00    0.00
  L21    17,655,136,256    89.594     0.000     0.000  |   0.03    0.02    0.03    0.07    0.35    2.01    5.67    2.21    0.00    0.00    0.00    0.00    0.00
  L22    17,655,136,256    89.594     0.000     0.000  |   0.00    0.00    0.03    0.05    0.21    1.69    6.13    2.28    0.00    0.00    0.00    0.00    0.00
  L23    17,655,136,256    89.594     0.000     0.000  |   0.00    0.00    0.00    0.03    0.25    1.50    6.38    2.24    0.00    0.00    0.00    0.00    0.00
  AGG   423,723,270,144    89.594     0.000     0.000  |   0.05    0.04    0.08    0.21    0.73    3.08    4.50    1.73    0.00    0.00    0.00    0.00    0.00

Probe: attn_context (Softmax × V)
