episode,total_episodes,ppo_update_count,rollout_reward_mean,rollout_reward_max,rollout_reward_min,rollout_metric1_mean,rollout_metric2_mean,rollout_metric1_min,rollout_metric2_min,rollout_loss_mean,rollout_loss_std_mean,rollout_loss_max,best_reward,priority1_count,priority2_count,priority3_count,invalid_count,apply_error_count,eval_error_count,last_error,anchor_count,cost_probe_count,policy_loss,value_loss,entropy,clip_fraction,n_samples
120,80000,1,-25.81660528053918,2.7333333333333334,-100.8125,0.856796875,0.856796875,0.0,0.0,0.33968350412797627,0.0032868802001166345,0.35692983865737915,2.7333333333333334,2,54,62,2,0,0,Rescale_optimizer invalid blocks: block5_n1_L2: new chain has prime(s) > q_max=60 at stage(s) [1]; fusion cannot reduce. Reject.,30,4,0.2411266420967877,1298.1715087890625,1071.07763671875,0.8708147406578064,120
240,80000,2,-23.953072521214192,0.0,-100.03125,0.8347916666666666,0.8347916666666666,0.0,0.0,0.33984203859515816,0.0032255152569203205,0.3506234660744667,2.7333333333333334,1,48,66,5,0,0,Rescale_optimizer invalid blocks: block5_n1_L7: new chain has prime(s) > q_max=60 at stage(s) [1]; fusion cannot reduce. Reject.,0,0,0.0031439760932698846,1104.8398895263672,1071.6620788574219,0.1316964291036129,120
360,80000,3,-25.143422080408254,-3.466666666666667,-50.25305097678521,0.8133333333333332,0.8133333333333332,0.0,0.0,0.3394165296639714,0.0031683732431509767,0.3514789864420891,2.7333333333333334,0,51,61,8,0,0,Rescale_optimizer invalid blocks: block5_n1_L11: new chain has prime(s) > q_max=60 at stage(s) [1]; fusion cannot reduce. Reject.,0,0,0.00825788197107613,1091.9403686523438,1071.2968139648438,0.125,120
480,80000,4,-26.474413348152513,-3.466666666666667,-50.29251675506242,0.82041015625,0.82041015625,0.0,0.0,0.34001926908978325,0.0032660802920746225,0.35159656405448914,2.7333333333333334,0,55,58,7,0,0,Rescale_optimizer invalid blocks: block3_exp_n5_L6: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).,0,0,0.018729818519204855,1161.8606872558594,1071.1314392089844,0.375,120
600,80000,5,-36.6912041500734,-3.4,-100.1875,0.7914973958333332,0.7914973958333332,0.0,0.0,0.3397619033967136,0.003307899175180792,0.34979212284088135,2.7333333333333334,1,77,31,11,0,0,Rescale_optimizer invalid blocks: block5_n1_L6: new chain has prime(s) > q_max=60 at stage(s) [1]; fusion cannot reduce. Reject.,0,0,0.012833395507186651,1711.9232330322266,1071.4326477050781,0.25,120
720,80000,6,-35.51045065398703,-3.466666666666667,-50.35562699339126,0.7916276041666668,0.7916276041666668,0.0,0.0,0.33947463278581796,0.003315311852745616,0.35085073485970497,2.7333333333333334,0,76,33,11,0,0,Rescale_optimizer invalid blocks: block5_n1_L0: new chain has prime(s) > q_max=60 at stage(s) [1]; fusion cannot reduce. Reject.,0,0,-0.0029312358237802982,1594.7323760986328,1071.13525390625,0.0,120
840,80000,7,-34.919778065702864,-3.3163841807909598,-100.03125,0.7478320312500001,0.7478320312500001,0.0,0.0,0.33967030732304726,0.003152617031992002,0.3507171720266342,2.7333333333333334,1,69,33,17,0,0,Rescale_optimizer invalid blocks: block3_exp_n5_L2: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).,0,0,-0.0004147720173932612,1571.2501220703125,1070.9903411865234,0.0,120
960,80000,8,-32.99744362646693,-3.3333333333333335,-50.318728460287964,0.7334375000000001,0.7334375000000001,0.0,0.0,0.33931534223184734,0.003329336817527138,0.3513011932373047,2.7333333333333334,0,65,36,19,0,0,Rescale_optimizer invalid blocks: block5_n1_L11: new chain has prime(s) > q_max=60 at stage(s) [1]; fusion cannot reduce. Reject.,0,0,0.004051925148814917,1416.9644775390625,1070.9095001220703,0.12109375,120
1080,80000,9,-36.90734824958292,-3.2666666666666666,-100.49999999999999,0.7333138020833333,0.7333138020833333,0.0,0.0,0.33984668316079836,0.003373076851555071,0.35564248263835907,2.7333333333333334,1,73,27,19,0,0,Rescale_optimizer invalid blocks: block3_exp_n2_L5: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).,0,0,0.00659989332780242,1638.1791687011719,1070.585433959961,0.255859375,120
1200,80000,10,-32.28951549931308,-3.299435028248588,-50.29576674227426,0.7184700520833334,0.7184700520833334,0.0,0.0,0.3395851060559954,0.003200418477519931,0.35011381283402443,2.7333333333333334,0,62,37,21,0,0,Rescale_optimizer invalid blocks: block3_exp_n5_L3: replan FAILED: a prime < q_min=30 could not be fused after 0 successful fusion(s).; block5_n1_L7: new chain has prime(s) > q_max=60 at stage(s) [1]; fusion cannot reduce. Reject.,0,0,-0.0009433366358280182,1343.418441772461,1070.4501037597656,0.0,120
