=== Stage-2 Noise RL Optimization Log Started ===
[Info] PPO LR resolved from rl_lr=20 -> 2e-05 (legacy-micro)
[Info] Stage-1 RL episodes: 51000 | Stage-2 RL episodes: 40000
[Info] Unified run output dir: experiment_results/layer_importance_runs/mrpc/20260328_231251_pid292795

[Info] Second-stage noise RL training skipped (--skip-noise-rl).

============================================================
PHASE 5.5: NOISE RL FINAL EVALUATION (验证集)
NOISE_EVAL_CONFIG_SOURCE=json
NOISE_EVAL_REPEAT_N=200
Selection constraints (from stage-2 search protocol): Loss<=0.2843, Acc.>=0.8744, F1>=0.8721
============================================================

--- Baseline (Max Scaling) : N=200 次重复评估 ---
  统计: Loss=0.3000±0.000028 [0.2999, 0.3001]
  统计: Acc.=0.8824±0.000000 [0.8824, 0.8824]
  统计: F1=0.8804±0.000000 [0.8804, 0.8804]
Final-eval report constraints (based on repeated baseline on validation_full): Loss<=0.3150, Acc.>=0.8691, F1>=0.8672
Evaluating No-Noise control (GELU/Softmax only, no noise injection)...

--- Selected (Saved Noise RL) : N=200 次重复评估 ---
  Trial 1/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.4ms
  Trial 2/200: Loss=0.3001, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 3/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=237.8ms
  Trial 4/200: Loss=0.3001, Acc.=0.8824, F1=0.8804, Time=238.5ms
  Trial 5/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 6/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.5ms
  Trial 7/200: Loss=0.2999, Acc.=0.8824, F1=0.8804, Time=237.6ms
  Trial 8/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 9/200: Loss=0.3001, Acc.=0.8824, F1=0.8804, Time=238.4ms
  Trial 10/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.2ms
  Trial 11/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 12/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 13/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.5ms
  Trial 14/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.0ms
  Trial 15/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.5ms
  Trial 16/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 17/200: Loss=0.3001, Acc.=0.8824, F1=0.8804, Time=238.4ms
  Trial 18/200: Loss=0.3001, Acc.=0.8824, F1=0.8804, Time=237.4ms
  Trial 19/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 20/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 21/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.4ms
  Trial 22/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=237.5ms
  Trial 23/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 24/200: Loss=0.3001, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 25/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 26/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=237.7ms
  Trial 27/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 28/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 29/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.1ms
  Trial 30/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.1ms
  Trial 31/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.5ms
  Trial 32/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.5ms
  Trial 33/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=237.9ms
  Trial 34/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 35/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.8ms
  Trial 36/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.4ms
  Trial 37/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.1ms
  Trial 38/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 39/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 40/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.4ms
  Trial 41/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=237.9ms
  Trial 42/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 43/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 44/200: Loss=0.2999, Acc.=0.8824, F1=0.8804, Time=234.6ms
  Trial 45/200: Loss=0.3001, Acc.=0.8824, F1=0.8804, Time=238.3ms
  Trial 46/200: Loss=0.2999, Acc.=0.8824, F1=0.8804, Time=237.9ms
  Trial 47/200: Loss=0.3001, Acc.=0.8824, F1=0.8804, Time=238.4ms
  Trial 48/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 49/200: Loss=0.3001, Acc.=0.8824, F1=0.8804, Time=238.2ms
  Trial 50/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=237.8ms
  Trial 51/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 52/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 53/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.3ms
  Trial 54/200: Loss=0.2999, Acc.=0.8824, F1=0.8804, Time=237.3ms
  Trial 55/200: Loss=0.3001, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 56/200: Loss=0.3001, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 57/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.5ms
  Trial 58/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=237.5ms
  Trial 59/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 60/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.4ms
  Trial 61/200: Loss=0.3001, Acc.=0.8824, F1=0.8804, Time=238.0ms
  Trial 62/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 63/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.9ms
  Trial 64/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 65/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=237.7ms
  Trial 66/200: Loss=0.3001, Acc.=0.8824, F1=0.8804, Time=239.0ms
  Trial 67/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.5ms
  Trial 68/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 69/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.0ms
  Trial 70/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.8ms
  Trial 71/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 72/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=238.5ms
  Trial 73/200: Loss=0.3000, Acc.=0.8824, F1=0.8804, Time=237.7ms
