=== Stage-2 Noise RL Optimization Log Started ===
[Info] PPO LR resolved from rl_lr=20 -> 2e-05 (legacy-micro)
[Info] Stage-1 RL episodes: 51000 | Stage-2 RL episodes: 40000
[Info] Unified run output dir: experiment_results/layer_importance_runs/mrpc/20260329_005858_pid311890

[Info] Second-stage noise RL training skipped (--skip-noise-rl).

============================================================
PHASE 5.5: NOISE RL FINAL EVALUATION (验证集)
NOISE_EVAL_CONFIG_SOURCE=json
NOISE_EVAL_REPEAT_N=200
Selection constraints (from stage-2 search protocol): Loss<=0.3525, Acc.>=0.8675, F1>=0.8659
Noise cost reference (max-noise, for cost normalization only): 49.20
============================================================

--- Baseline (Stage-1 Exact) : N=200 次重复评估 ---
  统计: Loss=0.3041±0.000000 [0.3041, 0.3041]
  统计: Acc.=0.8799±0.000000 [0.8799, 0.8799]
  统计: F1=0.8774±0.000000 [0.8774, 0.8774]
Final-eval report constraints (based on repeated baseline on validation_full): Loss<=0.3191, Acc.>=0.8667, F1>=0.8643
Evaluating no-noise control for the fixed stage-1 configuration...

--- No-Noise (Fixed Stage-1) : N=200 次重复评估 ---
  统计: Loss=0.2836±0.000000 [0.2836, 0.2836]
  统计: Acc.=0.8824±0.000000 [0.8824, 0.8824]
  统计: F1=0.8804±0.000000 [0.8804, 0.8804]

--- Selected (Saved Noise RL) : N=200 次重复评估 ---
  Trial 1/200: Loss=0.2814, Acc.=0.8824, F1=0.8801, Time=469.7ms
  Trial 2/200: Loss=0.2875, Acc.=0.8750, F1=0.8728, Time=513.1ms
  Trial 3/200: Loss=0.2783, Acc.=0.8799, F1=0.8781, Time=515.8ms
  Trial 4/200: Loss=0.2817, Acc.=0.8799, F1=0.8781, Time=470.5ms
  Trial 5/200: Loss=0.2806, Acc.=0.8799, F1=0.8781, Time=517.0ms
  Trial 6/200: Loss=0.2905, Acc.=0.8750, F1=0.8731, Time=472.8ms
  Trial 7/200: Loss=0.2890, Acc.=0.8627, F1=0.8605, Time=497.1ms
  Trial 8/200: Loss=0.2810, Acc.=0.8652, F1=0.8632, Time=516.0ms
  Trial 9/200: Loss=0.2858, Acc.=0.8824, F1=0.8807, Time=467.7ms
  Trial 10/200: Loss=0.2891, Acc.=0.8725, F1=0.8705, Time=517.0ms
  Trial 11/200: Loss=0.2760, Acc.=0.8824, F1=0.8804, Time=519.8ms
  Trial 12/200: Loss=0.2843, Acc.=0.8750, F1=0.8734, Time=467.9ms
  Trial 13/200: Loss=0.2826, Acc.=0.8799, F1=0.8774, Time=517.4ms
  Trial 14/200: Loss=0.2821, Acc.=0.8799, F1=0.8784, Time=476.1ms
  Trial 15/200: Loss=0.2813, Acc.=0.8799, F1=0.8778, Time=513.1ms
  Trial 16/200: Loss=0.2716, Acc.=0.8750, F1=0.8721, Time=515.6ms
  Trial 17/200: Loss=0.2813, Acc.=0.8701, F1=0.8678, Time=470.5ms
  Trial 18/200: Loss=0.2834, Acc.=0.8799, F1=0.8781, Time=515.7ms
  Trial 19/200: Loss=0.2807, Acc.=0.8799, F1=0.8781, Time=472.3ms
