=== Stage-2 Noise RL Optimization Log Started ===
[Info] PPO LR resolved from rl_lr=20 -> 2e-05 (legacy-micro)
[Info] Stage-1 RL episodes: 51000 | Stage-2 RL episodes: 40000
[Info] Unified run output dir: experiment_results/layer_importance_runs/mrpc/20260329_003315_pid304809

[Info] Second-stage noise RL training skipped (--skip-noise-rl).

============================================================
PHASE 5.5: NOISE RL FINAL EVALUATION (验证集)
NOISE_EVAL_CONFIG_SOURCE=json
NOISE_EVAL_REPEAT_N=200
Selection constraints (from stage-2 search protocol): Loss<=0.3848, Acc.>=0.8571, F1>=0.8542
Noise cost reference (max-noise, for cost normalization only): 49.20
============================================================

--- Baseline (Stage-1 Exact) : N=200 次重复评估 ---
  统计: Loss=0.3431±0.000000 [0.3431, 0.3431]
  统计: Acc.=0.8799±0.000000 [0.8799, 0.8799]
  统计: F1=0.8774±0.000000 [0.8774, 0.8774]
Final-eval report constraints (based on repeated baseline on validation_full): Loss<=0.3581, Acc.>=0.8667, F1>=0.8643
Evaluating no-noise control for the fixed stage-1 configuration...

--- No-Noise (Fixed Stage-1) : N=200 次重复评估 ---
  统计: Loss=0.3142±0.000000 [0.3142, 0.3142]
  统计: Acc.=0.8824±0.000000 [0.8824, 0.8824]
  统计: F1=0.8804±0.000000 [0.8804, 0.8804]

--- Selected (Saved Noise RL) : N=200 次重复评估 ---
  Trial 1/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 2/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 3/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 4/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.2ms
  Trial 5/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=237.5ms
  Trial 6/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.8ms
  Trial 7/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 8/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.8ms
  Trial 9/200: Loss=0.3141, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 10/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=237.9ms
  Trial 11/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 12/200: Loss=0.3141, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 13/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 14/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.4ms
  Trial 15/200: Loss=0.3141, Acc.=0.8824, F1=0.8804, Time=238.5ms
  Trial 16/200: Loss=0.3141, Acc.=0.8824, F1=0.8804, Time=237.5ms
  Trial 17/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.8ms
  Trial 18/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 19/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 20/200: Loss=0.3141, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 21/200: Loss=0.3141, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 22/200: Loss=0.3141, Acc.=0.8824, F1=0.8804, Time=238.1ms
  Trial 23/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.9ms
  Trial 24/200: Loss=0.3141, Acc.=0.8824, F1=0.8804, Time=238.8ms
  Trial 25/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 26/200: Loss=0.3141, Acc.=0.8824, F1=0.8804, Time=239.2ms
  Trial 27/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.5ms
  Trial 28/200: Loss=0.3141, Acc.=0.8824, F1=0.8804, Time=238.8ms
  Trial 29/200: Loss=0.3141, Acc.=0.8824, F1=0.8804, Time=238.0ms
  Trial 30/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 31/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 32/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.5ms
  Trial 33/200: Loss=0.3141, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 34/200: Loss=0.3141, Acc.=0.8824, F1=0.8804, Time=238.5ms
  Trial 35/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.0ms
  Trial 36/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=237.8ms
  Trial 37/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 38/200: Loss=0.3141, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 39/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.5ms
  Trial 40/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 41/200: Loss=0.3141, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 42/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=237.5ms
  Trial 43/200: Loss=0.3141, Acc.=0.8824, F1=0.8804, Time=238.6ms
  Trial 44/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.8ms
  Trial 45/200: Loss=0.3141, Acc.=0.8824, F1=0.8804, Time=238.7ms
  Trial 46/200: Loss=0.3142, Acc.=0.8824, F1=0.8804, Time=238.6ms
