task,arch,model,probe,probe_display,layer,count,mean,std,min,max
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,input_ids,Input IDs,all,1094528,284.929519,1603.948331,0.000000,29593.000000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,after_embed,After Embedding,all,1120796672,-0.051838,0.461364,-4.596697,5.637281
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,0,1120796672,-0.028513,0.923015,-6.188900,8.681005
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,1,1120796672,-0.019150,1.177381,-7.212686,7.118390
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,2,1120796672,-0.010133,0.911839,-10.349979,10.668405
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,3,1120796672,-0.020167,0.946172,-8.785253,8.314689
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,4,1120796672,-0.005944,0.951903,-8.434135,8.001632
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,5,1120796672,0.048919,0.765646,-8.879136,8.746473
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,6,1120796672,-0.006491,0.709509,-8.630835,8.527835
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,7,1120796672,0.013514,0.646570,-8.635586,7.469729
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,8,1120796672,-0.004607,0.636352,-7.767942,8.108423
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,9,1120796672,0.008761,0.812970,-9.985388,9.638852
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,10,1120796672,-0.025941,0.908734,-8.892923,9.775030
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,11,1120796672,-0.076736,0.981402,-9.582510,9.227905
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,12,1120796672,0.010551,1.050016,-7.863273,8.864746
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,13,1120796672,0.015031,1.065971,-7.779945,8.490103
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,14,1120796672,0.016378,1.086113,-9.405918,9.016344
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,15,1120796672,-0.004346,1.088430,-7.853439,8.000438
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,16,1120796672,-0.028391,1.104798,-8.417914,8.684677
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,17,1120796672,-0.017573,1.123047,-9.685573,8.430889
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,18,1120796672,0.008561,1.121915,-8.151001,8.173978
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,19,1120796672,-0.031171,1.120291,-7.918084,7.731876
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,20,1120796672,0.008544,1.234973,-7.846565,8.656234
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,21,1120796672,0.026752,1.196187,-8.657230,8.378716
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,22,1120796672,0.015530,1.268156,-8.195244,8.407529
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,23,1120796672,-0.073374,1.395626,-9.372524,10.285290
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,0,1120796672,-0.004320,0.942454,-6.644923,7.412486
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,1,1120796672,0.042358,1.226088,-9.296835,9.016346
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,2,1120796672,0.007643,0.769261,-7.271456,6.995262
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,3,1120796672,-0.002309,0.845873,-8.230797,8.235722
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,4,1120796672,0.005808,0.823059,-8.493641,8.957710
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,5,1120796672,0.031346,0.738609,-8.557768,7.471713
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,6,1120796672,-0.002713,0.522256,-6.684455,6.719516
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,7,1120796672,0.010476,0.421605,-6.834810,7.410830
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,8,1120796672,0.005203,0.530236,-7.245412,6.150727
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,9,1120796672,0.001909,0.884201,-9.735245,9.515304
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,10,1120796672,-0.028493,1.128837,-8.265574,8.056175
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,11,1120796672,-0.009930,0.992538,-7.260694,7.670599
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,12,1120796672,-0.002258,0.998056,-7.769486,8.440280
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,13,1120796672,-0.001804,1.061713,-6.596508,7.005777
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,14,1120796672,0.017564,0.976727,-7.300313,7.113711
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,15,1120796672,-0.010059,0.873957,-6.816728,6.728152
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,16,1120796672,-0.006591,1.135917,-7.869578,7.537042
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,17,1120796672,0.002783,1.263193,-9.374850,8.526836
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,18,1120796672,0.017775,1.070441,-7.303759,7.232109
