task,arch,model,probe,probe_display,layer,count,mean,std,min,max
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,input_ids,Input IDs,all,8620672,453.931168,2306.234433,0.000000,29667.000000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,after_embed,After Embedding,all,8827568128,-0.050785,0.463244,-4.708068,5.731920
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,0,8827568128,-0.027091,0.921655,-6.874023,8.812449
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,1,8827568128,-0.012112,1.179487,-7.550257,7.829507
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,2,8827568128,-0.009783,0.921773,-9.851624,11.191010
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,3,8827568128,-0.012709,0.954665,-9.205524,9.725736
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,4,8827568128,-0.000683,0.869867,-10.199249,8.375880
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,5,8827568128,0.043243,0.781089,-9.697893,8.100949
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,6,8827568128,-0.006818,0.704102,-8.875917,8.156143
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,7,8827568128,0.008733,0.677973,-7.889488,8.409067
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,8,8827568128,0.001868,0.801806,-7.884691,8.697759
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,9,8827568128,0.042363,1.050605,-10.782501,11.096770
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,10,8827568128,-0.033135,1.195538,-10.244408,10.917873
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,11,8827568128,-0.059825,1.371376,-9.306242,9.583216
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,12,8827568128,0.061963,1.352565,-9.231063,8.802353
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,13,8827568128,0.007950,1.142321,-8.199965,7.838217
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,14,8827568128,0.002490,1.132399,-8.917686,9.007154
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,15,8827568128,-0.019330,0.980009,-9.076519,7.863217
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,16,8827568128,-0.008969,1.085834,-7.378583,7.228799
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,17,8827568128,0.004133,1.212619,-8.228048,8.047689
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,18,8827568128,0.004262,1.078267,-11.704852,8.666324
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,19,8827568128,-0.011887,1.126381,-7.715911,9.049874
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,20,8827568128,0.032610,1.216052,-9.554389,10.570139
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,21,8827568128,0.004710,1.081632,-8.269621,9.586963
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,22,8827568128,-0.007579,1.031400,-9.732216,9.519924
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,23,8827568128,-0.049726,1.109420,-10.847919,11.595562
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,0,8827568128,-0.007896,0.946818,-7.311298,7.961946
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,1,8827568128,0.043609,1.291696,-9.511438,9.822412
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,2,8827568128,0.007870,0.775909,-8.092312,8.121450
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,3,8827568128,-0.002625,0.832741,-9.175572,9.074291
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,4,8827568128,0.006961,0.775796,-8.322958,8.014688
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,5,8827568128,0.025573,0.719723,-8.590221,7.026031
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,6,8827568128,-0.006982,0.545752,-7.547175,7.432925
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,7,8827568128,0.010517,0.466825,-7.653992,8.657045
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,8,8827568128,-0.004314,0.577964,-8.017378,7.777019
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,9,8827568128,-0.013956,1.008005,-10.418745,10.357706
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,10,8827568128,-0.009910,1.238251,-9.581273,10.217360
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,11,8827568128,0.060478,1.238673,-7.551879,8.744214
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,12,8827568128,-0.008779,1.281904,-8.029876,8.849481
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,13,8827568128,-0.017126,1.143252,-8.442602,9.500259
