task,arch,model,probe,probe_display,layer,count,mean,std,min,max
cola,bert,textattack/bert-base-uncased-CoLA,input_ids,Input IDs,all,1094528,284.929519,1603.948331,0.000000,29593.000000
cola,bert,textattack/bert-base-uncased-CoLA,after_embed,After Embedding,all,840597504,-0.057076,0.451091,-11.119242,4.241491
cola,bert,textattack/bert-base-uncased-CoLA,query_proj,XW_q + b_q,0,840597504,0.003863,0.993432,-7.665681,6.459574
cola,bert,textattack/bert-base-uncased-CoLA,query_proj,XW_q + b_q,1,840597504,0.048559,0.887818,-6.548059,8.001005
cola,bert,textattack/bert-base-uncased-CoLA,query_proj,XW_q + b_q,2,840597504,0.049740,1.103087,-11.769495,10.819160
cola,bert,textattack/bert-base-uncased-CoLA,query_proj,XW_q + b_q,3,840597504,-0.007564,1.009199,-8.147060,8.627740
cola,bert,textattack/bert-base-uncased-CoLA,query_proj,XW_q + b_q,4,840597504,-0.007945,1.023212,-7.763761,7.997517
cola,bert,textattack/bert-base-uncased-CoLA,query_proj,XW_q + b_q,5,840597504,-0.057882,1.178434,-8.024962,8.436006
cola,bert,textattack/bert-base-uncased-CoLA,query_proj,XW_q + b_q,6,840597504,-0.072962,1.157807,-8.397046,8.173206
cola,bert,textattack/bert-base-uncased-CoLA,query_proj,XW_q + b_q,7,840597504,-0.014981,1.179763,-9.082188,8.041031
cola,bert,textattack/bert-base-uncased-CoLA,query_proj,XW_q + b_q,8,840597504,-0.045904,1.095499,-7.619862,7.702861
cola,bert,textattack/bert-base-uncased-CoLA,query_proj,XW_q + b_q,9,840597504,0.015779,1.078229,-9.338864,8.904366
cola,bert,textattack/bert-base-uncased-CoLA,query_proj,XW_q + b_q,10,840597504,-0.009544,1.094009,-7.834271,8.906772
cola,bert,textattack/bert-base-uncased-CoLA,query_proj,XW_q + b_q,11,840597504,0.053844,1.096032,-7.082775,7.890234
cola,bert,textattack/bert-base-uncased-CoLA,key_proj,XW_k + b_k,0,840597504,-0.030950,1.068892,-6.404953,8.716593
cola,bert,textattack/bert-base-uncased-CoLA,key_proj,XW_k + b_k,1,840597504,-0.027405,0.986201,-7.544314,6.414357
cola,bert,textattack/bert-base-uncased-CoLA,key_proj,XW_k + b_k,2,840597504,0.030507,1.059582,-9.380341,9.864193
cola,bert,textattack/bert-base-uncased-CoLA,key_proj,XW_k + b_k,3,840597504,-0.006391,0.969591,-6.520020,6.517659
cola,bert,textattack/bert-base-uncased-CoLA,key_proj,XW_k + b_k,4,840597504,0.008888,0.948681,-6.944636,6.152609
