task,arch,model,probe,probe_display,layer,count,mean,std,min,max
gpt2_wt2,gpt2,gpt2,input_ids,Input IDs,all,2383872,5051.929503,9079.893735,6.000000,50253.000000
gpt2_wt2,gpt2,gpt2,after_embed,After Embedding,all,1830813696,-0.001474,0.167929,-4.788843,4.079855
gpt2_wt2,gpt2,gpt2,query_proj,XW_q + b_q,0,1830813696,-0.019208,1.259824,-10.398780,10.962224
gpt2_wt2,gpt2,gpt2,query_proj,XW_q + b_q,1,1830813696,-0.019566,1.161125,-9.853014,9.498524
gpt2_wt2,gpt2,gpt2,query_proj,XW_q + b_q,2,1830813696,-0.008582,1.827512,-14.439514,15.668130
gpt2_wt2,gpt2,gpt2,query_proj,XW_q + b_q,3,1830813696,-0.073408,1.678486,-11.411235,12.491917
gpt2_wt2,gpt2,gpt2,query_proj,XW_q + b_q,4,1830813696,0.088796,1.700107,-20.088041,15.804713
gpt2_wt2,gpt2,gpt2,query_proj,XW_q + b_q,5,1830813696,-0.042631,1.661705,-13.979936,13.378314
gpt2_wt2,gpt2,gpt2,query_proj,XW_q + b_q,6,1830813696,0.016118,1.500106,-13.933165,12.625177
gpt2_wt2,gpt2,gpt2,query_proj,XW_q + b_q,7,1830813696,-0.002121,1.564854,-14.112335,11.344484
gpt2_wt2,gpt2,gpt2,query_proj,XW_q + b_q,8,1830813696,-0.026124,1.411986,-13.375619,10.463916
gpt2_wt2,gpt2,gpt2,query_proj,XW_q + b_q,9,1830813696,0.002151,1.400948,-14.375138,11.694064
gpt2_wt2,gpt2,gpt2,query_proj,XW_q + b_q,10,1830813696,0.033151,1.332253,-11.665874,12.442679
gpt2_wt2,gpt2,gpt2,query_proj,XW_q + b_q,11,1830813696,0.019730,1.218548,-9.850803,11.424311
gpt2_wt2,gpt2,gpt2,key_proj,XW_k + b_k,0,1830813696,-0.039394,1.692066,-11.238782,11.432240
gpt2_wt2,gpt2,gpt2,key_proj,XW_k + b_k,1,1830813696,-0.020395,1.429245,-11.565834,10.731716
gpt2_wt2,gpt2,gpt2,key_proj,XW_k + b_k,2,1830813696,-0.062196,3.166182,-15.721786,14.949250
gpt2_wt2,gpt2,gpt2,key_proj,XW_k + b_k,3,1830813696,-0.002229,3.992661,-21.974470,22.562931
gpt2_wt2,gpt2,gpt2,key_proj,XW_k + b_k,4,1830813696,-0.000933,3.609515,-32.110661,31.915741
gpt2_wt2,gpt2,gpt2,key_proj,XW_k + b_k,5,1830813696,0.006044,2.047970,-18.669601,18.385506
gpt2_wt2,gpt2,gpt2,key_proj,XW_k + b_k,6,1830813696,0.026880,1.991215,-17.425482,15.904323
gpt2_wt2,gpt2,gpt2,key_proj,XW_k + b_k,7,1830813696,0.021610,1.930397,-15.260058,15.907230
gpt2_wt2,gpt2,gpt2,key_proj,XW_k + b_k,8,1830813696,-0.034019,1.791082,-16.424080,14.709462
gpt2_wt2,gpt2,gpt2,key_proj,XW_k + b_k,9,1830813696,-0.059467,1.627477,-15.830320,13.008581
gpt2_wt2,gpt2,gpt2,key_proj,XW_k + b_k,10,1830813696,-0.006200,1.536534,-13.294146,12.080049
gpt2_wt2,gpt2,gpt2,key_proj,XW_k + b_k,11,1830813696,-0.027487,1.264739,-9.396525,10.827755
gpt2_wt2,gpt2,gpt2,value_proj,XW_v + b_v,0,1830813696,0.004302,0.265569,-2.619142,3.593328
gpt2_wt2,gpt2,gpt2,value_proj,XW_v + b_v,1,1830813696,0.008453,0.490107,-5.250312,5.067871
gpt2_wt2,gpt2,gpt2,value_proj,XW_v + b_v,2,1830813696,-0.008437,0.544479,-5.670963,4.504622
gpt2_wt2,gpt2,gpt2,value_proj,XW_v + b_v,3,1830813696,0.006795,0.540820,-5.365959,5.408272
gpt2_wt2,gpt2,gpt2,value_proj,XW_v + b_v,4,1830813696,-0.004772,0.584172,-5.098237,4.811735
gpt2_wt2,gpt2,gpt2,value_proj,XW_v + b_v,5,1830813696,-0.001385,0.751466,-7.014204,7.773179
gpt2_wt2,gpt2,gpt2,value_proj,XW_v + b_v,6,1830813696,-0.005649,0.756603,-6.294354,6.685253
gpt2_wt2,gpt2,gpt2,value_proj,XW_v + b_v,7,1830813696,-0.011980,0.868879,-7.647601,7.437402
gpt2_wt2,gpt2,gpt2,value_proj,XW_v + b_v,8,1830813696,0.000749,0.891159,-8.838501,8.294534
gpt2_wt2,gpt2,gpt2,value_proj,XW_v + b_v,9,1830813696,0.002409,0.984424,-10.029959,9.954672
gpt2_wt2,gpt2,gpt2,value_proj,XW_v + b_v,10,1830813696,-0.016488,1.062410,-10.891344,11.852569
gpt2_wt2,gpt2,gpt2,value_proj,XW_v + b_v,11,1830813696,-0.002407,1.247677,-13.785946,13.689495
gpt2_wt2,gpt2,gpt2,qkt_raw,QKᵀ (raw),0,14646509568,-6.912655,74.872126,-461.055756,469.842285
gpt2_wt2,gpt2,gpt2,qkt_raw,QKᵀ (raw),1,14646509568,-2.065360,37.186470,-201.995789,250.385132
gpt2_wt2,gpt2,gpt2,qkt_raw,QKᵀ (raw),2,14646509568,-17.303399,186.600337,-1131.721924,978.685425
gpt2_wt2,gpt2,gpt2,qkt_raw,QKᵀ (raw),3,14646509568,-23.167984,173.733096,-765.078369,756.309875
gpt2_wt2,gpt2,gpt2,qkt_raw,QKᵀ (raw),4,14646509568,-13.822682,210.486181,-2066.708008,2242.877197
gpt2_wt2,gpt2,gpt2,qkt_raw,QKᵀ (raw),5,14646509568,-28.584868,68.857851,-417.206177,368.056122
gpt2_wt2,gpt2,gpt2,qkt_raw,QKᵀ (raw),6,14646509568,-20.626999,64.971132,-442.018799,345.943359
gpt2_wt2,gpt2,gpt2,qkt_raw,QKᵀ (raw),7,14646509568,-25.916963,60.548137,-418.334442,360.876068
gpt2_wt2,gpt2,gpt2,qkt_raw,QKᵀ (raw),8,14646509568,-16.687455,51.440906,-377.233032,339.658783
gpt2_wt2,gpt2,gpt2,qkt_raw,QKᵀ (raw),9,14646509568,-20.135477,42.654649,-339.268372,322.850067
gpt2_wt2,gpt2,gpt2,qkt_raw,QKᵀ (raw),10,14646509568,-15.871618,36.228432,-391.117218,340.702118
