task,arch,model,probe,probe_display,layer,count,mean,std,min,max
mnli,bert,textattack/bert-base-uncased-MNLI,input_ids,Input IDs,all,50265856,1146.044560,3129.017993,0.000000,30102.000000
mnli,bert,textattack/bert-base-uncased-MNLI,after_embed,After Embedding,all,38604177408,-0.040601,0.483525,-11.188816,4.214314
mnli,bert,textattack/bert-base-uncased-MNLI,query_proj,XW_q + b_q,0,38604177408,0.003248,0.981410,-7.719391,7.298074
mnli,bert,textattack/bert-base-uncased-MNLI,query_proj,XW_q + b_q,1,38604177408,0.045001,1.011120,-8.056944,8.689608
mnli,bert,textattack/bert-base-uncased-MNLI,query_proj,XW_q + b_q,2,38604177408,0.035412,1.169878,-14.358468,12.737723
mnli,bert,textattack/bert-base-uncased-MNLI,query_proj,XW_q + b_q,3,38604177408,-0.014323,1.041679,-9.000648,9.209717
mnli,bert,textattack/bert-base-uncased-MNLI,query_proj,XW_q + b_q,4,38604177408,0.005097,1.101243,-9.098135,9.338359
mnli,bert,textattack/bert-base-uncased-MNLI,query_proj,XW_q + b_q,5,38604177408,-0.050555,1.259229,-10.257289,9.774059
mnli,bert,textattack/bert-base-uncased-MNLI,query_proj,XW_q + b_q,6,38604177408,-0.044214,1.278319,-9.865473,9.051789
mnli,bert,textattack/bert-base-uncased-MNLI,query_proj,XW_q + b_q,7,38604177408,-0.017187,1.345851,-11.145994,10.728271
mnli,bert,textattack/bert-base-uncased-MNLI,query_proj,XW_q + b_q,8,38604177408,-0.044486,1.295880,-10.967394,9.900019
mnli,bert,textattack/bert-base-uncased-MNLI,query_proj,XW_q + b_q,9,38604177408,0.017043,1.285108,-11.131929,9.768604
mnli,bert,textattack/bert-base-uncased-MNLI,query_proj,XW_q + b_q,10,38604177408,-0.024650,1.245327,-11.754825,11.048114
mnli,bert,textattack/bert-base-uncased-MNLI,query_proj,XW_q + b_q,11,38604177408,0.049195,1.240351,-9.203267,10.456716
mnli,bert,textattack/bert-base-uncased-MNLI,key_proj,XW_k + b_k,0,38604177408,-0.024521,1.059444,-7.191996,8.703808
mnli,bert,textattack/bert-base-uncased-MNLI,key_proj,XW_k + b_k,1,38604177408,-0.018802,1.026399,-8.276680,8.146731
mnli,bert,textattack/bert-base-uncased-MNLI,key_proj,XW_k + b_k,2,38604177408,0.031952,1.139708,-12.532161,11.833468
mnli,bert,textattack/bert-base-uncased-MNLI,key_proj,XW_k + b_k,3,38604177408,-0.010755,1.083519,-8.317271,8.451598
mnli,bert,textattack/bert-base-uncased-MNLI,key_proj,XW_k + b_k,4,38604177408,0.024013,1.099808,-9.324562,9.356190
mnli,bert,textattack/bert-base-uncased-MNLI,key_proj,XW_k + b_k,5,38604177408,0.037767,1.290983,-9.307369,10.551610
mnli,bert,textattack/bert-base-uncased-MNLI,key_proj,XW_k + b_k,6,38604177408,0.018990,1.292816,-9.137062,9.826910
mnli,bert,textattack/bert-base-uncased-MNLI,key_proj,XW_k + b_k,7,38604177408,0.012588,1.371408,-9.655594,10.300673
mnli,bert,textattack/bert-base-uncased-MNLI,key_proj,XW_k + b_k,8,38604177408,0.015009,1.258845,-9.719349,11.095719
mnli,bert,textattack/bert-base-uncased-MNLI,key_proj,XW_k + b_k,9,38604177408,0.007093,1.210308,-10.741068,11.517849
mnli,bert,textattack/bert-base-uncased-MNLI,key_proj,XW_k + b_k,10,38604177408,0.003665,1.258177,-10.460478,10.118149
mnli,bert,textattack/bert-base-uncased-MNLI,key_proj,XW_k + b_k,11,38604177408,-0.020048,1.163962,-12.559490,10.782173
mnli,bert,textattack/bert-base-uncased-MNLI,value_proj,XW_v + b_v,0,38604177408,0.014338,0.431715,-4.874691,3.747820
