task,arch,model,probe,probe_display,layer,count,mean,std,min,max
mrpc,bert,textattack/bert-base-uncased-MRPC,input_ids,Input IDs,all,469504,1670.961295,3783.902954,0.000000,29597.000000
mrpc,bert,textattack/bert-base-uncased-MRPC,after_embed,After Embedding,all,360579072,-0.033986,0.500491,-11.136454,4.243284
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,0,360579072,0.003319,0.978225,-7.596871,6.594040
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,1,360579072,0.042521,1.011356,-7.377986,8.210133
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,2,360579072,0.042988,1.209913,-13.112684,11.340063
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,3,360579072,-0.014456,1.062862,-8.477591,9.390171
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,4,360579072,0.013590,1.110211,-8.446662,9.941094
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,5,360579072,-0.045298,1.243477,-8.309627,8.226133
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,6,360579072,-0.052804,1.293562,-8.788973,8.350860
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,7,360579072,-0.033625,1.329443,-9.294613,9.505558
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,8,360579072,-0.059530,1.279053,-8.430233,7.911332
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,9,360579072,-0.015135,1.352364,-10.486233,8.674284
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,10,360579072,-0.025637,1.238518,-11.878846,9.006307
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,11,360579072,0.051157,1.311663,-8.517806,7.667835
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,0,360579072,-0.022397,1.073533,-6.616960,8.688034
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,1,360579072,-0.017649,1.065203,-7.078261,7.020629
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,2,360579072,0.030470,1.143195,-9.778504,10.549419
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,3,360579072,-0.005378,1.065637,-7.072070,6.977572
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,4,360579072,0.009833,1.075718,-8.121809,8.118605
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,5,360579072,0.029541,1.263647,-7.328552,9.032177
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,6,360579072,0.012991,1.285454,-7.934387,8.121874
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,7,360579072,0.006100,1.340000,-8.391773,8.367558
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,8,360579072,0.005946,1.257717,-7.838389,9.057014
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,9,360579072,0.011340,1.322023,-8.864166,9.376764
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,10,360579072,-0.004537,1.387336,-10.197468,9.284531
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,11,360579072,-0.055357,1.347783,-12.941542,14.186573
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,0,360579072,0.010585,0.450100,-3.910233,3.568795
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,1,360579072,-0.019052,0.543347,-6.085353,5.918528
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,2,360579072,0.002477,0.555327,-5.384592,5.064777
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,3,360579072,0.002915,0.586378,-5.053416,5.190303
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,4,360579072,0.012798,0.658117,-5.610694,6.010178
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,5,360579072,-0.013693,0.644515,-6.332800,6.623001
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,6,360579072,-0.010299,0.672367,-5.996089,5.722452
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,7,360579072,0.008045,0.598917,-4.350279,4.541497
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,8,360579072,-0.018035,0.707588,-4.895836,5.087471
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,9,360579072,0.011830,0.716002,-5.493534,7.092105
