task,arch,model,probe,probe_display,layer,count,mean,std,min,max
qnli,bert,textattack/bert-base-uncased-QNLI,input_ids,Input IDs,all,13407104,1614.192227,3847.920513,0.000000,30511.000000
qnli,bert,textattack/bert-base-uncased-QNLI,after_embed,After Embedding,all,10296655872,-0.036450,0.495981,-11.137854,4.250173
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,0,10296655872,0.004962,0.975367,-7.690986,6.802196
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,1,10296655872,0.042073,1.013258,-8.403214,8.696239
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,2,10296655872,0.044624,1.234782,-14.435066,12.516788
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,3,10296655872,-0.017552,1.053227,-9.268921,8.934513
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,4,10296655872,0.019627,1.105538,-8.835210,9.285810
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,5,10296655872,-0.049722,1.237675,-9.641415,8.954296
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,6,10296655872,-0.032774,1.247087,-10.410308,8.777349
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,7,10296655872,-0.022885,1.299990,-10.409224,9.794461
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,8,10296655872,-0.031590,1.243109,-10.813196,8.782780
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,9,10296655872,0.003446,1.253156,-10.007535,9.115472
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,10,10296655872,-0.016461,1.230839,-12.176294,9.809336
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,11,10296655872,0.078138,1.254230,-9.568049,8.790358
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,0,10296655872,-0.022037,1.068378,-7.087881,8.674801
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,1,10296655872,-0.019830,1.043337,-8.252700,8.041533
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,2,10296655872,0.029867,1.179740,-12.323346,11.687772
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,3,10296655872,-0.004133,1.073845,-8.100246,7.794895
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,4,10296655872,0.018193,1.084026,-9.492594,9.211485
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,5,10296655872,0.015055,1.247404,-9.057157,9.472214
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,6,10296655872,0.012437,1.272162,-9.387463,9.497522
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,7,10296655872,0.006664,1.313440,-9.213245,10.755491
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,8,10296655872,0.003029,1.217338,-9.536257,9.863954
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,9,10296655872,-0.000967,1.175285,-9.406759,9.190538
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,10,10296655872,0.029974,1.256134,-9.898005,9.755148
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,11,10296655872,0.000295,1.203564,-11.681107,13.068856
