task,arch,model,probe,probe_display,layer,count,mean,std,min,max
rte,bert,textattack/bert-base-uncased-RTE,input_ids,Input IDs,all,318720,2246.847405,4371.889782,0.000000,29646.000000
rte,bert,textattack/bert-base-uncased-RTE,after_embed,After Embedding,all,244776960,-0.025933,0.516410,-11.135330,4.244280
rte,bert,textattack/bert-base-uncased-RTE,query_proj,XW_q + b_q,0,244776960,0.004280,0.979738,-7.655912,6.857938
rte,bert,textattack/bert-base-uncased-RTE,query_proj,XW_q + b_q,1,244776960,0.040748,1.048342,-8.101355,8.433821
rte,bert,textattack/bert-base-uncased-RTE,query_proj,XW_q + b_q,2,244776960,0.042914,1.215884,-11.817369,11.058937
rte,bert,textattack/bert-base-uncased-RTE,query_proj,XW_q + b_q,3,244776960,-0.015099,1.106343,-8.238911,8.958019
rte,bert,textattack/bert-base-uncased-RTE,query_proj,XW_q + b_q,4,244776960,0.023214,1.174183,-9.299343,9.401586
rte,bert,textattack/bert-base-uncased-RTE,query_proj,XW_q + b_q,5,244776960,-0.046804,1.311261,-9.467699,9.373091
rte,bert,textattack/bert-base-uncased-RTE,query_proj,XW_q + b_q,6,244776960,-0.050201,1.342919,-9.819911,9.384857
rte,bert,textattack/bert-base-uncased-RTE,query_proj,XW_q + b_q,7,244776960,-0.014018,1.345153,-10.115650,9.511543
rte,bert,textattack/bert-base-uncased-RTE,query_proj,XW_q + b_q,8,244776960,-0.051268,1.259194,-10.549395,8.749594
rte,bert,textattack/bert-base-uncased-RTE,query_proj,XW_q + b_q,9,244776960,-0.000603,1.236272,-9.320744,8.470017
rte,bert,textattack/bert-base-uncased-RTE,query_proj,XW_q + b_q,10,244776960,-0.010051,1.248110,-10.495083,8.605700
rte,bert,textattack/bert-base-uncased-RTE,query_proj,XW_q + b_q,11,244776960,0.019276,1.238214,-9.181180,10.480097
rte,bert,textattack/bert-base-uncased-RTE,key_proj,XW_k + b_k,0,244776960,-0.022149,1.082827,-6.875471,9.158724
rte,bert,textattack/bert-base-uncased-RTE,key_proj,XW_k + b_k,1,244776960,-0.012842,1.084794,-8.709610,8.127554
rte,bert,textattack/bert-base-uncased-RTE,key_proj,XW_k + b_k,2,244776960,0.017663,1.141559,-9.136922,9.441750
rte,bert,textattack/bert-base-uncased-RTE,key_proj,XW_k + b_k,3,244776960,-0.007244,1.101408,-8.114197,7.403473
rte,bert,textattack/bert-base-uncased-RTE,key_proj,XW_k + b_k,4,244776960,0.014581,1.130551,-9.148960,8.672184
rte,bert,textattack/bert-base-uncased-RTE,key_proj,XW_k + b_k,5,244776960,0.035412,1.311455,-8.914633,9.886864
rte,bert,textattack/bert-base-uncased-RTE,key_proj,XW_k + b_k,6,244776960,0.014861,1.318266,-9.301950,9.792252
rte,bert,textattack/bert-base-uncased-RTE,key_proj,XW_k + b_k,7,244776960,0.029306,1.351983,-9.132632,9.378862
rte,bert,textattack/bert-base-uncased-RTE,key_proj,XW_k + b_k,8,244776960,0.000610,1.227422,-9.197767,9.457650
rte,bert,textattack/bert-base-uncased-RTE,key_proj,XW_k + b_k,9,244776960,-0.012309,1.166811,-9.165085,9.177739
rte,bert,textattack/bert-base-uncased-RTE,key_proj,XW_k + b_k,10,244776960,0.008323,1.226363,-9.233397,8.681528
rte,bert,textattack/bert-base-uncased-RTE,key_proj,XW_k + b_k,11,244776960,-0.014172,1.198419,-10.921812,10.519451
rte,bert,textattack/bert-base-uncased-RTE,value_proj,XW_v + b_v,0,244776960,0.008848,0.471193,-5.017413,3.786439
rte,bert,textattack/bert-base-uncased-RTE,value_proj,XW_v + b_v,1,244776960,-0.014971,0.564759,-6.352455,6.362247
rte,bert,textattack/bert-base-uncased-RTE,value_proj,XW_v + b_v,2,244776960,0.009027,0.578735,-5.219758,4.947327
rte,bert,textattack/bert-base-uncased-RTE,value_proj,XW_v + b_v,3,244776960,0.001162,0.613533,-5.230373,5.287495
rte,bert,textattack/bert-base-uncased-RTE,value_proj,XW_v + b_v,4,244776960,0.009822,0.690057,-5.845782,6.136302
rte,bert,textattack/bert-base-uncased-RTE,value_proj,XW_v + b_v,5,244776960,-0.016261,0.683944,-5.685633,6.153934
rte,bert,textattack/bert-base-uncased-RTE,value_proj,XW_v + b_v,6,244776960,-0.003171,0.677140,-5.625130,5.416461
rte,bert,textattack/bert-base-uncased-RTE,value_proj,XW_v + b_v,7,244776960,0.011208,0.606274,-4.867020,5.215588
rte,bert,textattack/bert-base-uncased-RTE,value_proj,XW_v + b_v,8,244776960,-0.006638,0.712655,-5.549483,5.892887
rte,bert,textattack/bert-base-uncased-RTE,value_proj,XW_v + b_v,9,244776960,0.003742,0.694343,-6.788200,6.138916
rte,bert,textattack/bert-base-uncased-RTE,value_proj,XW_v + b_v,10,244776960,0.014318,0.689545,-9.786434,10.265448
rte,bert,textattack/bert-base-uncased-RTE,value_proj,XW_v + b_v,11,244776960,0.007428,0.739769,-9.532439,7.901645
rte,bert,textattack/bert-base-uncased-RTE,qkt_raw,QKᵀ (raw),0,489553920,2.128600,18.037816,-98.714783,112.417145
rte,bert,textattack/bert-base-uncased-RTE,qkt_raw,QKᵀ (raw),1,489553920,-3.656246,16.839204,-160.454407,143.349884
rte,bert,textattack/bert-base-uncased-RTE,qkt_raw,QKᵀ (raw),2,489553920,-1.841614,26.909748,-353.638641,285.939423
rte,bert,textattack/bert-base-uncased-RTE,qkt_raw,QKᵀ (raw),3,489553920,2.407799,18.453061,-168.688034,150.489899
rte,bert,textattack/bert-base-uncased-RTE,qkt_raw,QKᵀ (raw),4,489553920,-5.922606,18.446891,-137.617706,128.235596
rte,bert,textattack/bert-base-uncased-RTE,qkt_raw,QKᵀ (raw),5,489553920,-10.739106,24.482758,-213.728088,140.635498
rte,bert,textattack/bert-base-uncased-RTE,qkt_raw,QKᵀ (raw),6,489553920,-7.709087,25.400827,-191.357422,152.862595
rte,bert,textattack/bert-base-uncased-RTE,qkt_raw,QKᵀ (raw),7,489553920,-9.983510,24.752560,-181.646088,147.442993
rte,bert,textattack/bert-base-uncased-RTE,qkt_raw,QKᵀ (raw),8,489553920,-0.414781,21.274777,-156.397583,141.892731
rte,bert,textattack/bert-base-uncased-RTE,qkt_raw,QKᵀ (raw),9,489553920,0.589576,17.755633,-133.054123,144.941513
rte,bert,textattack/bert-base-uncased-RTE,qkt_raw,QKᵀ (raw),10,489553920,-17.689791,19.576388,-174.259445,165.302872
rte,bert,textattack/bert-base-uncased-RTE,qkt_raw,QKᵀ (raw),11,489553920,-20.212807,17.243921,-197.220993,120.037643
rte,bert,textattack/bert-base-uncased-RTE,attn_scores,QKᵀ/√dₖ + mask,0,489553920,-163329547530001702145412380696592252928.000000,170004766440717506412291379198773166080.000000,-340282346638528859811704183484516925440.000000,14.052143
rte,bert,textattack/bert-base-uncased-RTE,attn_scores,QKᵀ/√dₖ + mask,1,489553920,-163329547530001702145412380696592252928.000000,170004766440717506412291379198773166080.000000,-340282346638528859811704183484516925440.000000,17.918736
rte,bert,textattack/bert-base-uncased-RTE,attn_scores,QKᵀ/√dₖ + mask,2,489553920,-163329547530001702145412380696592252928.000000,170004766440717506412291379198773166080.000000,-340282346638528859811704183484516925440.000000,35.742428
rte,bert,textattack/bert-base-uncased-RTE,attn_scores,QKᵀ/√dₖ + mask,3,489553920,-163329547530001702145412380696592252928.000000,170004766440717506412291379198773166080.000000,-340282346638528859811704183484516925440.000000,18.811237
rte,bert,textattack/bert-base-uncased-RTE,attn_scores,QKᵀ/√dₖ + mask,4,489553920,-163329547530001702145412380696592252928.000000,170004766440717506412291379198773166080.000000,-340282346638528859811704183484516925440.000000,16.029449
rte,bert,textattack/bert-base-uncased-RTE,attn_scores,QKᵀ/√dₖ + mask,5,489553920,-163329547530001702145412380696592252928.000000,170004766440717506412291379198773166080.000000,-340282346638528859811704183484516925440.000000,17.579437
rte,bert,textattack/bert-base-uncased-RTE,attn_scores,QKᵀ/√dₖ + mask,6,489553920,-163329547530001702145412380696592252928.000000,170004766440717506412291379198773166080.000000,-340282346638528859811704183484516925440.000000,19.107824
rte,bert,textattack/bert-base-uncased-RTE,attn_scores,QKᵀ/√dₖ + mask,7,489553920,-163329547530001702145412380696592252928.000000,170004766440717506412291379198773166080.000000,-340282346638528859811704183484516925440.000000,18.430374
