task,arch,model,probe,probe_display,layer,count,mean,std,min,max
sst2,bert,textattack/bert-base-uncased-SST-2,input_ids,Input IDs,all,8620672,453.931168,2306.234433,0.000000,29667.000000
sst2,bert,textattack/bert-base-uncased-SST-2,after_embed,After Embedding,all,6620676096,-0.056005,0.453995,-11.126772,4.233061
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,0,6620676096,0.004604,0.991370,-7.667239,7.056220
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,1,6620676096,0.047507,0.924044,-7.689064,8.275738
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,2,6620676096,0.050933,1.043850,-13.101696,11.312335
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,3,6620676096,-0.017560,0.927928,-8.027306,8.478910
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,4,6620676096,-0.004778,1.003228,-8.979419,7.982352
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,5,6620676096,-0.043858,1.156212,-8.718138,8.949328
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,6,6620676096,-0.048768,1.146227,-8.932162,8.350794
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,7,6620676096,-0.013166,1.188148,-9.838881,8.646359
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,8,6620676096,-0.051602,1.143602,-8.944031,8.450419
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,9,6620676096,0.038647,1.174125,-10.604110,9.373848
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,10,6620676096,-0.014495,1.175973,-7.901917,9.359749
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,11,6620676096,0.035259,1.157400,-6.920365,7.730316
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,0,6620676096,-0.028820,1.060887,-6.377158,8.735720
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,1,6620676096,-0.023939,0.975478,-6.973569,7.217288
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,2,6620676096,0.047082,1.006562,-10.877886,10.657310
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,3,6620676096,-0.004808,0.943014,-7.031422,7.342918
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,4,6620676096,0.002250,0.950041,-7.823972,7.840476
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,5,6620676096,0.038151,1.094352,-8.404501,8.297678
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,6,6620676096,0.014457,1.113570,-7.955461,9.053668
