task,arch,model,probe,probe_display,layer,count,mean,std,min,max
wnli,bert,textattack/bert-base-uncased-WNLI,input_ids,Input IDs,all,81280,957.345620,2698.670668,0.000000,29353.000000
wnli,bert,textattack/bert-base-uncased-WNLI,after_embed,After Embedding,all,62423040,-0.042163,0.480627,-11.109372,4.247875
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,0,62423040,0.004214,0.986148,-7.644506,6.545885
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,1,62423040,0.040940,0.946939,-7.191443,7.669222
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,2,62423040,0.047616,1.133579,-10.438145,9.402687
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,3,62423040,-0.003585,1.006331,-8.094888,7.397542
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,4,62423040,-0.002561,1.031392,-7.815656,9.252519
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,5,62423040,-0.045318,1.161542,-7.121233,8.318692
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,6,62423040,-0.069704,1.162425,-8.559620,7.775436
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,7,62423040,-0.022980,1.187171,-8.762948,7.841442
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,8,62423040,-0.053711,1.132002,-8.086471,7.751410
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,9,62423040,0.017020,1.108935,-8.897742,8.251028
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,10,62423040,0.003234,1.098586,-10.146014,7.897199
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,11,62423040,0.037044,1.080533,-6.540181,7.659161
wnli,bert,textattack/bert-base-uncased-WNLI,key_proj,XW_k + b_k,0,62423040,-0.025179,1.074359,-6.717706,8.725266
wnli,bert,textattack/bert-base-uncased-WNLI,key_proj,XW_k + b_k,1,62423040,-0.023120,1.023951,-7.328720,6.965174
wnli,bert,textattack/bert-base-uncased-WNLI,key_proj,XW_k + b_k,2,62423040,0.030144,1.074270,-8.109358,9.237119
wnli,bert,textattack/bert-base-uncased-WNLI,key_proj,XW_k + b_k,3,62423040,-0.005809,0.976507,-6.626763,6.230649
wnli,bert,textattack/bert-base-uncased-WNLI,key_proj,XW_k + b_k,4,62423040,0.005431,0.950353,-6.566009,6.864866
