task,arch,model,probe,probe_display,layer,count,mean,std,min,max,accum_max
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,input_ids,Input IDs,all,1094528,284.929519,1603.948331,0.000000,29593.000000,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,after_embed,After Embedding,all,1120796672,-0.051838,0.461364,-4.596697,5.637281,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,0,1120796672,-0.028513,0.923015,-6.188897,8.681005,20.448984
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,1,1120796672,-0.019150,1.177381,-7.212683,7.118389,22.735336
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,2,1120796672,-0.010133,0.911839,-10.349985,10.668406,27.644289
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,3,1120796672,-0.020167,0.946172,-8.785246,8.314692,33.543190
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,4,1120796672,-0.005944,0.951903,-8.434138,8.001632,28.118858
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,5,1120796672,0.048919,0.765646,-8.879137,8.746477,26.628847
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,6,1120796672,-0.006491,0.709509,-8.630838,8.527837,23.843107
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,7,1120796672,0.013514,0.646570,-8.635592,7.469734,22.477961
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,8,1120796672,-0.004607,0.636352,-7.767949,8.108418,23.496576
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,9,1120796672,0.008761,0.812970,-9.985390,9.638859,40.558193
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,10,1120796672,-0.025941,0.908734,-8.892915,9.775041,38.394161
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,11,1120796672,-0.076736,0.981402,-9.582509,9.227907,30.690008
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,12,1120796672,0.010551,1.050016,-7.863262,8.864742,32.456722
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,13,1120796672,0.015031,1.065971,-7.779952,8.490108,26.092281
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,14,1120796672,0.016378,1.086113,-9.405917,9.016341,24.231684
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,15,1120796672,-0.004346,1.088430,-7.853440,8.000441,24.634352
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,16,1120796672,-0.028391,1.104798,-8.417920,8.684687,23.967337
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,17,1120796672,-0.017573,1.123047,-9.685573,8.430893,29.003765
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,18,1120796672,0.008561,1.121915,-8.151023,8.173977,26.910727
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,19,1120796672,-0.031171,1.120291,-7.918082,7.731871,25.590590
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,20,1120796672,0.008544,1.234973,-7.846567,8.656235,25.430601
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,21,1120796672,0.026752,1.196187,-8.657231,8.378718,25.722429
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,22,1120796672,0.015530,1.268156,-8.195249,8.407525,26.088703
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,23,1120796672,-0.073374,1.395626,-9.372529,10.285283,28.269312
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,0,1120796672,-0.004320,0.942454,-6.644921,7.412483,20.590021
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,1,1120796672,0.042358,1.226088,-9.296849,9.016346,23.790386
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,2,1120796672,0.007643,0.769261,-7.271456,6.995258,27.229338
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,3,1120796672,-0.002309,0.845873,-8.230795,8.235720,32.220394
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,4,1120796672,0.005808,0.823059,-8.493648,8.957715,29.414537
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,5,1120796672,0.031346,0.738609,-8.557782,7.471722,27.544500
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,6,1120796672,-0.002713,0.522256,-6.684454,6.719518,23.587971
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,7,1120796672,0.010476,0.421605,-6.834810,7.410829,22.371384
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,8,1120796672,0.005203,0.530236,-7.245412,6.150726,23.737442
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,9,1120796672,0.001909,0.884201,-9.735253,9.515308,40.095459
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,10,1120796672,-0.028493,1.128837,-8.265571,8.056168,37.139244
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,11,1120796672,-0.009930,0.992538,-7.260695,7.670604,29.068514
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,12,1120796672,-0.002258,0.998056,-7.769487,8.440276,30.931259
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,13,1120796672,-0.001804,1.061713,-6.596500,7.005777,26.042070
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,14,1120796672,0.017564,0.976727,-7.300314,7.113710,24.198282
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,15,1120796672,-0.010059,0.873957,-6.816724,6.728151,23.866579
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,16,1120796672,-0.006591,1.135917,-7.869579,7.537036,23.785387
