task,arch,model,probe,probe_display,layer,count,n_zero,pct_zero,n_gt1,pct_gt1,n_gt10,pct_gt10,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]","pct_(1e+02,1e+03]","pct_(1e+03,1e+04]","pct_(1e+04,1e+05]"
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,input_ids,Input IDs,all,1094528,997669,91.1506,96859,8.8494,96859,8.8494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5672,6.6643,0.6179
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,after_embed,After Embedding,all,1120796672,0,0.0000,42095265,3.7558,0,0.0000,0.0000,0.0001,0.0016,0.0218,0.1520,1.6981,16.6124,77.7582,3.7558,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,0,1120796672,0,0.0000,247109819,22.0477,0,0.0000,0.0000,0.0000,0.0001,0.0097,0.1014,0.9839,9.3987,67.4585,22.0477,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,1,1120796672,0,0.0000,393530813,35.1117,0,0.0000,0.0000,0.0001,0.0007,0.0067,0.0670,0.6699,6.6937,57.4503,35.1117,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,2,1120796672,1,0.0000,237027895,21.1482,9,0.0000,0.0000,0.0001,0.0010,0.0096,0.0958,0.9600,9.5716,68.2138,21.1482,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,3,1120796672,2,0.0000,230149499,20.5345,0,0.0000,0.0000,0.0001,0.0010,0.0102,0.1025,1.0259,10.2103,68.1155,20.5345,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,4,1120796672,0,0.0000,235163073,20.9818,0,0.0000,0.0000,0.0001,0.0010,0.0098,0.0973,0.9735,9.7021,68.2344,20.9818,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,5,1120796672,0,0.0000,165544600,14.7703,0,0.0000,0.0000,0.0001,0.0012,0.0118,0.1177,1.1775,11.7101,72.2114,14.7703,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,6,1120796672,1,0.0000,138508794,12.3581,0,0.0000,0.0000,0.0001,0.0014,0.0143,0.1429,1.4291,14.1479,71.9061,12.3581,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,7,1120796672,3,0.0000,109344252,9.7559,0,0.0000,0.0000,0.0001,0.0015,0.0146,0.1459,1.4580,14.3256,74.2983,9.7559,0.0000,0.0000,0.0000,0.0000
