task,arch,model,probe,probe_display,layer,count,mean,std,min,max,accum_max
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,input_ids,Input IDs,all,8620672,453.931168,2306.234433,0.000000,29667.000000,
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,after_embed,After Embedding,all,8827568128,-0.050785,0.463244,-4.708068,5.731920,
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,0,8827568128,-0.027091,0.921655,-6.874025,8.812449,20.566990
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,1,8827568128,-0.012112,1.179487,-7.550258,7.829511,22.789703
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,2,8827568128,-0.009783,0.921773,-9.851625,11.191011,27.972338
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,3,8827568128,-0.012709,0.954665,-9.205523,9.725732,34.016365
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,4,8827568128,-0.000683,0.869867,-10.199256,8.375880,28.909182
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,5,8827568128,0.043243,0.781089,-9.697896,8.100952,26.381437
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,6,8827568128,-0.006818,0.704102,-8.875922,8.156148,24.641596
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,7,8827568128,0.008733,0.677973,-7.889494,8.409066,23.523954
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,8,8827568128,0.001868,0.801806,-7.884689,8.697757,24.171211
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,9,8827568128,0.042363,1.050605,-10.782503,11.096773,41.571079
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,10,8827568128,-0.033135,1.195538,-10.244404,10.917869,39.427505
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,11,8827568128,-0.059825,1.371376,-9.306236,9.583212,30.701298
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,12,8827568128,0.061963,1.352565,-9.231066,8.802357,32.355415
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,13,8827568128,0.007950,1.142321,-8.199964,7.838222,26.463942
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,14,8827568128,0.002490,1.132399,-8.917688,9.007146,24.749416
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,15,8827568128,-0.019330,0.980009,-9.076514,7.863214,25.030846
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,16,8827568128,-0.008969,1.085834,-7.378582,7.228798,23.535515
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,17,8827568128,0.004133,1.212619,-8.228045,8.047697,27.749352
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,18,8827568128,0.004262,1.078267,-11.704843,8.666321,25.732639
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,19,8827568128,-0.011887,1.126381,-7.715899,9.049877,24.818529
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,20,8827568128,0.032610,1.216052,-9.554385,10.570146,24.963686
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,21,8827568128,0.004710,1.081632,-8.269618,9.586953,25.225615
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,22,8827568128,-0.007579,1.031400,-9.732216,9.519925,26.227652
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,23,8827568128,-0.049726,1.109420,-10.847931,11.595557,28.319052
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,0,8827568128,-0.007896,0.946818,-7.311300,7.961947,20.890039
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,1,8827568128,0.043609,1.291696,-9.511438,9.822416,24.290142
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,2,8827568128,0.007870,0.775909,-8.092320,8.121449,28.106512
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,3,8827568128,-0.002625,0.832741,-9.175576,9.074285,32.253494
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,4,8827568128,0.006961,0.775796,-8.322951,8.014690,29.036963
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,5,8827568128,0.025573,0.719723,-8.590223,7.026026,28.141108
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,6,8827568128,-0.006982,0.545752,-7.547174,7.432926,24.549242
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,7,8827568128,0.010517,0.466825,-7.653992,8.657048,23.410036
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,8,8827568128,-0.004314,0.577964,-8.017379,7.777025,24.474318
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,9,8827568128,-0.013956,1.008005,-10.418751,10.357699,40.724728
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,10,8827568128,-0.009910,1.238251,-9.581274,10.217359,38.454556
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,key_proj,XW_k + b_k,11,8827568128,0.060478,1.238673,-7.551881,8.744219,29.319490
