task,arch,model,probe,probe_display,layer,count,n_zero,pct_zero,n_gt1,pct_gt1,n_gt10,pct_gt10,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]","pct_(1e+02,1e+03]","pct_(1e+03,1e+04]","pct_(1e+04,1e+05]"
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,input_ids,Input IDs,all,8620672,7723633,89.5943,897039,10.4057,897039,10.4057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5640,7.4958,1.3460
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,after_embed,After Embedding,all,8827568128,0,0.0000,338111390,3.8302,0,0.0000,0.0000,0.0000,0.0002,0.0108,0.1707,1.6853,16.6745,77.6283,3.8302,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,0,8827568128,6,0.0000,1916421310,21.7095,0,0.0000,0.0000,0.0000,0.0016,0.0089,0.1037,0.9429,9.5009,67.7325,21.7095,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,1,8827568128,12,0.0000,3111259161,35.2448,0,0.0000,0.0000,0.0001,0.0007,0.0067,0.0675,0.6754,6.7437,57.2610,35.2448,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,2,8827568128,10,0.0000,1890626113,21.4173,123,0.0000,0.0000,0.0001,0.0010,0.0098,0.0974,0.9750,9.7050,67.7943,21.4173,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,3,8827568128,12,0.0000,1797742726,20.3651,0,0.0000,0.0000,0.0001,0.0010,0.0103,0.1034,1.0333,10.2865,68.2002,20.3651,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,4,8827568128,13,0.0000,1590268945,18.0148,2,0.0000,0.0000,0.0001,0.0011,0.0110,0.1095,1.0946,10.8731,69.8958,18.0148,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,5,8827568128,18,0.0000,1351105086,15.3055,0,0.0000,0.0000,0.0001,0.0011,0.0116,0.1155,1.1552,11.5157,71.8953,15.3055,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,6,8827568128,9,0.0000,1091813342,12.3682,0,0.0000,0.0000,0.0001,0.0014,0.0140,0.1397,1.3969,13.8158,72.2638,12.3682,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,7,8827568128,23,0.0000,943321274,10.6861,0,0.0000,0.0000,0.0001,0.0015,0.0148,0.1480,1.4797,14.5152,73.1545,10.6861,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,8,8827568128,30,0.0000,1371649027,15.5382,0,0.0000,0.0000,0.0001,0.0012,0.0115,0.1148,1.1481,11.4223,71.7638,15.5382,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,9,8827568128,22,0.0000,2052585542,23.2520,36,0.0000,0.0000,0.0001,0.0010,0.0097,0.0967,0.9674,9.6320,66.0411,23.2520,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,10,8827568128,11,0.0000,2875046980,32.5690,115,0.0000,0.0000,0.0001,0.0007,0.0074,0.0734,0.7350,7.3299,59.2845,32.5690,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,11,8827568128,7,0.0000,3907658455,44.2665,0,0.0000,0.0000,0.0001,0.0006,0.0056,0.0557,0.5570,5.5703,49.5444,44.2665,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,12,8827568128,3,0.0000,3936981485,44.5987,0,0.0000,0.0000,0.0001,0.0006,0.0055,0.0553,0.5530,5.5276,49.2592,44.5987,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,13,8827568128,13,0.0000,2722166685,30.8371,0,0.0000,0.0000,0.0001,0.0008,0.0077,0.0771,0.7711,7.7017,60.6044,30.8371,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,14,8827568128,11,0.0000,2857488271,32.3701,0,0.0000,0.0000,0.0001,0.0007,0.0072,0.0718,0.7176,7.1554,59.6772,32.3701,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,15,8827568128,21,0.0000,2524076226,28.5931,0,0.0000,0.0000,0.0001,0.0008,0.0078,0.0780,0.7799,7.7954,62.7449,28.5931,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,16,8827568128,29,0.0000,2921623574,33.0966,0,0.0000,0.0000,0.0001,0.0007,0.0069,0.0694,0.6942,6.9316,59.2005,33.0966,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,17,8827568128,17,0.0000,3340623281,37.8431,0,0.0000,0.0000,0.0001,0.0006,0.0065,0.0646,0.6463,6.4485,54.9903,37.8431,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,18,8827568128,16,0.0000,2757212881,31.2341,1989,0.0000,0.0000,0.0001,0.0008,0.0077,0.0767,0.7673,7.6645,60.2488,31.2341,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,19,8827568128,23,0.0000,3022451400,34.2388,0,0.0000,0.0000,0.0001,0.0007,0.0072,0.0725,0.7247,7.1207,57.8353,34.2388,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,20,8827568128,27,0.0000,3284254629,37.2045,125,0.0000,0.0000,0.0001,0.0007,0.0069,0.0693,0.6923,6.7929,55.2332,37.2045,0.0000,0.0000,0.0000,0.0000
bl_sst2,bert,assemblyai/bert-large-uncased-sst2,query_proj,XW_q + b_q,21,8827568128,23,0.0000,2690525511,30.4787,0,0.0000,0.0000,0.0001,0.0008,0.0083,0.0833,0.8331,8.2579,60.3378,30.4787,0.0000,0.0000,0.0000,0.0000
