task,arch,model,probe,probe_display,layer,count,mean,std,min,max,accum_max
mrpc,bert,textattack/bert-base-uncased-MRPC,input_ids,Input IDs,all,469504,1670.961295,3783.902954,0.000000,29597.000000,
mrpc,bert,textattack/bert-base-uncased-MRPC,after_embed,After Embedding,all,360579072,-0.033986,0.500491,-11.136454,4.243284,
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,0,360579072,0.003319,0.978225,-7.596871,6.594040,20.090590
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,1,360579072,0.042521,1.011356,-7.377987,8.210132,22.077604
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,2,360579072,0.042988,1.209913,-13.112685,11.340061,35.739277
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,3,360579072,-0.014456,1.062862,-8.477589,9.390169,25.541801
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,4,360579072,0.013590,1.110211,-8.446662,9.941095,21.667591
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,5,360579072,-0.045298,1.243477,-8.309629,8.226131,23.054033
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,6,360579072,-0.052804,1.293562,-8.788971,8.350860,22.754028
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,7,360579072,-0.033625,1.329443,-9.294615,9.505560,23.884037
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,8,360579072,-0.059530,1.279053,-8.430231,7.911334,23.412863
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,9,360579072,-0.015135,1.352364,-10.486239,8.674284,23.236902
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,10,360579072,-0.025637,1.238518,-11.878843,9.006304,22.568121
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,11,360579072,0.051157,1.311663,-8.517807,7.667834,22.188519
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,0,360579072,-0.022397,1.073533,-6.616960,8.688034,20.678524
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,1,360579072,-0.017649,1.065203,-7.078261,7.020630,22.273531
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,2,360579072,0.030470,1.143195,-9.778504,10.549417,34.847496
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,3,360579072,-0.005378,1.065637,-7.072070,6.977572,26.105455
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,4,360579072,0.009833,1.075718,-8.121808,8.118605,21.467886
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,5,360579072,0.029541,1.263647,-7.328550,9.032175,23.080511
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,6,360579072,0.012991,1.285454,-7.934389,8.121876,22.067045
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,7,360579072,0.006100,1.340000,-8.391773,8.367556,23.491238
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,8,360579072,0.005946,1.257717,-7.838390,9.057014,23.193417
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,9,360579072,0.011340,1.322023,-8.864166,9.376764,23.470676
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,10,360579072,-0.004537,1.387336,-10.197464,9.284532,21.926493
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,11,360579072,-0.055357,1.347783,-12.941544,14.186573,22.324039
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,0,360579072,0.010585,0.450100,-3.910233,3.568795,13.427109
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,1,360579072,-0.019052,0.543347,-6.085353,5.918530,18.620089
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,2,360579072,0.002477,0.555327,-5.384592,5.064778,17.741207
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,3,360579072,0.002915,0.586378,-5.053416,5.190305,19.022703
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,4,360579072,0.012798,0.658117,-5.610696,6.010177,19.182261
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,5,360579072,-0.013693,0.644515,-6.332803,6.623002,18.902895
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,6,360579072,-0.010299,0.672367,-5.996091,5.722452,18.074823
mrpc,bert,textattack/bert-base-uncased-MRPC,value_proj,XW_v + b_v,7,360579072,0.008045,0.598917,-4.350278,4.541498,16.807133
