task,arch,model,probe,probe_display,layer,count,n_zero,pct_zero,n_gt1,pct_gt1,n_gt10,pct_gt10,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]","pct_(1e+02,1e+03]","pct_(1e+03,1e+04]","pct_(1e+04,1e+05]"
mrpc,bert,textattack/bert-base-uncased-MRPC,input_ids,Input IDs,all,469504,274214,58.4050,195290,41.5950,195290,41.5950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8779,34.7058,4.0113
mrpc,bert,textattack/bert-base-uncased-MRPC,after_embed,After Embedding,all,360579072,0,0.0000,16998018,4.7141,3668,0.0010,0.0000,0.0000,0.0015,0.0150,0.1664,1.5079,15.6581,77.9370,4.7131,0.0010,0.0000,0.0000,0.0000
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,0,360579072,1,0.0000,86308313,23.9360,0,0.0000,0.0000,0.0001,0.0003,0.0093,0.1002,0.9566,9.3119,65.6856,23.9360,0.0000,0.0000,0.0000,0.0000
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,1,360579072,5,0.0000,100786502,27.9513,0,0.0000,0.0000,0.0001,0.0009,0.0084,0.0838,0.8365,8.3175,62.8016,27.9513,0.0000,0.0000,0.0000,0.0000
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,2,360579072,1,0.0000,105565584,29.2767,2038,0.0006,0.0000,0.0001,0.0009,0.0085,0.0854,0.8540,8.4938,61.2807,29.2761,0.0006,0.0000,0.0000,0.0000
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,3,360579072,3,0.0000,105988273,29.3939,0,0.0000,0.0000,0.0001,0.0008,0.0080,0.0797,0.7969,7.9446,61.7761,29.3939,0.0000,0.0000,0.0000,0.0000
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,4,360579072,2,0.0000,116427402,32.2890,0,0.0000,0.0000,0.0001,0.0007,0.0073,0.0730,0.7323,7.3333,59.5642,32.2890,0.0000,0.0000,0.0000,0.0000
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,5,360579072,3,0.0000,133367866,36.9871,0,0.0000,0.0000,0.0001,0.0007,0.0068,0.0673,0.6728,6.7079,55.5573,36.9871,0.0000,0.0000,0.0000,0.0000
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,6,360579072,0,0.0000,141240594,39.1705,0,0.0000,0.0000,0.0001,0.0006,0.0064,0.0634,0.6362,6.3182,53.8046,39.1705,0.0000,0.0000,0.0000,0.0000
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,7,360579072,3,0.0000,145834789,40.4446,0,0.0000,0.0000,0.0001,0.0006,0.0062,0.0619,0.6178,6.1608,52.7081,40.4446,0.0000,0.0000,0.0000,0.0000
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,8,360579072,3,0.0000,145691488,40.4049,0,0.0000,0.0000,0.0001,0.0006,0.0061,0.0611,0.6125,6.1204,52.7945,40.4049,0.0000,0.0000,0.0000,0.0000
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,9,360579072,4,0.0000,153811330,42.6568,11,0.0000,0.0000,0.0001,0.0006,0.0059,0.0592,0.5919,5.8669,50.8187,42.6568,0.0000,0.0000,0.0000,0.0000
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,10,360579072,3,0.0000,141847506,39.3388,618,0.0002,0.0000,0.0001,0.0006,0.0062,0.0626,0.6247,6.2602,53.7068,39.3386,0.0002,0.0000,0.0000,0.0000
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,11,360579072,4,0.0000,153175880,42.4805,0,0.0000,0.0000,0.0001,0.0006,0.0057,0.0570,0.5704,5.7665,51.1193,42.4805,0.0000,0.0000,0.0000,0.0000
mrpc,bert,textattack/bert-base-uncased-MRPC,query_proj,XW_q + b_q,AGG,4326948864,32,0.0000,1530045527,35.3608,2667,0.0001,0.0000,0.0001,0.0007,0.0071,0.0712,0.7085,7.0502,56.8015,35.3608,0.0001,0.0000,0.0000,0.0000
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,0,360579072,1,0.0000,101041909,28.0221,0,0.0000,0.0000,0.0000,0.0019,0.0105,0.0854,0.8188,8.2121,62.8492,28.0221,0.0000,0.0000,0.0000,0.0000
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,1,360579072,6,0.0000,104427321,28.9610,0,0.0000,0.0000,0.0001,0.0008,0.0081,0.0816,0.8169,8.1400,61.9915,28.9610,0.0000,0.0000,0.0000,0.0000
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,2,360579072,2,0.0000,103997010,28.8417,13,0.0000,0.0000,0.0001,0.0008,0.0084,0.0836,0.8361,8.3298,61.8996,28.8417,0.0000,0.0000,0.0000,0.0000
mrpc,bert,textattack/bert-base-uncased-MRPC,key_proj,XW_k + b_k,3,360579072,2,0.0000,110536866,30.6554,0,0.0000,0.0000,0.0001,0.0008,0.0080,0.0790,0.7901,7.8623,60.6044,30.6554,0.0000,0.0000,0.0000,0.0000
