task,arch,model,probe,probe_display,layer,count,mean,std,min,max,accum_max
qnli,bert,textattack/bert-base-uncased-QNLI,input_ids,Input IDs,all,13407104,1614.192227,3847.920513,0.000000,30511.000000,
qnli,bert,textattack/bert-base-uncased-QNLI,after_embed,After Embedding,all,10296655872,-0.036450,0.495981,-11.137854,4.250173,
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,0,10296655872,0.004962,0.975367,-7.690986,6.802196,20.844400
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,1,10296655872,0.042073,1.013258,-8.403214,8.696239,22.237026
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,2,10296655872,0.044624,1.234782,-14.435064,12.516787,36.700001
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,3,10296655872,-0.017552,1.053227,-9.268923,8.934513,26.333284
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,4,10296655872,0.019627,1.105538,-8.835210,9.285810,22.013992
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,5,10296655872,-0.049722,1.237675,-9.641413,8.954298,23.512285
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,6,10296655872,-0.032774,1.247087,-10.410305,8.777350,23.067923
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,7,10296655872,-0.022885,1.299990,-10.409223,9.794460,24.004581
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,8,10296655872,-0.031590,1.243109,-10.813198,8.782779,23.169430
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,9,10296655872,0.003446,1.253156,-10.007532,9.115469,23.262678
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,10,10296655872,-0.016461,1.230839,-12.176295,9.809339,23.105211
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,11,10296655872,0.078138,1.254230,-9.568048,8.790359,22.585529
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,0,10296655872,-0.022037,1.068378,-7.087881,8.674801,21.395784
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,1,10296655872,-0.019830,1.043337,-8.252700,8.041534,22.501986
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,2,10296655872,0.029867,1.179740,-12.323346,11.687771,35.086266
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,3,10296655872,-0.004133,1.073845,-8.100245,7.794897,26.576067
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,4,10296655872,0.018193,1.084026,-9.492593,9.211483,21.884630
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,5,10296655872,0.015055,1.247404,-9.057158,9.472216,23.579639
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,6,10296655872,0.012437,1.272162,-9.387460,9.497520,22.600554
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,7,10296655872,0.006664,1.313440,-9.213245,10.755490,23.594923
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,8,10296655872,0.003029,1.217338,-9.536257,9.863954,23.171286
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,9,10296655872,-0.000967,1.175285,-9.406759,9.190535,23.160107
