task,arch,model,probe,probe_display,layer,count,n_zero,pct_zero,n_gt1,pct_gt1,n_gt10,pct_gt10,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]","pct_(1e+02,1e+03]","pct_(1e+03,1e+04]","pct_(1e+04,1e+05]"
qnli,bert,textattack/bert-base-uncased-QNLI,input_ids,Input IDs,all,13407104,8231354,61.3955,5175750,38.6045,5175750,38.6045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0068,2.5982,31.8560,4.1435
qnli,bert,textattack/bert-base-uncased-QNLI,after_embed,After Embedding,all,10296655872,0,0.0000,478791139,4.6500,104743,0.0010,0.0000,0.0001,0.0016,0.0209,0.1464,1.6203,16.0053,77.5554,4.6490,0.0010,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,0,10296655872,12,0.0000,2457572672,23.8677,0,0.0000,0.0000,0.0000,0.0004,0.0071,0.0984,0.9591,9.4254,65.6418,23.8677,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,1,10296655872,121,0.0000,2890161213,28.0689,0,0.0000,0.0000,0.0001,0.0008,0.0082,0.0817,0.8171,8.1562,62.8669,28.0689,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,2,10296655872,109,0.0000,3081200593,29.9243,66074,0.0006,0.0000,0.0001,0.0008,0.0083,0.0833,0.8325,8.2903,60.8604,29.9236,0.0006,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,3,10296655872,112,0.0000,3007866320,29.2121,0,0.0000,0.0000,0.0001,0.0008,0.0080,0.0804,0.8039,8.0180,61.8767,29.2121,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,4,10296655872,90,0.0000,3308171034,32.1286,0,0.0000,0.0000,0.0001,0.0007,0.0074,0.0737,0.7364,7.3660,59.6871,32.1286,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,5,10296655872,82,0.0000,3739735136,36.3199,0,0.0000,0.0000,0.0001,0.0007,0.0069,0.0686,0.6856,6.8037,56.1146,36.3199,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,6,10296655872,101,0.0000,3796201230,36.8683,22,0.0000,0.0000,0.0001,0.0007,0.0067,0.0667,0.6684,6.6501,55.7390,36.8683,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,7,10296655872,114,0.0000,3980519503,38.6584,40,0.0000,0.0000,0.0001,0.0006,0.0064,0.0641,0.6403,6.3995,54.2305,38.6584,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,8,10296655872,95,0.0000,4022330763,39.0644,21,0.0000,0.0000,0.0001,0.0006,0.0064,0.0637,0.6363,6.3094,53.9192,39.0644,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,9,10296655872,112,0.0000,4061563498,39.4455,1,0.0000,0.0000,0.0001,0.0006,0.0063,0.0629,0.6294,6.2572,53.5981,39.4455,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,10,10296655872,106,0.0000,4038635371,39.2228,5933,0.0001,0.0000,0.0001,0.0006,0.0063,0.0625,0.6263,6.3064,53.7749,39.2227,0.0001,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,11,10296655872,113,0.0000,4139651968,40.2038,0,0.0000,0.0000,0.0001,0.0006,0.0060,0.0601,0.6011,6.0533,53.0751,40.2038,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,query_proj,XW_q + b_q,AGG,123559870464,1167,0.0000,42523609301,34.4154,72091,0.0001,0.0000,0.0001,0.0007,0.0070,0.0722,0.7197,7.1696,57.6154,34.4153,0.0001,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,0,10296655872,63,0.0000,2874836671,27.9201,0,0.0000,0.0000,0.0000,0.0009,0.0070,0.0906,0.8330,8.2497,62.8988,27.9201,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,1,10296655872,113,0.0000,2879172126,27.9622,0,0.0000,0.0000,0.0001,0.0008,0.0085,0.0849,0.8483,8.4491,62.6461,27.9622,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,2,10296655872,102,0.0000,3058145062,29.7004,595,0.0000,0.0000,0.0001,0.0008,0.0080,0.0801,0.8003,7.9956,61.4147,29.7004,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,3,10296655872,76,0.0000,3200759111,31.0854,0,0.0000,0.0000,0.0001,0.0008,0.0080,0.0797,0.7970,7.9071,60.1219,31.0854,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,4,10296655872,95,0.0000,3390507356,32.9282,0,0.0000,0.0000,0.0001,0.0007,0.0072,0.0724,0.7246,7.1966,59.0701,32.9282,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,5,10296655872,94,0.0000,3931183913,38.1792,0,0.0000,0.0000,0.0001,0.0007,0.0067,0.0669,0.6689,6.6007,54.4768,38.1792,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,6,10296655872,93,0.0000,4191148508,40.7040,0,0.0000,0.0000,0.0001,0.0006,0.0061,0.0612,0.6114,6.1023,52.5143,40.7040,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,7,10296655872,79,0.0000,4384831864,42.5850,7,0.0000,0.0000,0.0001,0.0006,0.0058,0.0585,0.5868,5.9097,50.8534,42.5850,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,8,10296655872,109,0.0000,4048599661,39.3196,0,0.0000,0.0000,0.0001,0.0006,0.0063,0.0631,0.6306,6.2846,53.6952,39.3196,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,9,10296655872,133,0.0000,3931170467,38.1791,0,0.0000,0.0000,0.0001,0.0006,0.0063,0.0635,0.6358,6.3676,54.7470,38.1791,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,10,10296655872,115,0.0000,4005571266,38.9017,0,0.0000,0.0000,0.0001,0.0006,0.0065,0.0646,0.6460,6.4727,53.9079,38.9017,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,11,10296655872,114,0.0000,3872229335,37.6067,7053,0.0001,0.0000,0.0001,0.0007,0.0067,0.0672,0.6705,6.6791,54.9690,37.6066,0.0001,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,key_proj,XW_k + b_k,AGG,123559870464,1186,0.0000,43768155340,35.4226,7655,0.0000,0.0000,0.0001,0.0007,0.0069,0.0711,0.7044,7.0179,56.7763,35.4226,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,value_proj,XW_v + b_v,0,10296655872,15,0.0000,346327958,3.3635,0,0.0000,0.0010,0.0009,0.0026,0.0207,0.2028,1.9570,19.2573,75.1943,3.3635,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,value_proj,XW_v + b_v,1,10296655872,116,0.0000,664318733,6.4518,0,0.0000,0.0000,0.0002,0.0016,0.0163,0.1628,1.6281,16.0616,75.6777,6.4518,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,value_proj,XW_v + b_v,2,10296655872,122,0.0000,730591658,7.0954,0,0.0000,0.0000,0.0002,0.0016,0.0160,0.1595,1.5948,15.7381,75.3944,7.0954,0.0000,0.0000,0.0000,0.0000
qnli,bert,textattack/bert-base-uncased-QNLI,value_proj,XW_v + b_v,3,10296655872,102,0.0000,840592967,8.1637,0,0.0000,0.0000,0.0002,0.0015,0.0155,0.1546,1.5468,15.1772,74.9404,8.1637,0.0000,0.0000,0.0000,0.0000
