task,arch,model,probe,probe_display,layer,count,mean,std,min,max,accum_max
sst2,bert,textattack/bert-base-uncased-SST-2,input_ids,Input IDs,all,8620672,453.931168,2306.234433,0.000000,29667.000000,
sst2,bert,textattack/bert-base-uncased-SST-2,after_embed,After Embedding,all,6620676096,-0.056005,0.453995,-11.126772,4.233061,
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,0,6620676096,0.004604,0.991370,-7.667239,7.056220,20.160059
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,1,6620676096,0.047507,0.924044,-7.689064,8.275739,21.798550
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,2,6620676096,0.050933,1.043850,-13.101696,11.312338,36.071507
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,3,6620676096,-0.017560,0.927928,-8.027307,8.478910,26.261557
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,4,6620676096,-0.004778,1.003228,-8.979419,7.982353,21.846952
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,5,6620676096,-0.043858,1.156212,-8.718137,8.949330,23.348648
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,6,6620676096,-0.048768,1.146227,-8.932164,8.350793,22.957594
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,7,6620676096,-0.013166,1.188148,-9.838881,8.646362,24.081108
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,8,6620676096,-0.051602,1.143602,-8.944022,8.450418,23.058830
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,9,6620676096,0.038647,1.174125,-10.604107,9.373846,23.129480
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,10,6620676096,-0.014495,1.175973,-7.901922,9.359750,22.720667
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,11,6620676096,0.035259,1.157400,-6.920365,7.730319,22.697981
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,0,6620676096,-0.028820,1.060887,-6.377158,8.735720,20.800137
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,1,6620676096,-0.023939,0.975478,-6.973569,7.217288,22.206120
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,2,6620676096,0.047082,1.006562,-10.877889,10.657311,34.911301
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,3,6620676096,-0.004808,0.943014,-7.031420,7.342917,26.569904
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,4,6620676096,0.002250,0.950041,-7.823973,7.840475,21.708002
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,5,6620676096,0.038151,1.094352,-8.404501,8.297675,23.079182
