task,arch,model,probe,probe_display,layer,count,n_zero,pct_zero,n_gt1,pct_gt1,n_gt10,pct_gt10,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]","pct_(1e+02,1e+03]","pct_(1e+03,1e+04]","pct_(1e+04,1e+05]"
sst2,bert,textattack/bert-base-uncased-SST-2,input_ids,Input IDs,all,8620672,7723633,89.5943,897039,10.4057,897039,10.4057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5640,7.4958,1.3460
sst2,bert,textattack/bert-base-uncased-SST-2,after_embed,After Embedding,all,6620676096,0,0.0000,256423990,3.8731,67349,0.0010,0.0000,0.0000,0.0021,0.0245,0.1856,1.8216,18.3468,75.7463,3.8721,0.0010,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,0,6620676096,3,0.0000,1548846320,23.3941,0,0.0000,0.0000,0.0000,0.0001,0.0122,0.0924,1.0071,9.9574,65.5367,23.3941,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,1,6620676096,66,0.0000,1608635200,24.2971,0,0.0000,0.0000,0.0001,0.0009,0.0091,0.0909,0.9089,9.0536,65.6394,24.2971,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,2,6620676096,91,0.0000,1446494480,21.8481,4896,0.0001,0.0000,0.0001,0.0010,0.0102,0.1019,1.0184,10.1377,66.8826,21.8481,0.0001,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,3,6620676096,70,0.0000,1536052324,23.2008,0,0.0000,0.0000,0.0001,0.0009,0.0094,0.0942,0.9420,9.3866,66.3658,23.2008,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,4,6620676096,65,0.0000,1800637088,27.1972,0,0.0000,0.0000,0.0001,0.0008,0.0084,0.0841,0.8412,8.3919,63.4763,27.1972,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,5,6620676096,43,0.0000,2171649219,32.8010,0,0.0000,0.0000,0.0001,0.0007,0.0074,0.0745,0.7457,7.4320,58.9385,32.8010,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,6,6620676096,66,0.0000,2175263773,32.8556,0,0.0000,0.0000,0.0001,0.0007,0.0073,0.0727,0.7295,7.2879,59.0462,32.8556,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,7,6620676096,66,0.0000,2306149700,34.8325,0,0.0000,0.0000,0.0001,0.0007,0.0070,0.0696,0.6961,6.9243,57.4696,34.8325,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,8,6620676096,68,0.0000,2340269942,35.3479,0,0.0000,0.0000,0.0001,0.0007,0.0068,0.0680,0.6808,6.8175,57.0782,35.3479,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,9,6620676096,71,0.0000,2446048754,36.9456,12,0.0000,0.0000,0.0001,0.0007,0.0066,0.0658,0.6578,6.5524,55.7711,36.9456,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,10,6620676096,81,0.0000,2502735092,37.8018,0,0.0000,0.0000,0.0001,0.0006,0.0064,0.0643,0.6431,6.4290,55.0547,37.8018,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,11,6620676096,77,0.0000,2479268351,37.4474,0,0.0000,0.0000,0.0001,0.0006,0.0064,0.0643,0.6428,6.4384,55.4000,37.4474,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,query_proj,XW_q + b_q,AGG,79448113152,767,0.0000,24362050243,30.6641,4908,0.0000,0.0000,0.0001,0.0007,0.0081,0.0786,0.7928,7.9007,60.5549,30.6641,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,0,6620676096,6,0.0000,1701898305,25.7058,0,0.0000,0.0000,0.0000,0.0019,0.0069,0.1128,0.9352,8.8734,64.3641,25.7058,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,1,6620676096,84,0.0000,1571281810,23.7330,0,0.0000,0.0000,0.0001,0.0010,0.0095,0.0951,0.9505,9.4644,65.7465,23.7330,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,2,6620676096,78,0.0000,1466155838,22.1451,21,0.0000,0.0000,0.0001,0.0010,0.0101,0.1009,1.0086,10.0408,66.6935,22.1451,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,3,6620676096,63,0.0000,1614631375,24.3877,0,0.0000,0.0000,0.0001,0.0009,0.0093,0.0929,0.9296,9.2450,65.3345,24.3877,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,4,6620676096,54,0.0000,1765016242,26.6592,0,0.0000,0.0000,0.0001,0.0008,0.0082,0.0827,0.8260,8.2366,64.1865,26.6592,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,5,6620676096,75,0.0000,2141300969,32.3426,0,0.0000,0.0000,0.0001,0.0008,0.0075,0.0751,0.7526,7.5160,59.3054,32.3426,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,6,6620676096,58,0.0000,2295628960,34.6736,0,0.0000,0.0000,0.0001,0.0007,0.0068,0.0684,0.6843,6.8258,57.7403,34.6736,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,7,6620676096,62,0.0000,2429189884,36.6910,0,0.0000,0.0000,0.0001,0.0007,0.0066,0.0663,0.6642,6.6576,55.9135,36.6910,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,8,6620676096,63,0.0000,2189520848,33.0710,0,0.0000,0.0000,0.0001,0.0007,0.0071,0.0708,0.7081,7.0620,59.0802,33.0710,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,9,6620676096,73,0.0000,2231791471,33.7094,0,0.0000,0.0000,0.0001,0.0007,0.0070,0.0703,0.7029,7.0141,58.4955,33.7094,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,10,6620676096,75,0.0000,2458949762,37.1405,0,0.0000,0.0000,0.0001,0.0006,0.0066,0.0658,0.6576,6.5679,55.5610,37.1405,0.0000,0.0000,0.0000,0.0000
sst2,bert,textattack/bert-base-uncased-SST-2,key_proj,XW_k + b_k,11,6620676096,86,0.0000,2238358441,33.8086,0,0.0000,0.0000,0.0001,0.0007,0.0071,0.0709,0.7094,7.0772,58.3260,33.8086,0.0000,0.0000,0.0000,0.0000
