task,arch,model,probe,probe_display,layer,count,mean,std,min,max,accum_max
stsb,bert,textattack/bert-base-uncased-STS-B,input_ids,Input IDs,all,735872,885.627859,2945.473350,0.000000,30108.000000,
stsb,bert,textattack/bert-base-uncased-STS-B,after_embed,After Embedding,all,565149696,-0.048353,0.471889,-11.117514,4.247285,
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,0,565149696,0.002232,0.989578,-7.696301,6.450068,20.013107
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,1,565149696,0.049283,0.960125,-7.815835,8.496650,22.073112
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,2,565149696,0.049214,1.110478,-12.610756,10.865373,35.438683
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,3,565149696,-0.019807,1.007973,-8.574646,8.951914,25.520491
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,4,565149696,0.016017,1.037882,-8.109534,9.118889,21.524944
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,5,565149696,-0.050080,1.144874,-7.700418,8.184989,22.828455
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,6,565149696,-0.055149,1.210697,-8.204939,8.147055,22.452663
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,7,565149696,-0.033373,1.273311,-9.425636,9.311100,23.673973
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,8,565149696,-0.084882,1.243625,-8.491818,7.854600,22.827610
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,9,565149696,0.012406,1.251996,-9.547221,8.724232,23.043253
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,10,565149696,-0.008474,1.117139,-8.074674,8.223835,22.905281
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,11,565149696,0.047996,1.110059,-8.696086,7.277036,22.368853
stsb,bert,textattack/bert-base-uncased-STS-B,key_proj,XW_k + b_k,0,565149696,-0.027832,1.071835,-6.686970,8.741526,20.476009
stsb,bert,textattack/bert-base-uncased-STS-B,key_proj,XW_k + b_k,1,565149696,-0.024365,1.030752,-7.036014,6.861783,22.298079
stsb,bert,textattack/bert-base-uncased-STS-B,key_proj,XW_k + b_k,2,565149696,0.035388,1.068513,-9.607911,10.256432,34.324776
stsb,bert,textattack/bert-base-uncased-STS-B,key_proj,XW_k + b_k,3,565149696,-0.004202,1.023313,-7.873017,6.609805,25.948599
stsb,bert,textattack/bert-base-uncased-STS-B,key_proj,XW_k + b_k,4,565149696,0.029415,1.016458,-7.157971,7.931723,21.551050
stsb,bert,textattack/bert-base-uncased-STS-B,key_proj,XW_k + b_k,5,565149696,0.021023,1.168412,-7.002026,7.742101,22.732029
stsb,bert,textattack/bert-base-uncased-STS-B,key_proj,XW_k + b_k,6,565149696,-0.006365,1.212226,-7.423841,8.109186,21.909679
stsb,bert,textattack/bert-base-uncased-STS-B,key_proj,XW_k + b_k,7,565149696,-0.000740,1.291681,-7.879315,7.931993,23.213724
stsb,bert,textattack/bert-base-uncased-STS-B,key_proj,XW_k + b_k,8,565149696,-0.011868,1.222018,-7.884583,8.964181,23.247702
stsb,bert,textattack/bert-base-uncased-STS-B,key_proj,XW_k + b_k,9,565149696,0.032219,1.174314,-8.204219,9.370982,23.208382
stsb,bert,textattack/bert-base-uncased-STS-B,key_proj,XW_k + b_k,10,565149696,-0.003515,1.151173,-9.012534,7.455054,22.061951
stsb,bert,textattack/bert-base-uncased-STS-B,key_proj,XW_k + b_k,11,565149696,0.002879,1.037134,-7.996317,7.586686,21.956715
stsb,bert,textattack/bert-base-uncased-STS-B,value_proj,XW_v + b_v,0,565149696,0.017022,0.414424,-3.903406,3.637128,13.389726
stsb,bert,textattack/bert-base-uncased-STS-B,value_proj,XW_v + b_v,1,565149696,-0.024189,0.502847,-6.005256,5.724636,18.436291
stsb,bert,textattack/bert-base-uncased-STS-B,value_proj,XW_v + b_v,2,565149696,0.001709,0.498424,-4.877799,5.226439,17.678625
stsb,bert,textattack/bert-base-uncased-STS-B,value_proj,XW_v + b_v,3,565149696,-0.012761,0.517569,-5.231501,5.385594,18.798998
stsb,bert,textattack/bert-base-uncased-STS-B,value_proj,XW_v + b_v,4,565149696,0.025777,0.587311,-5.430007,5.710692,19.092215
stsb,bert,textattack/bert-base-uncased-STS-B,value_proj,XW_v + b_v,5,565149696,-0.016348,0.559164,-6.500708,6.725060,18.628387
stsb,bert,textattack/bert-base-uncased-STS-B,value_proj,XW_v + b_v,6,565149696,0.001089,0.595163,-5.635701,5.676929,17.930708
stsb,bert,textattack/bert-base-uncased-STS-B,value_proj,XW_v + b_v,7,565149696,0.009933,0.549288,-4.692473,4.809970,16.535486
stsb,bert,textattack/bert-base-uncased-STS-B,value_proj,XW_v + b_v,8,565149696,-0.020548,0.659736,-5.429092,5.176058,18.002922
stsb,bert,textattack/bert-base-uncased-STS-B,value_proj,XW_v + b_v,9,565149696,0.009869,0.666212,-5.711179,5.402922,18.290720
stsb,bert,textattack/bert-base-uncased-STS-B,value_proj,XW_v + b_v,10,565149696,0.015871,0.654845,-9.421516,8.318890,18.354136
stsb,bert,textattack/bert-base-uncased-STS-B,value_proj,XW_v + b_v,11,565149696,-0.004772,0.768500,-6.947973,5.994800,20.054802
stsb,bert,textattack/bert-base-uncased-STS-B,qkt_raw,QKᵀ (raw),0,1130299392,3.833099,19.817184,-97.902046,99.909492,134.381363
stsb,bert,textattack/bert-base-uncased-STS-B,qkt_raw,QKᵀ (raw),1,1130299392,-2.190650,15.110363,-131.868576,130.271606,176.755096
stsb,bert,textattack/bert-base-uncased-STS-B,qkt_raw,QKᵀ (raw),2,1130299392,3.700285,23.129262,-335.476837,326.166626,442.585236
stsb,bert,textattack/bert-base-uncased-STS-B,qkt_raw,QKᵀ (raw),3,1130299392,9.762624,16.077070,-118.647240,151.535034,185.772125
stsb,bert,textattack/bert-base-uncased-STS-B,qkt_raw,QKᵀ (raw),4,1130299392,2.915144,14.594583,-92.385880,129.854965,163.047897
stsb,bert,textattack/bert-base-uncased-STS-B,qkt_raw,QKᵀ (raw),5,1130299392,5.598321,16.403510,-127.248886,126.443085,193.555511
stsb,bert,textattack/bert-base-uncased-STS-B,qkt_raw,QKᵀ (raw),6,1130299392,7.695565,18.802746,-158.176956,120.153580,204.452866
stsb,bert,textattack/bert-base-uncased-STS-B,qkt_raw,QKᵀ (raw),7,1130299392,5.305180,18.210793,-133.254684,158.041809,196.770050
stsb,bert,textattack/bert-base-uncased-STS-B,qkt_raw,QKᵀ (raw),8,1130299392,7.317382,15.729650,-121.715195,160.385620,237.963425
stsb,bert,textattack/bert-base-uncased-STS-B,qkt_raw,QKᵀ (raw),9,1130299392,2.106552,18.526349,-157.721191,133.820450,249.950912
stsb,bert,textattack/bert-base-uncased-STS-B,qkt_raw,QKᵀ (raw),10,1130299392,-7.468936,16.890853,-160.234680,113.868393,202.603195
stsb,bert,textattack/bert-base-uncased-STS-B,qkt_raw,QKᵀ (raw),11,1130299392,-9.646808,14.121483,-99.249268,103.045059,173.472733
stsb,bert,textattack/bert-base-uncased-STS-B,attn_scores,QKᵀ/√dₖ + mask,0,1130299392,-266351008989832684870398239292392472576.000000,140327069301321969352167163998031052800.000000,-340282346638528859811704183484516925440.000000,12.420910,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_scores,QKᵀ/√dₖ + mask,1,1130299392,-266351008989832684870398239292392472576.000000,140327069301321969352167163998031052800.000000,-340282346638528859811704183484516925440.000000,16.283951,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_scores,QKᵀ/√dₖ + mask,2,1130299392,-266351008989832684870398239292392472576.000000,140327069301321969352167163998031052800.000000,-340282346638528859811704183484516925440.000000,35.691505,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_scores,QKᵀ/√dₖ + mask,3,1130299392,-266351008989832684870398239292392472576.000000,140327069301321969352167163998031052800.000000,-340282346638528859811704183484516925440.000000,18.941879,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_scores,QKᵀ/√dₖ + mask,4,1130299392,-266351008989832684870398239292392472576.000000,140327069301321969352167163998031052800.000000,-340282346638528859811704183484516925440.000000,16.231871,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_scores,QKᵀ/√dₖ + mask,5,1130299392,-266351008989832684870398239292392472576.000000,140327069301321969352167163998031052800.000000,-340282346638528859811704183484516925440.000000,15.805386,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_scores,QKᵀ/√dₖ + mask,6,1130299392,-266351008989832684870398239292392472576.000000,140327069301321969352167163998031052800.000000,-340282346638528859811704183484516925440.000000,15.019197,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_scores,QKᵀ/√dₖ + mask,7,1130299392,-266351008989832684870398239292392472576.000000,140327069301321969352167163998031052800.000000,-340282346638528859811704183484516925440.000000,19.755226,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_scores,QKᵀ/√dₖ + mask,8,1130299392,-266351008989832684870398239292392472576.000000,140327069301321969352167163998031052800.000000,-340282346638528859811704183484516925440.000000,20.048203,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_scores,QKᵀ/√dₖ + mask,9,1130299392,-266351008989832684870398239292392472576.000000,140327069301321969352167163998031052800.000000,-340282346638528859811704183484516925440.000000,16.727556,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_scores,QKᵀ/√dₖ + mask,10,1130299392,-266351008989832684870398239292392472576.000000,140327069301321969352167163998031052800.000000,-340282346638528859811704183484516925440.000000,14.233549,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_scores,QKᵀ/√dₖ + mask,11,1130299392,-266351008989832684870398239292392472576.000000,140327069301321969352167163998031052800.000000,-340282346638528859811704183484516925440.000000,12.880632,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_probs,Softmax(scores),0,1130299392,0.007813,0.052441,0.000000,0.999989,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_probs,Softmax(scores),1,1130299392,0.007813,0.047388,0.000000,0.999920,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_probs,Softmax(scores),2,1130299392,0.007813,0.045661,0.000000,1.000000,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_probs,Softmax(scores),3,1130299392,0.007813,0.040709,0.000000,0.999982,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_probs,Softmax(scores),4,1130299392,0.007813,0.035963,0.000000,0.999368,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_probs,Softmax(scores),5,1130299392,0.007813,0.043018,0.000000,0.999872,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_probs,Softmax(scores),6,1130299392,0.007812,0.043932,0.000000,0.999677,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_probs,Softmax(scores),7,1130299392,0.007813,0.048679,0.000000,0.999981,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_probs,Softmax(scores),8,1130299392,0.007813,0.048928,0.000000,0.999847,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_probs,Softmax(scores),9,1130299392,0.007813,0.052676,0.000000,0.999439,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_probs,Softmax(scores),10,1130299392,0.007813,0.041933,0.000000,0.999283,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_probs,Softmax(scores),11,1130299392,0.007813,0.038150,0.000000,0.994941,
stsb,bert,textattack/bert-base-uncased-STS-B,attn_context,Softmax × V,0,565149696,-0.002278,0.196341,-3.058758,3.419789,3.437034
stsb,bert,textattack/bert-base-uncased-STS-B,attn_context,Softmax × V,1,565149696,-0.001208,0.215232,-3.445113,3.591344,3.696724
stsb,bert,textattack/bert-base-uncased-STS-B,attn_context,Softmax × V,2,565149696,-0.000051,0.237983,-3.707436,3.962154,3.973064
stsb,bert,textattack/bert-base-uncased-STS-B,attn_context,Softmax × V,3,565149696,0.001887,0.198723,-3.723871,4.696614,4.696959
stsb,bert,textattack/bert-base-uncased-STS-B,attn_context,Softmax × V,4,565149696,-0.002065,0.270514,-4.277581,4.454282,4.467726
stsb,bert,textattack/bert-base-uncased-STS-B,attn_context,Softmax × V,5,565149696,-0.001203,0.271006,-4.403450,4.008397,4.411587
stsb,bert,textattack/bert-base-uncased-STS-B,attn_context,Softmax × V,6,565149696,0.001046,0.287710,-3.986986,3.909723,3.987040
stsb,bert,textattack/bert-base-uncased-STS-B,attn_context,Softmax × V,7,565149696,0.000306,0.217324,-3.322040,3.411175,3.411424
stsb,bert,textattack/bert-base-uncased-STS-B,attn_context,Softmax × V,8,565149696,-0.006859,0.237314,-4.406640,3.123004,4.438707
stsb,bert,textattack/bert-base-uncased-STS-B,attn_context,Softmax × V,9,565149696,0.002637,0.225577,-4.580770,4.236728,4.630352
stsb,bert,textattack/bert-base-uncased-STS-B,attn_context,Softmax × V,10,565149696,0.005018,0.288339,-3.970658,4.470541,5.124720
stsb,bert,textattack/bert-base-uncased-STS-B,attn_context,Softmax × V,11,565149696,-0.001985,0.320557,-4.657952,4.176428,4.658003
stsb,bert,textattack/bert-base-uncased-STS-B,attn_output,Attn × Wₒ,0,565149696,-0.000070,0.232216,-6.058549,5.963237,16.497562
stsb,bert,textattack/bert-base-uncased-STS-B,attn_output,Attn × Wₒ,1,565149696,-0.000155,0.208685,-3.166205,3.077212,11.701487
stsb,bert,textattack/bert-base-uncased-STS-B,attn_output,Attn × Wₒ,2,565149696,0.000037,0.192534,-2.815970,3.298743,11.557579
stsb,bert,textattack/bert-base-uncased-STS-B,attn_output,Attn × Wₒ,3,565149696,0.001453,0.176917,-2.990162,2.867084,11.496877
stsb,bert,textattack/bert-base-uncased-STS-B,attn_output,Attn × Wₒ,4,565149696,0.000680,0.277259,-3.367003,4.056718,13.892343
stsb,bert,textattack/bert-base-uncased-STS-B,attn_output,Attn × Wₒ,5,565149696,-0.001580,0.287971,-4.099260,3.318483,17.763935
stsb,bert,textattack/bert-base-uncased-STS-B,attn_output,Attn × Wₒ,6,565149696,-0.003409,0.291714,-3.087220,3.012628,14.991799
stsb,bert,textattack/bert-base-uncased-STS-B,attn_output,Attn × Wₒ,7,565149696,-0.001152,0.197362,-3.365208,2.345278,16.333841
stsb,bert,textattack/bert-base-uncased-STS-B,attn_output,Attn × Wₒ,8,565149696,-0.001076,0.208791,-3.732617,5.648827,19.726900
stsb,bert,textattack/bert-base-uncased-STS-B,attn_output,Attn × Wₒ,9,565149696,-0.000979,0.219046,-4.913629,4.502957,20.157993
stsb,bert,textattack/bert-base-uncased-STS-B,attn_output,Attn × Wₒ,10,565149696,0.000286,0.294668,-3.262737,2.406316,17.412657
stsb,bert,textattack/bert-base-uncased-STS-B,attn_output,Attn × Wₒ,11,565149696,0.001454,0.333687,-2.211023,2.658136,15.613460
stsb,bert,textattack/bert-base-uncased-STS-B,post_attn_ln,Post-Attn sub-block,0,565149696,-0.018473,1.099755,-65.741028,9.221077,
stsb,bert,textattack/bert-base-uncased-STS-B,post_attn_ln,Post-Attn sub-block,1,565149696,-0.041927,1.329210,-72.250580,5.639754,
stsb,bert,textattack/bert-base-uncased-STS-B,post_attn_ln,Post-Attn sub-block,2,565149696,-0.044239,1.510005,-57.453804,5.664911,
stsb,bert,textattack/bert-base-uncased-STS-B,post_attn_ln,Post-Attn sub-block,3,565149696,-0.030810,1.365619,-94.940811,5.286896,
stsb,bert,textattack/bert-base-uncased-STS-B,post_attn_ln,Post-Attn sub-block,4,565149696,-0.038087,1.337311,-102.774605,5.727552,
stsb,bert,textattack/bert-base-uncased-STS-B,post_attn_ln,Post-Attn sub-block,5,565149696,-0.031738,1.174836,-93.183006,5.723603,
stsb,bert,textattack/bert-base-uncased-STS-B,post_attn_ln,Post-Attn sub-block,6,565149696,-0.031685,1.101587,-91.943573,5.618493,
stsb,bert,textattack/bert-base-uncased-STS-B,post_attn_ln,Post-Attn sub-block,7,565149696,-0.036224,1.021161,-90.379295,6.932173,
stsb,bert,textattack/bert-base-uncased-STS-B,post_attn_ln,Post-Attn sub-block,8,565149696,-0.033802,0.978948,-85.859589,7.308757,
stsb,bert,textattack/bert-base-uncased-STS-B,post_attn_ln,Post-Attn sub-block,9,565149696,-0.032301,0.866904,-58.293167,16.567348,
stsb,bert,textattack/bert-base-uncased-STS-B,post_attn_ln,Post-Attn sub-block,10,565149696,-0.021730,0.882670,-56.547413,19.439844,
stsb,bert,textattack/bert-base-uncased-STS-B,post_attn_ln,Post-Attn sub-block,11,565149696,-0.052586,1.258290,-40.616367,6.688267,
stsb,bert,textattack/bert-base-uncased-STS-B,gelu_input,FFN1 (GELU in),0,2260598784,-2.392651,1.642951,-19.099928,14.034970,45.886883
stsb,bert,textattack/bert-base-uncased-STS-B,gelu_input,FFN1 (GELU in),1,2260598784,-1.851812,1.208732,-19.820881,11.324663,45.629520
stsb,bert,textattack/bert-base-uncased-STS-B,gelu_input,FFN1 (GELU in),2,2260598784,-2.201326,1.196214,-25.800470,66.478859,101.950386
stsb,bert,textattack/bert-base-uncased-STS-B,gelu_input,FFN1 (GELU in),3,2260598784,-1.966495,1.208277,-60.438343,9.554078,85.215950
stsb,bert,textattack/bert-base-uncased-STS-B,gelu_input,FFN1 (GELU in),4,2260598784,-1.825159,1.175014,-61.304966,11.510757,77.649246
stsb,bert,textattack/bert-base-uncased-STS-B,gelu_input,FFN1 (GELU in),5,2260598784,-1.793520,1.095916,-49.466270,14.218468,56.661335
stsb,bert,textattack/bert-base-uncased-STS-B,gelu_input,FFN1 (GELU in),6,2260598784,-1.854433,1.074147,-25.733940,9.466623,44.957176
stsb,bert,textattack/bert-base-uncased-STS-B,gelu_input,FFN1 (GELU in),7,2260598784,-1.667190,1.005014,-22.010164,9.044313,48.898453
stsb,bert,textattack/bert-base-uncased-STS-B,gelu_input,FFN1 (GELU in),8,2260598784,-1.530031,0.949415,-24.610769,21.504147,61.047207
