task,arch,model,probe,probe_display,layer,count,n_zero,pct_zero,n_gt1,pct_gt1,n_gt10,pct_gt10,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]","pct_(1e+02,1e+03]","pct_(1e+03,1e+04]","pct_(1e+04,1e+05]"
stsb,bert,textattack/bert-base-uncased-STS-B,input_ids,Input IDs,all,735872,575993,78.2735,159879,21.7265,159879,21.7265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4510,17.0647,2.2108
stsb,bert,textattack/bert-base-uncased-STS-B,after_embed,After Embedding,all,565149696,0,0.0000,23695871,4.1928,5749,0.0010,0.0000,0.0000,0.0013,0.0168,0.1760,1.7099,17.3896,76.5135,4.1918,0.0010,0.0000,0.0000,0.0000
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,0,565149696,0,0.0000,134251021,23.7549,0,0.0000,0.0000,0.0000,0.0002,0.0132,0.0912,0.9952,9.6816,65.4636,23.7549,0.0000,0.0000,0.0000,0.0000
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,1,565149696,3,0.0000,146762652,25.9688,0,0.0000,0.0000,0.0001,0.0009,0.0085,0.0858,0.8580,8.5396,64.5383,25.9688,0.0000,0.0000,0.0000,0.0000
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,2,565149696,9,0.0000,143210858,25.3403,1242,0.0002,0.0000,0.0001,0.0010,0.0095,0.0950,0.9499,9.4577,64.1464,25.3401,0.0002,0.0000,0.0000,0.0000
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,3,565149696,13,0.0000,147788057,26.1502,0,0.0000,0.0000,0.0001,0.0009,0.0089,0.0883,0.8828,8.7977,64.0710,26.1502,0.0000,0.0000,0.0000,0.0000
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,4,565149696,5,0.0000,166288227,29.4237,0,0.0000,0.0000,0.0001,0.0008,0.0078,0.0782,0.7834,7.8547,61.8513,29.4237,0.0000,0.0000,0.0000,0.0000
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,5,565149696,4,0.0000,187554232,33.1866,0,0.0000,0.0000,0.0001,0.0007,0.0073,0.0735,0.7328,7.3274,58.6715,33.1866,0.0000,0.0000,0.0000,0.0000
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,6,565149696,5,0.0000,200666153,35.5067,0,0.0000,0.0000,0.0001,0.0007,0.0069,0.0694,0.6940,6.8364,56.8857,35.5067,0.0000,0.0000,0.0000,0.0000
stsb,bert,textattack/bert-base-uncased-STS-B,query_proj,XW_q + b_q,7,565149696,6,0.0000,216008915,38.2215,0,0.0000,0.0000,0.0001,0.0007,0.0065,0.0648,0.6486,6.4894,54.5684,38.2215,0.0000,0.0000,0.0000,0.0000
