task,arch,model,probe,probe_display,layer,count,mean,std,min,max,accum_max
wnli,bert,textattack/bert-base-uncased-WNLI,input_ids,Input IDs,all,81280,957.345620,2698.670668,0.000000,29353.000000,
wnli,bert,textattack/bert-base-uncased-WNLI,after_embed,After Embedding,all,62423040,-0.042163,0.480627,-11.109372,4.247875,
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,0,62423040,0.004214,0.986148,-7.644509,6.545885,19.383846
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,1,62423040,0.040940,0.946939,-7.191443,7.669220,21.474707
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,2,62423040,0.047616,1.133579,-10.438147,9.402689,35.415588
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,3,62423040,-0.003585,1.006331,-8.094888,7.397543,25.433575
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,4,62423040,-0.002561,1.031392,-7.815654,9.252519,21.214792
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,5,62423040,-0.045318,1.161542,-7.121233,8.318690,22.637848
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,6,62423040,-0.069704,1.162425,-8.559620,7.775436,21.966480
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,7,62423040,-0.022980,1.187171,-8.762947,7.841440,23.058620
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,8,62423040,-0.053711,1.132002,-8.086472,7.751410,22.168604
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,9,62423040,0.017020,1.108935,-8.897743,8.251030,22.328051
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,10,62423040,0.003234,1.098586,-10.146015,7.897199,22.166363
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,11,62423040,0.037044,1.080533,-6.540181,7.659163,21.860647
wnli,bert,textattack/bert-base-uncased-WNLI,key_proj,XW_k + b_k,0,62423040,-0.025179,1.074359,-6.717706,8.725266,19.875217
wnli,bert,textattack/bert-base-uncased-WNLI,key_proj,XW_k + b_k,1,62423040,-0.023120,1.023951,-7.328720,6.965173,21.506865
wnli,bert,textattack/bert-base-uncased-WNLI,key_proj,XW_k + b_k,2,62423040,0.030144,1.074270,-8.109360,9.237116,34.141872
