task,arch,model,probe,probe_display,layer,count,n_zero,pct_zero,n_gt1,pct_gt1,n_gt10,pct_gt10,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]","pct_(1e+02,1e+03]","pct_(1e+03,1e+04]","pct_(1e+04,1e+05]"
wnli,bert,textattack/bert-base-uncased-WNLI,input_ids,Input IDs,all,81280,57741,71.0396,23539,28.9604,23539,28.9604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4496,24.6826,1.8282
wnli,bert,textattack/bert-base-uncased-WNLI,after_embed,After Embedding,all,62423040,0,0.0000,2635814,4.2225,635,0.0010,0.0000,0.0000,0.0003,0.0157,0.1699,1.6051,16.7230,77.2634,4.2215,0.0010,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,0,62423040,2,0.0000,14860964,23.8069,0,0.0000,0.0000,0.0000,0.0012,0.0089,0.1055,0.9615,9.6275,65.4885,23.8069,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,1,62423040,0,0.0000,15600446,24.9915,0,0.0000,0.0000,0.0001,0.0009,0.0090,0.0896,0.8896,8.8295,65.1898,24.9915,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,2,62423040,0,0.0000,16227883,25.9966,16,0.0000,0.0000,0.0001,0.0009,0.0092,0.0916,0.9139,9.0759,63.9117,25.9966,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,3,62423040,1,0.0000,16789486,26.8963,0,0.0000,0.0000,0.0001,0.0008,0.0083,0.0844,0.8454,8.4317,63.7330,26.8963,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,4,62423040,0,0.0000,18124557,29.0350,0,0.0000,0.0000,0.0001,0.0007,0.0079,0.0789,0.7858,7.8824,62.2092,29.0350,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,5,62423040,2,0.0000,20718926,33.1912,0,0.0000,0.0000,0.0001,0.0007,0.0073,0.0739,0.7343,7.3361,58.6564,33.1912,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,6,62423040,0,0.0000,20930413,33.5299,0,0.0000,0.0000,0.0001,0.0008,0.0072,0.0725,0.7229,7.1879,58.4787,33.5299,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,7,62423040,0,0.0000,21584137,34.5772,0,0.0000,0.0000,0.0001,0.0008,0.0071,0.0704,0.7019,7.0177,57.6249,34.5772,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,8,62423040,0,0.0000,21438728,34.3443,0,0.0000,0.0000,0.0001,0.0007,0.0069,0.0700,0.7000,6.9604,57.9176,34.3443,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,9,62423040,3,0.0000,21175152,33.9220,0,0.0000,0.0000,0.0001,0.0007,0.0070,0.0706,0.7050,7.0304,58.2642,33.9220,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,10,62423040,1,0.0000,20955721,33.5705,5,0.0000,0.0000,0.0001,0.0007,0.0071,0.0714,0.7099,7.1289,58.5114,33.5705,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,11,62423040,1,0.0000,20352511,32.6042,0,0.0000,0.0000,0.0001,0.0007,0.0070,0.0703,0.7048,7.1392,59.4737,32.6042,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,query_proj,XW_q + b_q,AGG,749076480,10,0.0000,228758924,30.5388,21,0.0000,0.0000,0.0001,0.0008,0.0077,0.0791,0.7812,7.8040,60.7883,30.5388,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,key_proj,XW_k + b_k,0,62423040,1,0.0000,17087426,27.3736,0,0.0000,0.0000,0.0000,0.0012,0.0102,0.0892,0.8533,8.3800,63.2924,27.3736,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,key_proj,XW_k + b_k,1,62423040,1,0.0000,16463232,26.3736,0,0.0000,0.0000,0.0001,0.0009,0.0089,0.0885,0.8816,8.7926,63.8539,26.3736,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,key_proj,XW_k + b_k,2,62423040,1,0.0000,15927258,25.5150,0,0.0000,0.0000,0.0001,0.0009,0.0090,0.0892,0.8906,8.8926,64.6025,25.5150,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,key_proj,XW_k + b_k,3,62423040,0,0.0000,16404820,26.2801,0,0.0000,0.0000,0.0001,0.0009,0.0088,0.0891,0.8878,8.8145,63.9187,26.2801,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,key_proj,XW_k + b_k,4,62423040,2,0.0000,16734253,26.8078,0,0.0000,0.0000,0.0001,0.0008,0.0082,0.0835,0.8296,8.2875,63.9824,26.8078,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,key_proj,XW_k + b_k,5,62423040,0,0.0000,20314207,32.5428,0,0.0000,0.0000,0.0001,0.0007,0.0075,0.0752,0.7538,7.5494,59.0706,32.5428,0.0000,0.0000,0.0000,0.0000
wnli,bert,textattack/bert-base-uncased-WNLI,key_proj,XW_k + b_k,6,62423040,0,0.0000,21820064,34.9551,0,0.0000,0.0000,0.0001,0.0007,0.0072,0.0699,0.6975,6.9051,57.3644,34.9551,0.0000,0.0000,0.0000,0.0000
