dataset,softmax_scaling_factor,v_scaling_factor,softmax_variance_fresh,v_variance_fresh,loss_mean,loss_std,loss_variance,loss_min,loss_max,m1_mean,m1_std,m1_variance,m1_min,m1_max,m2_mean,m2_std,m2_variance,m2_min,m2_max,time_ms_mean,time_ms_variance
mrpc,10,10,1310.8,1310.8,0.8390074110948122,0.02419300004067104,0.0005853012509679089,0.800127373291896,0.8653855071618006,0.46176470588235297,0.027668952532686423,0.0007655709342560545,0.4338235294117647,0.5098039215686274,0.47101419515417675,0.02782511511507896,0.0007742370311673957,0.443546286439104,0.5199108131905587,125.14805793762207,77.91108881754005
mrpc,10,12,1310.8,81.925,0.8245597000305469,0.023698882448320576,0.000561637029299317,0.784904039823092,0.8529402453165787,0.4573529411764706,0.023231363943279973,0.0005396962706651288,0.4215686274509804,0.4877450980392157,0.4698349730543795,0.024045860965238752,0.0005782034295595928,0.4328171058999516,0.499704681872749,121.1847396997305,7.371627791269566
mrpc,10,14,1310.8,5.120312,0.8232297058288868,0.007944524900419083,6.311547589337883e-05,0.8111327863656558,0.8360468814006219,0.4862745098039216,0.01302483358390825,0.00016964628988850423,0.46568627450980393,0.5024509803921569,0.49931606883968305,0.012424202337266776,0.00015436080371734523,0.480401800064288,0.5167475834951133,121.35843130258414,2.6799002233399047
mrpc,10,16,1310.8,0.3200195,0.920966632091082,0.020903570963657157,0.0004369592790326506,0.8852108258467454,0.9475532655532544,0.475,0.03340534321058986,0.0011159169550173022,0.4264705882352941,0.5220588235294118,0.490259924813055,0.034578606284750624,0.0011956800125957952,0.4389413299566402,0.5378032028602044,120.88768115410437,4.176944933044999
mrpc,10,18,1310.8,0.02000122,0.9824592594917003,0.04825217548654816,0.002328272439184639,0.9237367350321549,1.0528180874311006,0.47696078431372546,0.029477051722299828,0.0008688965782391393,0.4485294117647059,0.5196078431372549,0.49204306760068084,0.029289148054741095,0.0008578541937725441,0.46514005432496597,0.5357252924537175,121.51657801408035,8.978327494039643
mrpc,10,20,1310.8,0.001250076,0.9447492656799463,0.04107352865230891,0.001687034755952041,0.8692287470285709,0.9906329695995038,0.48921568627450984,0.028270335010384715,0.0007992118415993838,0.46568627450980393,0.5441176470588235,0.5047990138000978,0.02808511033839238,0.0007887734227196745,0.479946394318597,0.5592331096894991,120.04115398113542,5.176833151845456
mrpc,10,22,1310.8,7.812977e-05,1.008689696055192,0.023149597722832368,0.0005359038747289656,0.983890888782648,1.04844547693546,0.45245098039215687,0.011348859708617865,0.00012879661668588997,0.4411764705882353,0.47058823529411764,0.46735214164151495,0.010704451703426552,0.0001145852862709916,0.4555889838664832,0.4837427560387712,121.32169283353365,8.963849784907755
mrpc,10,24,1310.8,4.88311e-06,0.9753210053994106,0.02795118101983796,0.0007812685204037498,0.921615834419544,0.9967141495301173,0.46911764705882353,0.01570158566475193,0.0002465397923875433,0.4485294117647059,0.4950980392156863,0.48453608782169644,0.01640460154360458,0.0002691109518044338,0.4639430507190575,0.5111019754589047,121.41643854287955,8.017622493249975
mrpc,10,26,1310.8,3.051944e-07,0.9828654669798336,0.023135274924909684,0.0005352409458511548,0.9422262012958527,1.0048541885155897,0.4676470588235294,0.017633437008436233,0.0003109381007304886,0.4411764705882353,0.49264705882352944,0.4830949940559579,0.018074880530320386,0.00032670130618535494,0.4555889838664832,0.5085848637826705,120.92673228337215,10.441318081709982
mrpc,10,28,1310.8,1.907465e-08,0.962159276008606,0.023869270755517938,0.0005697420864002238,0.9321708564574902,1.0047845496581151,0.47696078431372546,0.021456930027685586,0.0004603998462129953,0.4362745098039216,0.4950980392156863,0.4934687841424317,0.020329460632578945,0.0004132869696115771,0.45471742345006677,0.5104947714491129,113.9316540498,63.787804697057176
