Dataset: MRPC
Eval split: validation_full
Repeats per point: 5
Fixed approximation: GELU degree 4, Softmax degree 6 on all layers
Base x/W noise mode: max
Scanned noise distribution: fresh
Scaling factors: [10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48]
Metric names: ['Acc.', 'F1']

Best points:
Lowest loss: softmax_sf=36, v_sf=18, loss_mean=0.328703, loss_variance=0.000066
Highest m1: softmax_sf=24, v_sf=32, m1_mean=0.880882, m1_variance=0.000090
Highest m2: softmax_sf=48, v_sf=46, m2_mean=0.878885, m2_variance=0.000014

Grid records:
softmax_sf	v_sf	loss_mean	loss_variance	loss_std	m1_mean	m1_variance	m1_std	m2_mean	m2_variance	m2_std
10	10	0.83900741	0.00058530	0.02419300	0.46176471	0.00076557	0.02766895	0.47101420	0.00077424	0.02782512
10	12	0.82455970	0.00056164	0.02369888	0.45735294	0.00053970	0.02323136	0.46983497	0.00057820	0.02404586
10	14	0.82322971	0.00006312	0.00794452	0.48627451	0.00016965	0.01302483	0.49931607	0.00015436	0.01242420
10	16	0.92096663	0.00043696	0.02090357	0.47500000	0.00111592	0.03340534	0.49025992	0.00119568	0.03457861
10	18	0.98245926	0.00232827	0.04825218	0.47696078	0.00086890	0.02947705	0.49204307	0.00085785	0.02928915
10	20	0.94474927	0.00168703	0.04107353	0.48921569	0.00079921	0.02827034	0.50479901	0.00078877	0.02808511
10	22	1.00868970	0.00053590	0.02314960	0.45245098	0.00012880	0.01134886	0.46735214	0.00011459	0.01070445
10	24	0.97532101	0.00078127	0.02795118	0.46911765	0.00024654	0.01570159	0.48453609	0.00026911	0.01640460
10	26	0.98286547	0.00053524	0.02313527	0.46764706	0.00031094	0.01763344	0.48309499	0.00032670	0.01807488
10	28	0.96215928	0.00056974	0.02386927	0.47696078	0.00046040	0.02145693	0.49346878	0.00041329	0.02032946
10	30	0.94778455	0.00021226	0.01456925	0.49509804	0.00015619	0.01249760	0.51129335	0.00014822	0.01217465
10	32	0.95730474	0.00106516	0.03263679	0.47107843	0.00054642	0.02337572	0.48589524	0.00057842	0.02405042
10	34	0.96360489	0.00299798	0.05475380	0.47058824	0.00092032	0.03033676	0.48630726	0.00090772	0.03012832
10	36	0.95507346	0.00121391	0.03484128	0.48480392	0.00029171	0.01707966	0.49989312	0.00029005	0.01703079
10	38	0.97111095	0.00173684	0.04167536	0.47696078	0.00029940	0.01730330	0.49035950	0.00035140	0.01874576
10	40	0.99469915	0.00169806	0.04120751	0.46568627	0.00008410	0.00917073	0.48008997	0.00009607	0.00980148
10	42	0.98990864	0.00094559	0.03075046	0.46078431	0.00037486	0.01936119	0.47617749	0.00043962	0.02096707
10	44	0.96732766	0.00120552	0.03472062	0.47352941	0.00079152	0.02813401	0.48882985	0.00081575	0.02856129
10	46	0.98456216	0.00146026	0.03821330	0.45833333	0.00043493	0.02085495	0.47392481	0.00040340	0.02008480
10	48	0.94775495	0.00080267	0.02833140	0.48970588	0.00055363	0.02352941	0.50557069	0.00055843	0.02363113
12	10	0.82208820	0.00037217	0.01929158	0.46421569	0.00042916	0.02071622	0.47715678	0.00039454	0.01986302
12	12	0.83012994	0.00003565	0.00597116	0.45098039	0.00016100	0.01268841	0.46277306	0.00015860	0.01259351
12	14	0.83634766	0.00017438	0.01320536	0.45784314	0.00041907	0.02047119	0.46994969	0.00039001	0.01974870
12	16	0.92916982	0.00064351	0.02536744	0.48235294	0.00092609	0.03043166	0.49440224	0.00095889	0.03096599
12	18	0.95479801	0.00052479	0.02290829	0.47696078	0.00004469	0.00668538	0.49266410	0.00002899	0.00538449
12	20	0.95430934	0.00278781	0.05279967	0.48039216	0.00054787	0.02340654	0.49499773	0.00046085	0.02146737
12	22	0.99189374	0.00124759	0.03532128	0.47009804	0.00098376	0.03136489	0.48655821	0.00093563	0.03058806
12	24	0.99583227	0.00068448	0.02616260	0.44803922	0.00031815	0.01783667	0.46303260	0.00030902	0.01757885
12	26	0.97916610	0.00016328	0.01277813	0.46862745	0.00009948	0.00997401	0.48334382	0.00009201	0.00959219
12	28	0.94854197	0.00178025	0.04219303	0.48529412	0.00118224	0.03438368	0.50187287	0.00114866	0.03389188
12	30	0.97176446	0.00077753	0.02788419	0.46813725	0.00040129	0.02003217	0.48370733	0.00036235	0.01903558
12	32	0.96077326	0.00127940	0.03576864	0.47696078	0.00013841	0.01176471	0.49197638	0.00012472	0.01116761
12	34	0.97050538	0.00264772	0.05145604	0.46715686	0.00016965	0.01302483	0.48364236	0.00020001	0.01414249
12	36	0.99635208	0.00050086	0.02237992	0.45784314	0.00039744	0.01993598	0.47229281	0.00036714	0.01916093
12	38	0.97423424	0.00226806	0.04762417	0.46078431	0.00047097	0.02170191	0.47587588	0.00047824	0.02186863
12	40	0.94770033	0.00047306	0.02174985	0.48627451	0.00011438	0.01069482	0.50196562	0.00011884	0.01090158
