family,label,probe_size_requested,probe_size_observed,k_value,loss_mean,loss_std,p_mean,p_std,s_mean,s_std,time_mean_ms,time_std_ms,approx_total_cost,gelu_cost,softmax_cost,noise_total_cost
max_action,Max-Action,32,32,5,1.205223762989044,0.0019521677836881958,0.3125,0.0,0.1488095238095238,0.0,292.9771661758423,19.18595320870097,0.0,-12.0,12.0,49.2
max_action,Max-Action,32,32,10,1.205831778049469,0.0023457731090663716,0.3125,0.0,0.14880952380952378,2.7755575615628914e-17,320.52481174468994,9.466883327520483,0.0,-12.0,12.0,49.2
max_action,Max-Action,64,64,5,1.2053017675876618,0.0016177238547299298,0.3125,0.0,0.1488095238095238,0.0,327.36222743988037,9.752897268586784,0.0,-12.0,12.0,49.2
max_action,Max-Action,64,64,10,1.2064797401428222,0.0022156185981348584,0.3125,0.0,0.14880952380952378,2.7755575615628914e-17,332.0507347583771,10.030279653310535,0.0,-12.0,12.0,49.2
max_action,Max-Action,128,128,5,1.205561915040016,0.0011436758310498273,0.3125,0.0,0.1488095238095238,0.0,322.3672389984131,6.3661893558135985,0.0,-12.0,12.0,49.2
max_action,Max-Action,128,128,10,1.2058807611465454,0.0011163756895077653,0.3125,0.0,0.14880952380952378,2.7755575615628914e-17,323.9427775144577,9.981416126094476,0.0,-12.0,12.0,49.2
max_action,Max-Action,256,256,5,1.1995671719312668,0.0012198248262001196,0.31640625,0.0,0.15210033382789317,0.0,317.78672337532043,3.8439703140610675,0.0,-12.0,12.0,49.2
max_action,Max-Action,256,256,10,1.1998071324080228,0.000989906474205033,0.31640625,0.0,0.15210033382789317,0.0,329.21518832445145,12.682176837672776,0.0,-12.0,12.0,49.2
random_control,Random-Control,32,32,5,0.4469391405582428,0.058441783999022376,0.8125,0.06846531968814576,0.8112651784500009,0.06923074340668849,396.73476219177246,19.701656358099854,40.0,14.5,25.5,41.5
random_control,Random-Control,32,32,10,0.46325006037950517,0.046183818992753964,0.803125,0.060997566549822295,0.8004513281750889,0.06188098779046281,393.013060092926,7.168785117830797,40.0,14.5,25.5,41.5
random_control,Random-Control,64,64,5,0.4276974305510521,0.023294310242708737,0.7875,0.023385358667337135,0.7879177806384474,0.024821011496343106,387.1221661567688,5.326916461542823,40.0,14.5,25.5,41.5
random_control,Random-Control,64,64,10,0.41540065333247184,0.03966863724547171,0.8046875,0.03441049303991444,0.8051545884260269,0.03462825973925514,391.5612757205963,3.8479078675299334,40.0,14.5,25.5,41.5
random_control,Random-Control,128,128,5,0.3729020942002535,0.015126354826506278,0.8203125,0.019136638615493577,0.8207723291429587,0.019254526806935294,398.5311210155487,14.420671837486456,40.0,14.5,25.5,41.5
random_control,Random-Control,128,128,10,0.37624666951596736,0.02402346014369498,0.821875,0.017746588580625854,0.8225766924694146,0.01805892150226647,417.17425286769867,12.45148670585333,40.0,14.5,25.5,41.5
random_control,Random-Control,256,256,5,0.44487118916586044,0.01973165917133384,0.7921875,0.010004881620988827,0.7929200235553233,0.01037961744031779,411.0607087612152,6.129284941132159,40.0,14.5,25.5,41.5
random_control,Random-Control,256,256,10,0.44177884045057,0.01653406917503509,0.78828125,0.009695057535930356,0.7888345854274469,0.010203627395569877,405.07050305604935,2.7736498371716007,40.0,14.5,25.5,41.5
