family,label,probe_size_requested,k_value,trial,loss,p,s,time_ms
max_action,Max-Action,128,5,1,0.3296610754914582,0.8984375,0.8964548802946593,121.02636694908142
max_action,Max-Action,128,5,2,0.32602758426219225,0.890625,0.8889619883040936,61.509013175964355
max_action,Max-Action,128,5,3,0.31911044334992766,0.8984375,0.8973100921424944,61.13162636756897
max_action,Max-Action,128,5,4,0.34451676066964865,0.8828125,0.880524861878453,61.10832095146179
max_action,Max-Action,128,5,5,0.3254983788356185,0.890625,0.8879937629937631,61.14029884338379
max_action,Max-Action,128,10,1,0.33671813644468784,0.890625,0.8898372227023912,61.33493781089783
max_action,Max-Action,128,10,2,0.32602758426219225,0.890625,0.8889619883040936,61.084628105163574
max_action,Max-Action,128,10,3,0.31911044334992766,0.8984375,0.8973100921424944,61.113983392715454
max_action,Max-Action,128,10,4,0.34451676066964865,0.8828125,0.880524861878453,60.89696288108826
max_action,Max-Action,128,10,5,0.3254983788356185,0.890625,0.8879937629937631,61.193495988845825
max_action,Max-Action,128,10,6,0.32768448907881975,0.8984375,0.8973100921424944,61.85632944107056
max_action,Max-Action,128,10,7,0.3346032495610416,0.890625,0.8898372227023912,61.203837394714355
max_action,Max-Action,128,10,8,0.3339532492682338,0.890625,0.8879937629937631,61.107635498046875
max_action,Max-Action,128,10,9,0.3154263533651829,0.890625,0.8879937629937631,60.9668493270874
max_action,Max-Action,128,10,10,0.355119401589036,0.8828125,0.8794352122164832,61.10319495201111
max_action,Max-Action,200,5,1,0.3564511422927563,0.87,0.8694226273959795,59.41559718205379
max_action,Max-Action,200,5,2,0.3528127580021436,0.88,0.8782857142857142,59.047809013953575
max_action,Max-Action,200,5,3,0.3508444525874578,0.87,0.8681428571428572,59.078106513390175
max_action,Max-Action,200,5,4,0.34292437236469525,0.86,0.8572400528909725,59.149852165809044
max_action,Max-Action,200,5,5,0.37723048203266585,0.85,0.8486201202972049,58.8688850402832
max_action,Max-Action,200,10,1,0.3564511422927563,0.87,0.8694226273959795,59.18253385103666
max_action,Max-Action,200,10,2,0.3528127580021436,0.88,0.8782857142857142,58.97787901071402
max_action,Max-Action,200,10,3,0.3508444525874578,0.87,0.8681428571428572,59.02992762052096
max_action,Max-Action,200,10,4,0.34292437236469525,0.86,0.8572400528909725,59.24654006958008
max_action,Max-Action,200,10,5,0.37723048203266585,0.85,0.8486201202972049,59.01193618774414
max_action,Max-Action,200,10,6,0.34919864455094707,0.87,0.8681428571428572,59.075208810659554
max_action,Max-Action,200,10,7,0.360913359774993,0.87,0.8681428571428572,59.49236796452449
max_action,Max-Action,200,10,8,0.35587959134807956,0.885,0.8836544328919697,58.910498252281776
max_action,Max-Action,200,10,9,0.35459144700032014,0.855,0.8533034153855269,59.177820499126724
max_action,Max-Action,200,10,10,0.36492579673918396,0.87,0.8688041042575776,59.084397095900314
max_action,Max-Action,256,5,1,0.37433153577148914,0.87109375,0.8694467504743832,61.52796745300293
max_action,Max-Action,256,5,2,0.3985147075727582,0.85546875,0.853622114168248,61.775535345077515
max_action,Max-Action,256,5,3,0.38195941876620054,0.8671875,0.8652217632228107,61.558470129966736
