family,label,probe_size_requested,k_value,trial,loss,p,s,time_ms
max_action,Max-Action,32,5,1,0.050856463611125946,1.0,1.0,636.0642910003662
max_action,Max-Action,32,5,2,0.052812375128269196,1.0,1.0,280.9410095214844
max_action,Max-Action,32,5,3,0.06083034723997116,1.0,1.0,175.6134033203125
max_action,Max-Action,32,5,4,0.06052938103675842,1.0,1.0,174.46112632751465
max_action,Max-Action,32,5,5,0.04433183744549751,1.0,1.0,175.31561851501465
random_control,Random-Control,32,5,1,0.4061330556869507,0.75,0.75,102.04744338989258
random_control,Random-Control,32,5,2,0.44549766182899475,0.75,0.75,97.99504280090332
random_control,Random-Control,32,5,3,0.28258922696113586,0.875,0.8681818181818182,103.61671447753906
random_control,Random-Control,32,5,4,0.28911349177360535,0.75,0.75,101.47309303283691
random_control,Random-Control,32,5,5,0.3015676736831665,0.875,0.8681818181818182,98.61421585083008
