family,label,probe_size_requested,k_value,trial,loss,p,s,time_ms
max_action,Max-Action,32,5,1,0.050856463611125946,1.0,1.0,407.40442276000977
max_action,Max-Action,32,5,2,0.052812375128269196,1.0,1.0,215.57307243347168
max_action,Max-Action,32,5,3,0.06083034723997116,1.0,1.0,189.52155113220215
max_action,Max-Action,32,5,4,0.06052938103675842,1.0,1.0,176.63240432739258
max_action,Max-Action,32,5,5,0.04433183744549751,1.0,1.0,178.1177520751953
random_control,Random-Control,32,5,1,0.06048452481627464,1.0,1.0,121.42705917358398
random_control,Random-Control,32,5,2,0.053146809339523315,1.0,1.0,123.73805046081543
random_control,Random-Control,32,5,3,0.057993028312921524,1.0,1.0,120.02301216125488
random_control,Random-Control,32,5,4,0.0579986535012722,1.0,1.0,126.68704986572266
random_control,Random-Control,32,5,5,0.044351011514663696,1.0,1.0,120.11361122131348
