family,label,probe_size_requested,k_value,trial,loss,p,s,time_ms
max_action,Max-Action,32,5,1,0.050856463611125946,1.0,1.0,912.341833114624
max_action,Max-Action,32,5,2,0.052812375128269196,1.0,1.0,550.8942604064941
max_action,Max-Action,32,5,3,0.06083034723997116,1.0,1.0,482.830286026001
max_action,Max-Action,32,5,4,0.06052938103675842,1.0,1.0,496.610164642334
max_action,Max-Action,32,5,5,0.04433183744549751,1.0,1.0,476.5479564666748
random_control,Random-Control,32,5,1,0.08048207312822342,1.0,1.0,301.102876663208
random_control,Random-Control,32,5,2,0.09303775429725647,1.0,1.0,353.15513610839844
random_control,Random-Control,32,5,3,0.13273172080516815,1.0,1.0,330.43932914733887
random_control,Random-Control,32,5,4,0.06334923952817917,1.0,1.0,306.7312240600586
random_control,Random-Control,32,5,5,0.05377944931387901,1.0,1.0,308.5062503814697
