family,label,probe_size_requested,k_value,trial,loss,p,s,time_ms
max_action,Max-Action,32,5,1,0.050856463611125946,1.0,1.0,884.05442237854
max_action,Max-Action,32,5,2,0.052812375128269196,1.0,1.0,551.1491298675537
max_action,Max-Action,32,5,3,0.06083034723997116,1.0,1.0,486.32025718688965
max_action,Max-Action,32,5,4,0.06052938103675842,1.0,1.0,489.3383979797363
max_action,Max-Action,32,5,5,0.04433183744549751,1.0,1.0,474.271297454834
random_control,Random-Control,32,5,1,0.0939418375492096,1.0,1.0,302.33263969421387
random_control,Random-Control,32,5,2,0.1333448588848114,1.0,1.0,357.85937309265137
random_control,Random-Control,32,5,3,0.19381439685821533,0.875,0.876984126984127,329.80918884277344
random_control,Random-Control,32,5,4,0.1300312578678131,1.0,1.0,308.347225189209
random_control,Random-Control,32,5,5,0.08948573470115662,1.0,1.0,309.375524520874
