family,label,probe_size_requested,k_value,trial,loss,p,s,time_ms
max_action,Max-Action,32,5,1,1.2067160606384277,0.3125,0.1488095238095238,273.87678623199463
max_action,Max-Action,32,5,2,1.204866111278534,0.3125,0.1488095238095238,117.48278141021729
max_action,Max-Action,32,5,3,1.20488041639328,0.3125,0.1488095238095238,108.71899127960205
max_action,Max-Action,32,5,4,1.2033412456512451,0.3125,0.1488095238095238,110.34667491912842
max_action,Max-Action,32,5,5,1.204697847366333,0.3125,0.1488095238095238,106.69898986816406
max_action,Max-Action,32,10,1,1.2011317014694214,0.3125,0.1488095238095238,110.43238639831543
max_action,Max-Action,32,10,2,1.204866111278534,0.3125,0.1488095238095238,108.51156711578369
max_action,Max-Action,32,10,3,1.20488041639328,0.3125,0.1488095238095238,105.57389259338379
max_action,Max-Action,32,10,4,1.2033412456512451,0.3125,0.1488095238095238,106.44674301147461
max_action,Max-Action,32,10,5,1.204697847366333,0.3125,0.1488095238095238,106.5208911895752
max_action,Max-Action,32,10,6,1.2041140794754028,0.3125,0.1488095238095238,110.21256446838379
max_action,Max-Action,32,10,7,1.2099688649177551,0.3125,0.1488095238095238,110.78476905822754
max_action,Max-Action,32,10,8,1.2037851214408875,0.3125,0.1488095238095238,105.72195053100586
max_action,Max-Action,32,10,9,1.2044334411621094,0.3125,0.1488095238095238,118.13890933990479
max_action,Max-Action,32,10,10,1.2094829082489014,0.3125,0.1488095238095238,108.63089561462402
max_action,Max-Action,64,5,1,1.2045048773288727,0.3125,0.1488095238095238,110.99094152450562
max_action,Max-Action,64,5,2,1.206433355808258,0.3125,0.1488095238095238,110.96251010894775
max_action,Max-Action,64,5,3,1.205413579940796,0.3125,0.1488095238095238,110.04024744033813
max_action,Max-Action,64,5,4,1.2042404413223267,0.3125,0.1488095238095238,111.04589700698853
max_action,Max-Action,64,5,5,1.2080025374889374,0.3125,0.1488095238095238,109.97241735458374
max_action,Max-Action,64,10,1,1.2045048773288727,0.3125,0.1488095238095238,109.04818773269653
max_action,Max-Action,64,10,2,1.206433355808258,0.3125,0.1488095238095238,111.67925596237183
max_action,Max-Action,64,10,3,1.205413579940796,0.3125,0.1488095238095238,110.2941632270813
max_action,Max-Action,64,10,4,1.2042404413223267,0.3125,0.1488095238095238,110.58878898620605
max_action,Max-Action,64,10,5,1.2080025374889374,0.3125,0.1488095238095238,110.5647087097168
max_action,Max-Action,64,10,6,1.2073523700237274,0.3125,0.1488095238095238,112.0826005935669
max_action,Max-Action,64,10,7,1.2081624865531921,0.3125,0.1488095238095238,111.21660470962524
max_action,Max-Action,64,10,8,1.2047770023345947,0.3125,0.1488095238095238,110.93926429748535
max_action,Max-Action,64,10,9,1.206754982471466,0.3125,0.1488095238095238,108.9896559715271
max_action,Max-Action,64,10,10,1.2060448825359344,0.3125,0.1488095238095238,110.20517349243164
max_action,Max-Action,128,5,1,1.2064465880393982,0.3125,0.1488095238095238,110.44162511825562
max_action,Max-Action,128,5,2,1.2056173086166382,0.3125,0.1488095238095238,112.05145716667175
max_action,Max-Action,128,5,3,1.2068306505680084,0.3125,0.1488095238095238,111.81226372718811
max_action,Max-Action,128,5,4,1.205044075846672,0.3125,0.1488095238095238,112.38983273506165
max_action,Max-Action,128,5,5,1.2090667337179184,0.3125,0.1488095238095238,112.14151978492737
max_action,Max-Action,128,10,1,1.2064465880393982,0.3125,0.1488095238095238,111.07119917869568
max_action,Max-Action,128,10,2,1.2056173086166382,0.3125,0.1488095238095238,112.19605803489685
max_action,Max-Action,128,10,3,1.2068306505680084,0.3125,0.1488095238095238,112.5134825706482
max_action,Max-Action,128,10,4,1.205044075846672,0.3125,0.1488095238095238,112.54459619522095
max_action,Max-Action,128,10,5,1.2090667337179184,0.3125,0.1488095238095238,112.67280578613281
max_action,Max-Action,128,10,6,1.204043373465538,0.3125,0.1488095238095238,112.23229765892029
max_action,Max-Action,128,10,7,1.2067000269889832,0.3125,0.1488095238095238,112.11651563644409
max_action,Max-Action,128,10,8,1.2066736221313477,0.3125,0.1488095238095238,111.94893717765808
max_action,Max-Action,128,10,9,1.2062215358018875,0.3125,0.1488095238095238,112.23199963569641
