family,label,probe_size_requested,k_value,trial,loss,p,s,time_ms
max_action,Max-Action,32,5,1,1.2065536975860596,0.3125,0.1488095238095238,425.45580863952637
max_action,Max-Action,32,5,2,1.207664966583252,0.3125,0.1488095238095238,117.60711669921875
max_action,Max-Action,32,5,3,1.202100396156311,0.3125,0.1488095238095238,120.91588973999023
max_action,Max-Action,32,5,4,1.2106181383132935,0.3125,0.1488095238095238,109.02643203735352
max_action,Max-Action,32,5,5,1.2088449001312256,0.3125,0.1488095238095238,110.92591285705566
random_control,Random-Control,32,5,1,0.27420473098754883,0.9375,0.9353864734299517,270.5960273742676
random_control,Random-Control,32,5,2,0.1632915586233139,0.9375,0.9353864734299517,244.6269989013672
random_control,Random-Control,32,5,3,0.2624528408050537,0.8125,0.8165584415584416,249.11856651306152
random_control,Random-Control,32,5,4,0.3489776849746704,0.8125,0.806159420289855,275.7387161254883
random_control,Random-Control,32,5,5,0.16322052478790283,0.9375,0.9353864734299517,255.39851188659668
