family,label,probe_size_requested,k_value,trial,loss,p,s,time_ms
max_action,Max-Action,32,5,1,1.116242527961731,0.375,0.20454545454545453,304.23760414123535
max_action,Max-Action,32,5,2,1.1234134435653687,0.375,0.20454545454545453,101.99379920959473
max_action,Max-Action,32,5,3,1.1114773750305176,0.375,0.20454545454545453,104.73275184631348
max_action,Max-Action,32,5,4,1.113325834274292,0.375,0.20454545454545453,106.53400421142578
max_action,Max-Action,32,5,5,1.114849328994751,0.375,0.20454545454545453,101.26757621765137
random_control,Random-Control,32,5,1,0.4061330556869507,0.75,0.75,174.26538467407227
random_control,Random-Control,32,5,2,0.44549766182899475,0.75,0.75,109.63082313537598
random_control,Random-Control,32,5,3,0.28258922696113586,0.875,0.8681818181818182,111.19866371154785
random_control,Random-Control,32,5,4,0.28911349177360535,0.75,0.75,110.687255859375
random_control,Random-Control,32,5,5,0.3015676736831665,0.875,0.8681818181818182,109.02190208435059
