=== Stage-2 Noise RL Optimization Log Started ===
[Info] PPO LR resolved from rl_lr=20 -> 2e-05 (legacy-micro)
[Info] Stage-1 RL episodes: 51000 | Stage-2 RL episodes: 40000
[Info] Unified run output dir: experiment_results/layer_importance_runs/mrpc/20260329_010530_pid314007

[Info] Second-stage noise RL training skipped (--skip-noise-rl).

============================================================
PHASE 5.5: NOISE RL FINAL EVALUATION (验证集)
NOISE_EVAL_CONFIG_SOURCE=json
NOISE_EVAL_REPEAT_N=200
Selection constraints (from stage-2 search protocol): Loss<=0.3963, Acc.>=0.8537, F1>=0.8504
Noise cost reference (max-noise, for cost normalization only): 49.20
============================================================

--- Baseline (Stage-1 Exact) : N=200 次重复评估 ---
  统计: Loss=0.3478±0.000000 [0.3478, 0.3478]
  统计: Acc.=0.8799±0.000000 [0.8799, 0.8799]
  统计: F1=0.8774±0.000000 [0.8774, 0.8774]
Final-eval report constraints (based on repeated baseline on validation_full): Loss<=0.3628, Acc.>=0.8667, F1>=0.8643
Evaluating no-noise control for the fixed stage-1 configuration...

--- No-Noise (Fixed Stage-1) : N=200 次重复评估 ---
  统计: Loss=0.3284±0.000000 [0.3284, 0.3284]
  统计: Acc.=0.8824±0.000000 [0.8824, 0.8824]
  统计: F1=0.8804±0.000000 [0.8804, 0.8804]

--- Selected (Saved Noise RL) : N=200 次重复评估 ---
  Trial 1/200: Loss=0.3287, Acc.=0.8799, F1=0.8784, Time=238.7ms
  Trial 2/200: Loss=0.3224, Acc.=0.8799, F1=0.8774, Time=238.6ms
  Trial 3/200: Loss=0.3226, Acc.=0.8873, F1=0.8854, Time=238.5ms
  Trial 4/200: Loss=0.3300, Acc.=0.8775, F1=0.8754, Time=238.2ms
  Trial 5/200: Loss=0.3296, Acc.=0.8627, F1=0.8608, Time=238.5ms
  Trial 6/200: Loss=0.3217, Acc.=0.8750, F1=0.8731, Time=238.6ms
  Trial 7/200: Loss=0.3250, Acc.=0.8848, F1=0.8828, Time=238.6ms
  Trial 8/200: Loss=0.3328, Acc.=0.8701, F1=0.8685, Time=238.5ms
  Trial 9/200: Loss=0.3310, Acc.=0.8750, F1=0.8721, Time=238.2ms
  Trial 10/200: Loss=0.3331, Acc.=0.8750, F1=0.8728, Time=237.8ms
  Trial 11/200: Loss=0.3302, Acc.=0.8750, F1=0.8728, Time=238.5ms
  Trial 12/200: Loss=0.3336, Acc.=0.8725, F1=0.8714, Time=238.6ms
  Trial 13/200: Loss=0.3206, Acc.=0.8824, F1=0.8807, Time=238.5ms
  Trial 14/200: Loss=0.3296, Acc.=0.8775, F1=0.8754, Time=238.3ms
  Trial 15/200: Loss=0.3213, Acc.=0.8824, F1=0.8807, Time=237.9ms
  Trial 16/200: Loss=0.3240, Acc.=0.8799, F1=0.8781, Time=238.7ms
  Trial 17/200: Loss=0.3276, Acc.=0.8676, F1=0.8648, Time=238.6ms
  Trial 18/200: Loss=0.3314, Acc.=0.8750, F1=0.8731, Time=238.8ms
  Trial 19/200: Loss=0.3301, Acc.=0.8824, F1=0.8801, Time=238.4ms
  Trial 20/200: Loss=0.3249, Acc.=0.8848, F1=0.8834, Time=238.0ms
  Trial 21/200: Loss=0.3239, Acc.=0.8701, F1=0.8678, Time=237.5ms
  Trial 22/200: Loss=0.3210, Acc.=0.8750, F1=0.8737, Time=238.6ms
  Trial 23/200: Loss=0.3292, Acc.=0.8750, F1=0.8728, Time=238.3ms
  Trial 24/200: Loss=0.3352, Acc.=0.8701, F1=0.8674, Time=238.4ms
  Trial 25/200: Loss=0.3290, Acc.=0.8676, F1=0.8651, Time=238.5ms
  Trial 26/200: Loss=0.3295, Acc.=0.8701, F1=0.8674, Time=237.8ms
  Trial 27/200: Loss=0.3326, Acc.=0.8701, F1=0.8674, Time=238.5ms
  Trial 28/200: Loss=0.3251, Acc.=0.8775, F1=0.8764, Time=238.6ms
  Trial 29/200: Loss=0.3245, Acc.=0.8824, F1=0.8801, Time=238.4ms
  Trial 30/200: Loss=0.3258, Acc.=0.8676, F1=0.8655, Time=238.4ms
  Trial 31/200: Loss=0.3201, Acc.=0.8824, F1=0.8804, Time=238.0ms
  Trial 32/200: Loss=0.3254, Acc.=0.8725, F1=0.8698, Time=238.7ms
  Trial 33/200: Loss=0.3304, Acc.=0.8652, F1=0.8632, Time=238.3ms
  Trial 34/200: Loss=0.3236, Acc.=0.8676, F1=0.8658, Time=238.5ms
  Trial 35/200: Loss=0.3285, Acc.=0.8799, F1=0.8781, Time=238.4ms
  Trial 36/200: Loss=0.3335, Acc.=0.8750, F1=0.8728, Time=238.6ms
