timestamp	algorithm	event	value	extra
2026-08-12T16:50:16+08:00	greedy	launching
2026-08-12T16:50:17+08:00	greedy	started	618276	/hy-tmp/comparator_stage1_queue_20260812_v3/persistent/greedy/bert-base/mrpc/s1t0.001_s2t0.001_s2st2.0
2026-08-12T17:03:19+08:00	greedy	validated	1615	782
2026-08-12T17:03:23+08:00	bo_rf	launching
2026-08-12T17:03:24+08:00	bo_rf	started	619918	/hy-tmp/comparator_stage1_queue_20260812_v3/persistent/bo_rf/bert-base/mrpc/s1t0.001_s2t0.001_s2st2.0
2026-08-12T17:05:56+08:00	bo_rf	validated	172	152
2026-08-12T17:05:59+08:00	coinn_ga	launching
2026-08-12T17:06:00+08:00	coinn_ga	started	623451	/hy-tmp/comparator_stage1_queue_20260812_v3/persistent/coinn_ga/bert-base/mrpc/s1t0.001_s2t0.001_s2st2.0
2026-08-12T17:15:53+08:00	coinn_ga	validated	1090	593
2026-08-12T17:15:53+08:00	queue	exit	0
