timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/07/10 23:30:14.753, 0, 0 %, 183 MiB
2026/07/10 23:30:15.754, 0, 0 %, 183 MiB
2026/07/10 23:30:16.754, 0, 0 %, 1049 MiB
2026/07/10 23:30:17.754, 0, 6 %, 1241 MiB
2026/07/10 23:30:18.755, 0, 90 %, 1363 MiB
2026/07/10 23:30:19.755, 0, 89 %, 1651 MiB
2026/07/10 23:30:20.755, 0, 92 %, 1651 MiB
2026/07/10 23:30:21.755, 0, 93 %, 2179 MiB
2026/07/10 23:30:22.755, 0, 93 %, 3237 MiB
2026/07/10 23:30:23.755, 0, 100 %, 3237 MiB
2026/07/10 23:30:24.755, 0, 97 %, 3237 MiB
2026/07/10 23:30:25.756, 0, 85 %, 3237 MiB
2026/07/10 23:30:26.756, 0, 92 %, 3237 MiB
2026/07/10 23:30:27.756, 0, 88 %, 3237 MiB
2026/07/10 23:30:28.756, 0, 93 %, 3237 MiB
2026/07/10 23:30:29.756, 0, 89 %, 3237 MiB
2026/07/10 23:30:30.757, 0, 90 %, 3237 MiB
2026/07/10 23:30:31.757, 0, 92 %, 3237 MiB
2026/07/10 23:30:32.757, 0, 88 %, 3237 MiB
2026/07/10 23:30:33.757, 0, 90 %, 3237 MiB
2026/07/10 23:30:34.757, 0, 93 %, 3237 MiB
2026/07/10 23:30:35.757, 0, 91 %, 3237 MiB
2026/07/10 23:30:36.757, 0, 85 %, 3237 MiB
