sample,timestamp,index,name,memory_used_mib,utilization_gpu_pct,power_draw_w
1,2026/07/13 22:16:40.358, 0, NVIDIA GeForce RTX 5090, 3245, 6, 215.58
1,2026/07/13 22:16:40.363, 1, NVIDIA GeForce RTX 5090, 3065, 2, 203.32
1,2026/07/13 22:16:40.367, 2, NVIDIA GeForce RTX 5090, 3065, 40, 211.29
1,2026/07/13 22:16:40.373, 3, NVIDIA GeForce RTX 5090, 3065, 0, 214.23
1,2026/07/13 22:16:40.381, 4, NVIDIA GeForce RTX 5090, 3065, 40, 217.85
2,2026/07/13 22:16:41.514, 0, NVIDIA GeForce RTX 5090, 3245, 36, 209.16
2,2026/07/13 22:16:41.522, 1, NVIDIA GeForce RTX 5090, 3065, 32, 216.59
2,2026/07/13 22:16:41.526, 2, NVIDIA GeForce RTX 5090, 3065, 32, 203.06
2,2026/07/13 22:16:41.529, 3, NVIDIA GeForce RTX 5090, 3065, 34, 221.48
2,2026/07/13 22:16:41.534, 4, NVIDIA GeForce RTX 5090, 3065, 0, 210.97
3,2026/07/13 22:16:42.629, 0, NVIDIA GeForce RTX 5090, 3245, 36, 241.82
3,2026/07/13 22:16:42.633, 1, NVIDIA GeForce RTX 5090, 3065, 31, 234.85
3,2026/07/13 22:16:42.636, 2, NVIDIA GeForce RTX 5090, 3065, 41, 220.49
3,2026/07/13 22:16:42.639, 3, NVIDIA GeForce RTX 5090, 3065, 40, 237.80
3,2026/07/13 22:16:42.642, 4, NVIDIA GeForce RTX 5090, 3065, 36, 225.63
4,2026/07/13 22:16:43.762, 0, NVIDIA GeForce RTX 5090, 3245, 10, 141.33
4,2026/07/13 22:16:43.766, 1, NVIDIA GeForce RTX 5090, 3065, 0, 87.11
4,2026/07/13 22:16:43.769, 2, NVIDIA GeForce RTX 5090, 3065, 0, 101.39
4,2026/07/13 22:16:43.771, 3, NVIDIA GeForce RTX 5090, 3065, 0, 98.56
4,2026/07/13 22:16:43.773, 4, NVIDIA GeForce RTX 5090, 3065, 0, 104.96
5,2026/07/13 22:16:44.861, 0, NVIDIA GeForce RTX 5090, 3245, 11, 121.38
5,2026/07/13 22:16:44.866, 1, NVIDIA GeForce RTX 5090, 3065, 0, 68.04
5,2026/07/13 22:16:44.869, 2, NVIDIA GeForce RTX 5090, 3065, 0, 84.44
5,2026/07/13 22:16:44.872, 3, NVIDIA GeForce RTX 5090, 3065, 0, 76.61
5,2026/07/13 22:16:44.874, 4, NVIDIA GeForce RTX 5090, 3065, 0, 95.97
6,2026/07/13 22:16:45.962, 0, NVIDIA GeForce RTX 5090, 3245, 13, 121.51
6,2026/07/13 22:16:45.966, 1, NVIDIA GeForce RTX 5090, 3065, 0, 67.90
6,2026/07/13 22:16:45.969, 2, NVIDIA GeForce RTX 5090, 3065, 0, 74.65
6,2026/07/13 22:16:45.972, 3, NVIDIA GeForce RTX 5090, 3065, 0, 76.18
6,2026/07/13 22:16:45.975, 4, NVIDIA GeForce RTX 5090, 3065, 0, 76.37
7,2026/07/13 22:16:47.061, 0, NVIDIA GeForce RTX 5090, 3245, 0, 78.12
7,2026/07/13 22:16:47.065, 1, NVIDIA GeForce RTX 5090, 3065, 0, 67.83
7,2026/07/13 22:16:47.068, 2, NVIDIA GeForce RTX 5090, 3065, 0, 74.14
7,2026/07/13 22:16:47.071, 3, NVIDIA GeForce RTX 5090, 3065, 0, 75.82
7,2026/07/13 22:16:47.074, 4, NVIDIA GeForce RTX 5090, 3065, 0, 76.05
8,2026/07/13 22:16:48.204, 0, NVIDIA GeForce RTX 5090, 3245, 0, 82.03
8,2026/07/13 22:16:48.211, 1, NVIDIA GeForce RTX 5090, 3065, 0, 82.84
8,2026/07/13 22:16:48.215, 2, NVIDIA GeForce RTX 5090, 3065, 0, 105.94
8,2026/07/13 22:16:48.218, 3, NVIDIA GeForce RTX 5090, 3065, 0, 86.28
8,2026/07/13 22:16:48.221, 4, NVIDIA GeForce RTX 5090, 3065, 37, 109.84
9,2026/07/13 22:16:49.352, 0, NVIDIA GeForce RTX 5090, 3245, 38, 239.51
9,2026/07/13 22:16:49.356, 1, NVIDIA GeForce RTX 5090, 3065, 36, 232.01
9,2026/07/13 22:16:49.359, 2, NVIDIA GeForce RTX 5090, 3065, 34, 234.41
9,2026/07/13 22:16:49.362, 3, NVIDIA GeForce RTX 5090, 3065, 34, 233.40
9,2026/07/13 22:16:49.365, 4, NVIDIA GeForce RTX 5090, 3065, 33, 244.14
10,2026/07/13 22:16:50.478, 0, NVIDIA GeForce RTX 5090, 3245, 5, 211.68
10,2026/07/13 22:16:50.482, 1, NVIDIA GeForce RTX 5090, 3065, 3, 198.82
10,2026/07/13 22:16:50.486, 2, NVIDIA GeForce RTX 5090, 3065, 40, 206.53
10,2026/07/13 22:16:50.490, 3, NVIDIA GeForce RTX 5090, 3065, 0, 206.47
10,2026/07/13 22:16:50.494, 4, NVIDIA GeForce RTX 5090, 3065, 34, 214.94
11,2026/07/13 22:16:51.610, 0, NVIDIA GeForce RTX 5090, 3245, 34, 213.46
11,2026/07/13 22:16:51.615, 1, NVIDIA GeForce RTX 5090, 3065, 40, 201.06
11,2026/07/13 22:16:51.621, 2, NVIDIA GeForce RTX 5090, 3065, 34, 208.29
11,2026/07/13 22:16:51.625, 3, NVIDIA GeForce RTX 5090, 3065, 33, 205.41
11,2026/07/13 22:16:51.629, 4, NVIDIA GeForce RTX 5090, 3065, 11, 218.26
12,2026/07/13 22:16:52.743, 0, NVIDIA GeForce RTX 5090, 3245, 32, 244.45
12,2026/07/13 22:16:52.748, 1, NVIDIA GeForce RTX 5090, 3065, 0, 222.47
12,2026/07/13 22:16:52.752, 2, NVIDIA GeForce RTX 5090, 3065, 0, 217.33
12,2026/07/13 22:16:52.756, 3, NVIDIA GeForce RTX 5090, 3065, 25, 231.07
12,2026/07/13 22:16:52.759, 4, NVIDIA GeForce RTX 5090, 3065, 33, 223.81
13,2026/07/13 22:16:53.896, 0, NVIDIA GeForce RTX 5090, 3245, 33, 210.48
13,2026/07/13 22:16:53.901, 1, NVIDIA GeForce RTX 5090, 3065, 38, 199.89
13,2026/07/13 22:16:53.905, 2, NVIDIA GeForce RTX 5090, 3065, 36, 232.19
13,2026/07/13 22:16:53.911, 3, NVIDIA GeForce RTX 5090, 3065, 37, 212.04
13,2026/07/13 22:16:53.918, 4, NVIDIA GeForce RTX 5090, 3065, 35, 240.75
14,2026/07/13 22:16:55.048, 0, NVIDIA GeForce RTX 5090, 3245, 41, 211.39
14,2026/07/13 22:16:55.054, 1, NVIDIA GeForce RTX 5090, 3065, 40, 202.13
14,2026/07/13 22:16:55.060, 2, NVIDIA GeForce RTX 5090, 3065, 34, 207.56
14,2026/07/13 22:16:55.063, 3, NVIDIA GeForce RTX 5090, 3065, 37, 203.04
14,2026/07/13 22:16:55.066, 4, NVIDIA GeForce RTX 5090, 3065, 3, 213.83
15,2026/07/13 22:16:56.206, 0, NVIDIA GeForce RTX 5090, 3245, 39, 212.62
15,2026/07/13 22:16:56.212, 1, NVIDIA GeForce RTX 5090, 3065, 41, 205.55
15,2026/07/13 22:16:56.215, 2, NVIDIA GeForce RTX 5090, 3065, 30, 204.27
15,2026/07/13 22:16:56.219, 3, NVIDIA GeForce RTX 5090, 3065, 40, 210.54
15,2026/07/13 22:16:56.222, 4, NVIDIA GeForce RTX 5090, 3065, 38, 217.04
16,2026/07/13 22:16:57.336, 0, NVIDIA GeForce RTX 5090, 3245, 34, 238.06
16,2026/07/13 22:16:57.340, 1, NVIDIA GeForce RTX 5090, 3065, 34, 232.44
16,2026/07/13 22:16:57.343, 2, NVIDIA GeForce RTX 5090, 3065, 39, 235.91
16,2026/07/13 22:16:57.346, 3, NVIDIA GeForce RTX 5090, 3065, 37, 233.70
16,2026/07/13 22:16:57.349, 4, NVIDIA GeForce RTX 5090, 3065, 40, 246.55
