timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/07/10 21:31:12.315, 0, 0 %, 183 MiB
2026/07/10 21:31:13.316, 0, 0 %, 183 MiB
2026/07/10 21:31:14.316, 0, 0 %, 183 MiB
2026/07/10 21:31:15.317, 0, 0 %, 183 MiB
2026/07/10 21:31:16.317, 0, 0 %, 577 MiB
2026/07/10 21:31:17.322, 0, 0 %, 1049 MiB
2026/07/10 21:31:18.323, 0, 0 %, 1049 MiB
2026/07/10 21:31:19.323, 0, 0 %, 1049 MiB
2026/07/10 21:31:20.323, 0, 0 %, 1049 MiB
2026/07/10 21:31:21.324, 0, 0 %, 1049 MiB
2026/07/10 21:31:22.324, 0, 0 %, 1049 MiB
2026/07/10 21:31:23.324, 0, 0 %, 1049 MiB
2026/07/10 21:31:24.325, 0, 0 %, 1049 MiB
2026/07/10 21:31:25.325, 0, 0 %, 1049 MiB
2026/07/10 21:31:26.325, 0, 0 %, 1049 MiB
2026/07/10 21:31:27.326, 0, 0 %, 1049 MiB
2026/07/10 21:31:28.326, 0, 0 %, 1049 MiB
2026/07/10 21:31:29.326, 0, 0 %, 1049 MiB
2026/07/10 21:31:30.327, 0, 0 %, 1049 MiB
2026/07/10 21:31:31.327, 0, 0 %, 1049 MiB
2026/07/10 21:31:32.328, 0, 0 %, 1049 MiB
2026/07/10 21:31:33.328, 0, 0 %, 1049 MiB
2026/07/10 21:31:34.328, 0, 0 %, 1049 MiB
2026/07/10 21:31:35.329, 0, 0 %, 1049 MiB
2026/07/10 21:31:36.329, 0, 0 %, 1049 MiB
2026/07/10 21:31:37.329, 0, 0 %, 1049 MiB
2026/07/10 21:31:38.330, 0, 0 %, 1049 MiB
2026/07/10 21:31:39.330, 0, 0 %, 1049 MiB
2026/07/10 21:31:40.330, 0, 0 %, 1049 MiB
2026/07/10 21:31:41.330, 0, 0 %, 1049 MiB
2026/07/10 21:31:42.331, 0, 0 %, 1499 MiB
2026/07/10 21:31:43.331, 0, 85 %, 2437 MiB
2026/07/10 21:31:44.331, 0, 100 %, 4071 MiB
2026/07/10 21:31:45.331, 0, 100 %, 4071 MiB
2026/07/10 21:31:46.331, 0, 100 %, 4071 MiB
2026/07/10 21:31:47.331, 0, 0 %, 4071 MiB
