timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/07/10 21:11:00.542, 0, 0 %, 183 MiB
2026/07/10 21:11:01.543, 0, 0 %, 183 MiB
2026/07/10 21:11:02.543, 0, 0 %, 183 MiB
2026/07/10 21:11:03.543, 0, 0 %, 183 MiB
2026/07/10 21:11:04.544, 0, 0 %, 1049 MiB
2026/07/10 21:11:05.544, 0, 0 %, 1049 MiB
2026/07/10 21:11:06.544, 0, 0 %, 1049 MiB
2026/07/10 21:11:07.545, 0, 0 %, 1049 MiB
2026/07/10 21:11:08.545, 0, 0 %, 1049 MiB
2026/07/10 21:11:09.545, 0, 0 %, 1049 MiB
2026/07/10 21:11:10.546, 0, 0 %, 1049 MiB
2026/07/10 21:11:11.546, 0, 0 %, 1049 MiB
2026/07/10 21:11:12.546, 0, 0 %, 1049 MiB
2026/07/10 21:11:13.547, 0, 0 %, 1049 MiB
2026/07/10 21:11:14.547, 0, 0 %, 1049 MiB
2026/07/10 21:11:15.547, 0, 0 %, 1049 MiB
2026/07/10 21:11:16.548, 0, 0 %, 1049 MiB
2026/07/10 21:11:17.548, 0, 0 %, 1499 MiB
2026/07/10 21:11:18.548, 0, 0 %, 2437 MiB
2026/07/10 21:11:19.548, 0, 100 %, 4071 MiB
2026/07/10 21:11:20.549, 0, 100 %, 4071 MiB
2026/07/10 21:11:21.549, 0, 0 %, 4071 MiB
2026/07/10 21:11:22.549, 0, 69 %, 183 MiB
2026/07/10 21:11:23.549, 0, 0 %, 183 MiB
2026/07/10 21:11:24.549, 0, 0 %, 183 MiB
2026/07/10 21:11:25.550, 0, 0 %, 183 MiB
2026/07/10 21:11:26.550, 0, 0 %, 1049 MiB
2026/07/10 21:11:27.550, 0, 0 %, 1049 MiB
2026/07/10 21:11:28.551, 0, 0 %, 1049 MiB
2026/07/10 21:11:29.551, 0, 0 %, 1049 MiB
2026/07/10 21:11:30.552, 0, 0 %, 1049 MiB
2026/07/10 21:11:31.552, 0, 0 %, 1049 MiB
2026/07/10 21:11:32.552, 0, 0 %, 1049 MiB
2026/07/10 21:11:33.553, 0, 0 %, 1049 MiB
2026/07/10 21:11:34.553, 0, 0 %, 1049 MiB
2026/07/10 21:11:35.553, 0, 0 %, 1049 MiB
2026/07/10 21:11:36.554, 0, 0 %, 1049 MiB
2026/07/10 21:11:37.554, 0, 0 %, 1049 MiB
2026/07/10 21:11:38.554, 0, 0 %, 1049 MiB
2026/07/10 21:11:39.555, 0, 0 %, 1049 MiB
2026/07/10 21:11:40.555, 0, 0 %, 1049 MiB
2026/07/10 21:11:41.555, 0, 0 %, 1499 MiB
2026/07/10 21:11:42.556, 0, 0 %, 2437 MiB
2026/07/10 21:11:43.556, 0, 75 %, 4071 MiB
2026/07/10 21:11:44.556, 0, 100 %, 4071 MiB
