timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/07/10 21:48:42.039, 0, 0 %, 183 MiB
2026/07/10 21:48:43.040, 0, 0 %, 183 MiB
2026/07/10 21:48:44.040, 0, 0 %, 183 MiB
2026/07/10 21:48:45.040, 0, 0 %, 183 MiB
2026/07/10 21:48:46.041, 0, 0 %, 202 MiB
2026/07/10 21:48:47.041, 0, 0 %, 1049 MiB
2026/07/10 21:48:48.042, 0, 0 %, 1049 MiB
2026/07/10 21:48:49.042, 0, 0 %, 1049 MiB
2026/07/10 21:48:50.042, 0, 0 %, 1049 MiB
2026/07/10 21:48:51.043, 0, 0 %, 1049 MiB
2026/07/10 21:48:52.043, 0, 0 %, 1049 MiB
2026/07/10 21:48:53.043, 0, 0 %, 1049 MiB
2026/07/10 21:48:54.044, 0, 0 %, 1049 MiB
2026/07/10 21:48:55.044, 0, 0 %, 1049 MiB
2026/07/10 21:48:56.044, 0, 0 %, 1049 MiB
2026/07/10 21:48:57.045, 0, 0 %, 1499 MiB
2026/07/10 21:48:58.045, 0, 0 %, 1765 MiB
2026/07/10 21:48:59.045, 0, 100 %, 2437 MiB
2026/07/10 21:49:00.045, 0, 100 %, 4071 MiB
2026/07/10 21:49:01.046, 0, 100 %, 4071 MiB
2026/07/10 21:49:02.046, 0, 0 %, 4071 MiB
