timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/07/10 22:12:46.951, 0, 0 %, 183 MiB
2026/07/10 22:12:47.956, 0, 0 %, 183 MiB
2026/07/10 22:12:48.956, 0, 0 %, 183 MiB
2026/07/10 22:12:49.956, 0, 0 %, 183 MiB
2026/07/10 22:12:50.957, 0, 0 %, 183 MiB
2026/07/10 22:12:51.957, 0, 0 %, 183 MiB
2026/07/10 22:12:52.957, 0, 0 %, 183 MiB
2026/07/10 22:12:53.957, 0, 0 %, 183 MiB
2026/07/10 22:12:54.957, 0, 3 %, 1049 MiB
2026/07/10 22:12:55.957, 0, 0 %, 1049 MiB
2026/07/10 22:12:56.958, 0, 0 %, 1049 MiB
2026/07/10 22:12:57.958, 0, 0 %, 1049 MiB
2026/07/10 22:12:58.958, 0, 0 %, 1049 MiB
2026/07/10 22:12:59.958, 0, 0 %, 1049 MiB
2026/07/10 22:13:00.958, 0, 0 %, 1049 MiB
2026/07/10 22:13:01.958, 0, 0 %, 1049 MiB
2026/07/10 22:13:02.958, 0, 0 %, 1049 MiB
2026/07/10 22:13:03.959, 0, 0 %, 1049 MiB
2026/07/10 22:13:04.959, 0, 0 %, 1049 MiB
2026/07/10 22:13:05.959, 0, 0 %, 1049 MiB
2026/07/10 22:13:06.959, 0, 0 %, 1049 MiB
2026/07/10 22:13:07.959, 0, 0 %, 1049 MiB
2026/07/10 22:13:08.960, 0, 0 %, 1049 MiB
2026/07/10 22:13:09.960, 0, 0 %, 1049 MiB
2026/07/10 22:13:10.960, 0, 1 %, 1499 MiB
2026/07/10 22:13:11.961, 0, 0 %, 1499 MiB
2026/07/10 22:13:12.961, 0, 0 %, 1499 MiB
2026/07/10 22:13:13.962, 0, 37 %, 2437 MiB
2026/07/10 22:13:14.962, 0, 100 %, 4071 MiB
2026/07/10 22:13:15.962, 0, 71 %, 4071 MiB
2026/07/10 22:13:16.963, 0, 100 %, 4071 MiB
2026/07/10 22:13:17.963, 0, 0 %, 4071 MiB
