         1550001 function calls in 0.538 seconds

   Ordered by: cumulative time
   List reduced from 59 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000    0.030    0.000    0.543    0.000 replan_interface.py:600(replan)
    10000    0.046    0.000    0.315    0.000 replan_interface.py:383(build_replan_output_dict)
    10000    0.108    0.000    0.216    0.000 replan_interface.py:264(build_new_compact_config)
    10000    0.041    0.000    0.158    0.000 replan.py:497(replan_with_user_actions)
    10000    0.026    0.000    0.072    0.000 replan.py:226(_recompute_drops)
   100000    0.038    0.000    0.038    0.000 graph.py:423(propagate_scale)
    10000    0.032    0.000    0.035    0.000 replan_interface.py:240(_extract_current_propagation_deltas)
    30000    0.019    0.000    0.027    0.000 graph.py:555(nodes_between)
    20000    0.010    0.000    0.025    0.000 replan_interface.py:368(_chain_to_dict)
    20000    0.024    0.000    0.024    0.000 replan_interface.py:231(_restore_graph_delta_state)
    10000    0.011    0.000    0.021    0.000 replan.py:351(_fuse_chain)
    80000    0.014    0.000    0.018    0.000 types.py:176(__get__)
    80000    0.011    0.000    0.014    0.000 graph.py:508(M)
   200000    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
   260000    0.009    0.000    0.009    0.000 {built-in method builtins.len}
    30000    0.007    0.000    0.009    0.000 modulus_chain.py:79(total_bits)
    20000    0.003    0.000    0.009    0.000 {built-in method builtins.hasattr}
    20000    0.004    0.000    0.008    0.000 graph.py:513(dummy_sink_index)
    10000    0.006    0.000    0.007    0.000 replan.py:317(_normalize_allowed_fusion_pairs)
    10000    0.004    0.000    0.007    0.000 {built-in method builtins.any}
    30000    0.004    0.000    0.005    0.000 replan.py:189(fusion_count)
    30000    0.004    0.000    0.005    0.000 modulus_chain.py:75(R)
    10000    0.002    0.000    0.005    0.000 replan_interface.py:100(resolve_allowed_fusion_pairs)
    80000    0.004    0.000    0.004    0.000 enum.py:796(name)
    10000    0.003    0.000    0.004    0.000 replan_interface.py:109(_fusion_pairs_to_json)
    10000    0.004    0.000    0.004    0.000 <string>:2(__init__)
    10000    0.004    0.000    0.004    0.000 replan.py:560(<listcomp>)
    60000    0.004    0.000    0.004    0.000 {method 'extend' of 'list' objects}
    40000    0.003    0.000    0.003    0.000 replan.py:563(<genexpr>)
    10000    0.003    0.000    0.003    0.000 replan_interface.py:408(<listcomp>)
    10000    0.003    0.000    0.003    0.000 replan_interface.py:631(<listcomp>)
    10000    0.003    0.000    0.003    0.000 replan_interface.py:275(<listcomp>)
    30000    0.003    0.000    0.003    0.000 {built-in method builtins.sum}
    10000    0.003    0.000    0.003    0.000 replan_interface.py:356(<listcomp>)
    10000    0.002    0.000    0.002    0.000 replan_interface.py:280(<dictcomp>)
    10000    0.002    0.000    0.002    0.000 replan_interface.py:421(<listcomp>)
    10000    0.002    0.000    0.002    0.000 replan.py:589(<listcomp>)
    10000    0.002    0.000    0.002    0.000 replan_interface.py:93(default_allowed_fusion_pairs_for_graph)
    10000    0.002    0.000    0.002    0.000 replan_interface.py:334(<dictcomp>)
    10000    0.002    0.000    0.002    0.000 replan_interface.py:409(<listcomp>)
