         2040001 function calls in 0.669 seconds

   Ordered by: cumulative time
   List reduced from 61 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000    0.031    0.000    0.675    0.000 replan_interface.py:600(replan)
    10000    0.046    0.000    0.440    0.000 replan_interface.py:383(build_replan_output_dict)
    10000    0.138    0.000    0.339    0.000 replan_interface.py:264(build_new_compact_config)
    10000    0.043    0.000    0.162    0.000 replan.py:497(replan_with_user_actions)
   100000    0.052    0.000    0.078    0.000 graph.py:555(nodes_between)
    10000    0.027    0.000    0.071    0.000 replan.py:226(_recompute_drops)
   100000    0.048    0.000    0.048    0.000 graph.py:423(propagate_scale)
    10000    0.033    0.000    0.036    0.000 replan_interface.py:240(_extract_current_propagation_deltas)
    40000    0.014    0.000    0.029    0.000 {built-in method builtins.max}
    20000    0.025    0.000    0.025    0.000 replan_interface.py:231(_restore_graph_delta_state)
    20000    0.011    0.000    0.025    0.000 replan_interface.py:368(_chain_to_dict)
   150000    0.019    0.000    0.024    0.000 graph.py:508(M)
    10000    0.012    0.000    0.023    0.000 replan.py:351(_fuse_chain)
    80000    0.015    0.000    0.020    0.000 types.py:176(__get__)
   130000    0.015    0.000    0.015    0.000 replan_interface.py:311(<genexpr>)
   330000    0.012    0.000    0.012    0.000 {built-in method builtins.len}
   200000    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
   170000    0.010    0.000    0.010    0.000 {method 'extend' of 'list' objects}
    30000    0.007    0.000    0.010    0.000 modulus_chain.py:79(total_bits)
    20000    0.003    0.000    0.009    0.000 {built-in method builtins.hasattr}
    10000    0.007    0.000    0.008    0.000 replan.py:317(_normalize_allowed_fusion_pairs)
    10000    0.004    0.000    0.008    0.000 {built-in method builtins.any}
    20000    0.004    0.000    0.007    0.000 graph.py:513(dummy_sink_index)
    30000    0.004    0.000    0.005    0.000 replan.py:189(fusion_count)
    80000    0.005    0.000    0.005    0.000 enum.py:796(name)
    10000    0.002    0.000    0.005    0.000 replan_interface.py:100(resolve_allowed_fusion_pairs)
    30000    0.004    0.000    0.005    0.000 modulus_chain.py:75(R)
    10000    0.005    0.000    0.005    0.000 <string>:2(__init__)
    10000    0.003    0.000    0.005    0.000 replan_interface.py:109(_fusion_pairs_to_json)
    10000    0.004    0.000    0.004    0.000 replan.py:560(<listcomp>)
    40000    0.004    0.000    0.004    0.000 replan.py:563(<genexpr>)
    10000    0.003    0.000    0.003    0.000 replan_interface.py:408(<listcomp>)
    10000    0.003    0.000    0.003    0.000 replan_interface.py:631(<listcomp>)
    30000    0.003    0.000    0.003    0.000 {built-in method builtins.sum}
    10000    0.003    0.000    0.003    0.000 replan_interface.py:280(<dictcomp>)
    10000    0.003    0.000    0.003    0.000 replan_interface.py:275(<listcomp>)
    10000    0.003    0.000    0.003    0.000 replan_interface.py:356(<listcomp>)
    10000    0.002    0.000    0.002    0.000 replan.py:589(<listcomp>)
    10000    0.002    0.000    0.002    0.000 replan_interface.py:93(default_allowed_fusion_pairs_for_graph)
    10000    0.002    0.000    0.002    0.000 replan_interface.py:421(<listcomp>)
