         3440001 function calls in 0.912 seconds

   Ordered by: cumulative time
   List reduced from 64 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000    0.033    0.000    0.918    0.000 replan_interface.py:596(replan)
    10000    0.048    0.000    0.456    0.000 replan_interface.py:379(build_replan_output_dict)
    10000    0.144    0.000    0.350    0.000 replan_interface.py:260(build_new_compact_config)
    20000    0.059    0.000    0.234    0.000 replan_interface.py:230(_restore_graph_delta_state)
    10000    0.046    0.000    0.177    0.000 replan.py:497(replan_with_user_actions)
   280000    0.127    0.000    0.175    0.000 copy.py:128(deepcopy)
   100000    0.056    0.000    0.083    0.000 graph.py:555(nodes_between)
    10000    0.029    0.000    0.080    0.000 replan.py:226(_recompute_drops)
   100000    0.051    0.000    0.051    0.000 graph.py:423(propagate_scale)
    10000    0.034    0.000    0.037    0.000 replan_interface.py:236(_extract_current_propagation_deltas)
    40000    0.014    0.000    0.028    0.000 {built-in method builtins.max}
    20000    0.011    0.000    0.026    0.000 replan_interface.py:364(_chain_to_dict)
   150000    0.020    0.000    0.026    0.000 graph.py:508(M)
   570000    0.026    0.000    0.026    0.000 {method 'get' of 'dict' objects}
    10000    0.013    0.000    0.024    0.000 replan.py:351(_fuse_chain)
    80000    0.015    0.000    0.020    0.000 types.py:176(__get__)
   130000    0.014    0.000    0.014    0.000 replan_interface.py:307(<genexpr>)
   330000    0.013    0.000    0.013    0.000 {built-in method builtins.len}
   280000    0.012    0.000    0.012    0.000 {built-in method builtins.id}
   280000    0.012    0.000    0.012    0.000 copy.py:182(_deepcopy_atomic)
   170000    0.010    0.000    0.010    0.000 {method 'extend' of 'list' objects}
   200000    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
    30000    0.007    0.000    0.010    0.000 modulus_chain.py:79(total_bits)
    20000    0.004    0.000    0.009    0.000 {built-in method builtins.hasattr}
    10000    0.007    0.000    0.009    0.000 replan.py:317(_normalize_allowed_fusion_pairs)
    20000    0.004    0.000    0.008    0.000 graph.py:513(dummy_sink_index)
    10000    0.004    0.000    0.008    0.000 {built-in method builtins.any}
    30000    0.004    0.000    0.005    0.000 replan.py:189(fusion_count)
    10000    0.002    0.000    0.005    0.000 replan_interface.py:101(resolve_allowed_fusion_pairs)
    80000    0.005    0.000    0.005    0.000 enum.py:796(name)
    30000    0.004    0.000    0.005    0.000 modulus_chain.py:75(R)
    10000    0.005    0.000    0.005    0.000 <string>:2(__init__)
    10000    0.003    0.000    0.005    0.000 replan_interface.py:110(_fusion_pairs_to_json)
    10000    0.004    0.000    0.004    0.000 replan.py:560(<listcomp>)
    40000    0.004    0.000    0.004    0.000 replan.py:563(<genexpr>)
    10000    0.003    0.000    0.003    0.000 replan_interface.py:404(<listcomp>)
    10000    0.003    0.000    0.003    0.000 replan_interface.py:627(<listcomp>)
    10000    0.003    0.000    0.003    0.000 replan_interface.py:276(<dictcomp>)
    30000    0.003    0.000    0.003    0.000 {built-in method builtins.sum}
    10000    0.003    0.000    0.003    0.000 replan_interface.py:94(default_allowed_fusion_pairs_for_graph)
