2026-06-11T04:09:35.797148 ep=2279 rolling600: reward=37.903 P1=0 P2=1 P3=599 fusion=0.09
2026-06-11T04:39:35.985315 ep=4499 rolling600: reward=37.969 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T05:09:36.254758 ep=6659 rolling600: reward=38.060 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T05:39:36.596624 ep=8819 rolling600: reward=38.157 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T06:09:37.013167 ep=10979 rolling600: reward=38.247 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T06:39:37.514459 ep=13199 rolling600: reward=38.461 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T07:09:38.083273 ep=15359 rolling600: reward=38.568 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T07:39:38.774468 ep=17519 rolling600: reward=38.665 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T08:09:39.534327 ep=19679 rolling600: reward=38.773 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T08:39:40.374843 ep=21899 rolling600: reward=38.850 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T09:09:41.299119 ep=24059 rolling600: reward=38.959 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T09:39:42.297387 ep=26279 rolling600: reward=39.062 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T10:09:43.371566 ep=28499 rolling600: reward=39.131 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T10:39:44.519905 ep=30659 rolling600: reward=39.229 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T11:09:45.752809 ep=32879 rolling600: reward=39.226 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T11:39:47.075203 ep=35159 rolling600: reward=39.230 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T12:09:48.592497 ep=37379 rolling600: reward=39.233 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T12:39:50.183297 ep=39659 rolling600: reward=39.232 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T13:09:51.859980 ep=41819 rolling600: reward=39.232 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T13:39:53.602566 ep=43979 rolling600: reward=39.230 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T14:09:55.394645 ep=46139 rolling600: reward=39.231 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T14:39:57.295619 ep=48359 rolling600: reward=39.227 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T15:09:59.273727 ep=50579 rolling600: reward=39.231 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T15:40:01.372225 ep=52799 rolling600: reward=39.231 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T16:10:03.688089 ep=54959 rolling600: reward=39.231 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T16:40:06.139870 ep=57119 rolling600: reward=39.229 P1=0 P2=0 P3=600 fusion=0.00
2026-06-11T17:10:08.596436 ep=59279 rolling600: reward=39.232 P1=0 P2=0 P3=600 fusion=0.00
