episode,rolling60_mean,rolling60_min,rolling60_max,rolling300_mean,rolling300_min,rolling300_max,rolling1000_mean,rolling1000_min,rolling1000_max
0,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,37.07498202,37.06990072,37.22233974,,,,,,
60,37.07752267,37.06990072,37.37477877,,,,,,
61,37.07498202,37.06990072,37.37477877,,,,,,
62,37.07498202,37.06990072,37.37477877,,,,,,
63,37.08006332,37.06990072,37.37477877,,,,,,
64,37.08768527,37.06990072,37.52721779,,,,,,
65,37.09529355,37.06990072,37.52721779,,,,,,
66,37.09529355,37.06990072,37.52721779,,,,,,
67,37.10876086,37.06990072,37.87793885,,,,,,
68,37.11638281,37.06990072,37.87793885,,,,,,
69,37.11639648,37.06990072,37.87793885,,,,,,
70,37.11639648,37.06990072,37.87793885,,,,,,
71,37.11639648,37.06990072,37.87793885,,,,,,
72,37.11895059,37.06990072,37.87793885,,,,,,
73,37.11895059,37.06990072,37.87793885,,,,,,
74,37.11895059,37.06990072,37.87793885,,,,,,
75,37.11895059,37.06990072,37.87793885,,,,,,
76,37.12657254,37.06990072,37.87793885,,,,,,
77,37.13418180,37.06990072,37.87793885,,,,,,
78,37.14764911,37.06990072,37.87793885,,,,,,
79,37.15020244,37.06990072,37.87793885,,,,,,
80,37.15020244,37.06990072,37.87793885,,,,,,
81,37.15529643,37.06990072,37.87793885,,,,,,
82,37.15784977,37.06990072,37.87793885,,,,,,
83,37.16549380,37.06990072,37.87793885,,,,,,
84,37.17387981,37.06990072,37.87793885,,,,,,
85,37.18482768,37.06990072,37.87793885,,,,,,
