episode,total_reward,terminal_reward,terminal_priority,terminal_loss_mean,terminal_loss_std,terminal_metric1_mean,terminal_metric2_mean,terminal_metric1_std,terminal_metric2_std,terminal_stab_excess_m1,terminal_stab_excess_m2,terminal_stab_excess_loss,terminal_stab_violation,valid_steps,invalid_steps,total_bits,safe_neighbor_active,safe_neighbor_mutation_count,safe_neighbor_radius
0,37.833100146453944,40.80588235294118,3,0.3379350364208221,0.0011819943195846875,0.8703125,0.8703125,0.005182226234930313,0.005182226234930313,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
1,37.777119754297075,40.749901960784314,3,0.33793617635965345,0.002908699775993544,0.87109375,0.87109375,0.005524271728019903,0.005524271728019903,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
2,37.63006093076767,40.60284313725491,3,0.34155538007617,0.002097793637861005,0.86875,0.86875,0.003125,0.003125,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
3,37.82613936214021,40.79892156862745,3,0.33821026906371116,0.0022746439598845996,0.871875,0.871875,0.0045554311678478905,0.0045554311678478905,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
4,37.6790805386108,40.651862745098036,3,0.34033016189932824,0.0024596358047616917,0.86953125,0.86953125,0.0019136638615493578,0.0019136638615493578,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
5,37.82613936214021,40.79892156862745,3,0.3392136372625828,0.003186667241047975,0.871875,0.871875,0.0015625,0.0015625,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
6,37.72810014645394,40.70088235294118,3,0.3401793919503689,0.0022343801838612992,0.8703125,0.8703125,0.0045554311678478905,0.0045554311678478905,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
7,37.483002107238256,40.455784313725495,3,0.3410303138196468,0.001253772735482651,0.86640625,0.86640625,0.005182226234930313,0.005182226234930313,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
8,37.82613936214021,40.79892156862745,3,0.338713975250721,0.0026296391703236,0.871875,0.871875,0.0038273277230987156,0.0038273277230987156,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
9,38.02221779351276,40.995,3,0.3368976809084415,0.004889766992995792,0.875,0.875,0.006536406457297465,0.006536406457297465,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
10,37.6790805386108,40.651862745098036,3,0.33981612101197245,0.001209486350972941,0.86953125,0.86953125,0.0019136638615493578,0.0019136638615493578,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
11,37.97319818566963,40.94598039215687,3,0.3376430541276932,0.002054489822501317,0.87421875,0.87421875,0.0038273277230987156,0.0038273277230987156,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
12,37.92417857782649,40.89696078431373,3,0.33799564465880394,0.003148151782302288,0.8734375,0.8734375,0.005298695299316616,0.005298695299316616,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
13,37.82613936214021,40.79892156862745,3,0.3419772282242775,0.002169681417900959,0.871875,0.871875,0.002923169833417142,0.002923169833417142,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
14,37.63006093076767,40.60284313725491,3,0.3396264337003231,0.0012702477301755803,0.86875,0.86875,0.003983608994994363,0.003983608994994363,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
15,37.777119754297075,40.749901960784314,3,0.34034290313720705,0.0027348027918358306,0.87109375,0.87109375,0.0034938562148434213,0.0034938562148434213,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
16,37.82613936214021,40.79892156862745,3,0.3407233528792858,0.001735027441219156,0.871875,0.871875,0.002923169833417142,0.002923169833417142,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
17,37.58104132292453,40.553823529411765,3,0.3405544377863407,0.0024654074645396834,0.86796875,0.86796875,0.0029231698334171415,0.0029231698334171415,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
18,37.53202171508139,40.50480392156863,3,0.3447274588048458,0.004055204473885493,0.8671875,0.8671875,0.005524271728019903,0.005524271728019903,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
19,37.72810014645394,40.70088235294118,3,0.33776693791151047,0.0036082430997665493,0.8703125,0.8703125,0.0045554311678478905,0.0045554311678478905,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
20,37.92417857782649,40.89696078431373,3,0.34160265475511553,0.0026397819541870943,0.8734375,0.8734375,0.005298695299316616,0.005298695299316616,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
21,37.72810014645394,40.70088235294118,3,0.3397795207798481,0.004163473487162385,0.8703125,0.8703125,0.0029231698334171415,0.0029231698334171415,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
22,37.6790805386108,40.651862745098036,3,0.3397745579481125,0.0036701095247167518,0.86953125,0.86953125,0.003983608994994363,0.003983608994994363,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
23,37.483002107238256,40.455784313725495,3,0.3412193313241005,0.0029553918383111786,0.86640625,0.86640625,0.002923169833417142,0.002923169833417142,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
24,37.92417857782649,40.89696078431373,3,0.340956362336874,0.002100733794323156,0.8734375,0.8734375,0.003983608994994363,0.003983608994994363,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
25,37.72810014645394,40.70088235294118,3,0.34043467938899996,0.0048299027059585265,0.8703125,0.8703125,0.002923169833417142,0.002923169833417142,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
26,37.92417857782649,40.89696078431373,3,0.3389988675713539,0.0025840128518729542,0.8734375,0.8734375,0.0019136638615493578,0.0019136638615493578,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
27,37.97319818566963,40.94598039215687,3,0.3410614669322968,0.0030279491055509532,0.87421875,0.87421875,0.0029231698334171415,0.0029231698334171415,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
28,37.92417857782649,40.89696078431373,3,0.3386357881128788,0.00224968831972071,0.8734375,0.8734375,0.005846339666834283,0.005846339666834283,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
29,37.97319818566963,40.94598039215687,3,0.3424869433045387,0.004175271466369329,0.87421875,0.87421875,0.006720566614877052,0.006720566614877052,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
30,37.777119754297075,40.749901960784314,3,0.33883896470069885,0.002139610154075128,0.87109375,0.87109375,0.0024705294220065464,0.0024705294220065464,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
31,37.777119754297075,40.749901960784314,3,0.34239212423563004,0.002508630785350652,0.87109375,0.87109375,0.0024705294220065464,0.0024705294220065464,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
32,37.87515896998335,40.84794117647059,3,0.3399583823978901,0.003975786015955335,0.87265625,0.87265625,0.0019136638615493578,0.0019136638615493578,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
33,38.02221779351276,40.995,3,0.33629537001252174,0.0018647571666963966,0.875,0.875,0.0034938562148434213,0.0034938562148434213,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
34,37.92417857782649,40.89696078431373,3,0.33912311792373656,0.0021144733789487174,0.8734375,0.8734375,0.003125,0.003125,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
35,37.72810014645394,40.70088235294118,3,0.3404763020575047,0.0018857231194356235,0.8703125,0.8703125,0.002923169833417142,0.002923169833417142,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
36,37.82613936214021,40.79892156862745,3,0.33794287219643593,0.0027569657866705517,0.871875,0.871875,0.004555431167847891,0.004555431167847891,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
37,37.63006093076767,40.60284313725491,3,0.34129168912768365,0.0014948338934055703,0.86875,0.86875,0.003983608994994363,0.003983608994994363,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
38,37.483002107238256,40.455784313725495,3,0.3421113811433315,0.002502801172118089,0.86640625,0.86640625,0.002923169833417142,0.002923169833417142,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
39,37.777119754297075,40.749901960784314,3,0.3417004823684692,0.002888744880041085,0.87109375,0.87109375,0.0024705294220065464,0.0024705294220065464,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
40,37.97319818566963,40.94598039215687,3,0.3382984444499016,0.0016350625706333863,0.87421875,0.87421875,0.0029231698334171415,0.0029231698334171415,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
41,37.97319818566963,40.94598039215687,3,0.33951363191008566,0.001918191605881392,0.87421875,0.87421875,0.0029231698334171415,0.0029231698334171415,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
42,38.02221779351276,40.995,3,0.33856230676174165,0.0020933289974534503,0.875,0.875,0.006051536478449089,0.006051536478449089,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
43,37.777119754297075,40.749901960784314,3,0.3424490332603455,0.002866566454316582,0.87109375,0.87109375,0.0034938562148434213,0.0034938562148434213,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
44,37.63006093076767,40.60284313725491,3,0.34097985848784446,0.0020143551934749494,0.86875,0.86875,0.003983608994994363,0.003983608994994363,0.0,0.0,0.0,0.0,59,0,14779,False,0,0
