episode,rolling60_mean,rolling60_min,rolling60_max,rolling300_mean,rolling300_min,rolling300_max,rolling1000_mean,rolling1000_min,rolling1000_max
0,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,37.79112466,37.48300211,38.02221779,,,,,,
60,37.79182564,37.48300211,38.02221779,,,,,,
61,37.78937466,37.48300211,38.02221779,,,,,,
62,37.79395962,37.48300211,38.02221779,,,,,,
63,37.79314263,37.48300211,38.02221779,,,,,,
64,37.79477662,37.48300211,38.02221779,,,,,,
65,37.79232564,37.48300211,38.02221779,,,,,,
66,37.79477662,37.48300211,38.02221779,,,,,,
67,37.80391224,37.48300211,38.03113936,,,,,,
68,37.80554622,37.48300211,38.03113936,,,,,,
69,37.80197222,37.48300211,38.03113936,,,,,,
70,37.79921423,37.48300211,38.03113936,,,,,,
71,37.79676325,37.48300211,38.03113936,,,,,,
72,37.79774756,37.48300211,38.03113936,,,,,,
73,37.79856455,37.48300211,38.03113936,,,,,,
74,37.80560050,37.48300211,38.05221779,,,,,,
75,37.80478350,37.48300211,38.05221779,,,,,,
76,37.80151553,37.48300211,38.05221779,,,,,,
77,37.80568601,37.48300211,38.05221779,,,,,,
78,37.80813699,37.48300211,38.05221779,,,,,,
79,37.80863699,37.48300211,38.05221779,,,,,,
80,37.80832931,37.48300211,38.05221779,,,,,,
81,37.80595629,37.48300211,38.05221779,,,,,,
82,37.80759027,37.48300211,38.05221779,,,,,,
83,37.81167524,37.48300211,38.05221779,,,,,,
84,37.80600476,37.48300211,38.05221779,,,,,,
85,37.80682175,37.48300211,38.05221779,,,,,,
