model,scope,category,n_total,pct_zero,n_abs_gt_1,pct_abs_gt_1,n_abs_gt_10,pct_abs_gt_10,min,max,maxabs,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]"
ViT-Large,ALL,Attn/K/bias,24576,0.0,0,0.0,0,0.0,-0.10699991881847382,0.08856307715177536,0.10699991881847382,0.0,0.0,0.020345052083333336,0.32145182291666663,3.21044921875,29.768880208333332,66.6748046875,0.004069010416666666,0.0,0.0
ViT-Large,ALL,Attn/K/weight,25165824,0.0,0,0.0,0,0.0,-0.7099329829216003,0.7606217861175537,0.7606217861175537,0.00019470850626627603,0.0020941098531087237,0.01919269561767578,0.18970171610514325,1.8924315770467122,18.642099698384605,77.18263864517212,2.071646849314372,0.0,0.0
ViT-Large,ALL,Attn/O/bias,24576,0.0,0,0.0,0,0.0,-0.3561282455921173,0.5925309062004089,0.5925309062004089,0.0,0.008138020833333332,0.12613932291666669,0.7527669270833333,8.04443359375,61.397298177083336,29.414876302083332,0.25634765625,0.0,0.0
ViT-Large,ALL,Attn/O/weight,25165824,0.0,3,1.1920928955078125e-05,0,0.0,-1.0939760208129883,1.0171606540679932,1.0939760208129883,0.00025828679402669274,0.002523263295491536,0.02543926239013672,0.25358994801839196,2.520163853963216,24.551737308502197,72.4305272102356,0.21574894587198892,1.1920928955078125e-05,0.0
ViT-Large,ALL,Attn/Q/bias,24576,0.0,0,0.0,0,0.0,-0.33385881781578064,0.33555716276168823,0.33555716276168823,0.0,0.0,0.004069010416666666,0.10172526041666667,0.9195963541666666,9.138997395833332,66.64225260416666,23.193359375,0.0,0.0
ViT-Large,ALL,Attn/Q/weight,25165824,0.0,0,0.0,0,0.0,-0.5836189985275269,0.5960872173309326,0.5960872173309326,0.00025828679402669274,0.0020066897074381513,0.019780794779459633,0.19795099894205728,1.9848744074503581,19.384360313415527,76.38476292292276,2.0260055859883623,0.0,0.0
ViT-Large,ALL,Attn/V/bias,24576,0.0,0,0.0,0,0.0,-0.10356783121824265,0.0939866155385971,0.10356783121824265,0.0,0.004069010416666666,0.08951822916666666,0.634765625,7.72705078125,58.272298177083336,33.26416015625,0.008138020833333332,0.0,0.0
ViT-Large,ALL,Attn/V/weight,25165824,0.0,0,0.0,0,0.0,-0.3569154143333435,0.3546625077724457,0.3569154143333435,0.00031391779581705726,0.002797444661458333,0.02669493357340495,0.2626260121663412,2.6391665140787763,24.972506364186607,71.8072017033895,0.28869311014811194,0.0,0.0
ViT-Large,ALL,Classifier/bias,1000,0.0,0,0.0,0,0.0,-0.02985905297100544,0.06455395370721817,0.06455395370721817,0.0,0.0,0.0,0.8999999999999999,5.7,53.2,40.2,0.0,0.0,0.0
ViT-Large,ALL,Classifier/weight,1024000,0.0,0,0.0,0,0.0,-0.1239250972867012,0.11768774688243866,0.1239250972867012,0.00048828125,0.0035156249999999997,0.03642578125,0.36640625,3.6160156249999997,30.02314453125,65.95078125,0.0032226562500000003,0.0,0.0
ViT-Large,ALL,Embeddings/bias,1024,0.0,0,0.0,0,0.0,-0.49649837613105774,0.49430111050605774,0.49649837613105774,0.0,0.0,0.0,0.390625,3.125,26.07421875,59.9609375,10.44921875,0.0,0.0
