model,n_total,n_abs_gt_1,pct_abs_gt_1,n_abs_gt_10,pct_abs_gt_10
ViT-Base,86567656,3328,0.0038443919516545533,0,0.0
ViT-Large,304326632,151,4.961774098035561e-05,0,0.0
GPT2,124441344,14639,0.011763775228914275,17,1.3661054641132773e-05
GPT2-Medium,354825216,18983,0.005349957991711615,18,5.072920183891328e-06
GPT2-Large,774032640,3297,0.00042595102966200494,0,0.0
GPT2-XL,1557614400,3738,0.000239982373044317,0,0.0
OPT-1.3B,1315758080,0,0.0,0,0.0
BERT-Base-QNLI,109483778,213,0.00019454936967922316,0,0.0
BERT-Base-RTE,109483778,214,0.00019546274700166084,0,0.0
BERT-Base-MRPC,109483778,213,0.00019454936967922316,0,0.0
BERT-Large,335141888,3358,0.0010019636817227694,0,0.0
BERT-Large-CoLA,335143938,3370,0.0010055381040488937,0,0.0
BERT-Large-SST2,335143938,3365,0.0010040462077520853,0,0.0
