layer,sigma,acc_mean,acc_std,acc_min,acc_max,f1_mean,f1_std,f1_min,f1_max
0,0.2,0.8774509803921569,0.006484684585942601,0.8700980392156863,0.8823529411764706,0.874885878850909,0.006556209383302295,0.8674367246447561,0.8797794117647059
1,0.2,0.8790849673202614,0.0037439343913037776,0.875,0.8823529411764706,0.8764092728932945,0.004528510907538181,0.8713571611674662,0.8801034624694466
2,0.2,0.8725490196078431,0.006484684585942601,0.8676470588235294,0.8799019607843137,0.8696492227249841,0.006301981940345923,0.8647518382352941,0.8767591052949021
3,0.2,0.875,0.004901960784313708,0.8700980392156863,0.8799019607843137,0.8725087755974128,0.005845294450651674,0.8666986240944858,0.8783885903037421
4,0.2,0.8725490196078431,0.004901960784313708,0.8676470588235294,0.8774509803921569,0.8692623339657884,0.005224971123040615,0.8643758541478876,0.8747702205882353
5,0.2,0.8799019607843137,0.006484684585942601,0.8725490196078431,0.8848039215686274,0.8773154403409649,0.006955017392964669,0.8693989706609286,0.8824438878925194
6,0.2,0.8774509803921569,0.002450980392156854,0.875,0.8799019607843137,0.8752176898039122,0.0024963625829237494,0.8727781009630922,0.877767195042971
7,0.2,0.8758169934640523,0.0051021225477110915,0.8700980392156863,0.8799019607843137,0.8738839095064656,0.004926220947463448,0.868461128287721,0.8780828268260019
8,0.2,0.8774509803921569,0.012969369171885202,0.8627450980392157,0.8872549019607843,0.8745796656997964,0.0141166361013181,0.8585363830967228,0.8850991515332196
9,0.2,0.8782679738562091,0.0028301483783805086,0.875,0.8799019607843137,0.8750823584281661,0.0029042107646187133,0.871728864694694,0.8767591052949021
10,0.2,0.8766339869281046,0.007487868782607555,0.8700980392156863,0.8848039215686274,0.873507808041699,0.007999518160598112,0.8663123439583473,0.8821216404881351
11,0.2,0.875,0.0,0.875,0.875,0.871728864694694,0.0,0.871728864694694,0.871728864694694
