sigma,acc_mean
1e-10,0.8774509803921569
1e-09,0.8774509803921569
1e-08,0.8774509803921569
1e-07,0.8774509803921569
1e-06,0.8774509803921569
1e-05,0.8774509803921569
0.0001,0.8774509803921569
0.0002,0.8774509803921569
0.0003,0.8774509803921569
0.0004,0.8774509803921569
0.0005,0.8774509803921569
0.0006,0.8774509803921569
0.0007,0.8774509803921569
0.0008,0.8774509803921569
0.0009,0.8774019607843137
0.001,0.8774509803921569
0.002,0.8768137254901961
0.003,0.8772549019607843
0.004,0.8767156862745098
0.005,0.8766666666666667
0.006,0.8769117647058823
0.007,0.8761274509803921
0.008,0.8761274509803921
0.009,0.8762254901960784
0.01,0.8759803921568627
0.02,0.8765686274509804
0.03,0.8776960784313725
0.04,0.8773039215686275
0.05,0.8776960784313725
0.06,0.8784313725490196
0.07,0.8767647058823529
0.08,0.8756372549019608
0.09,0.8749509803921569
0.1,0.8741666666666668
0.2,0.8569607843137256
0.3,0.752107843137255
0.4,0.4155882352941177
0.5,0.31901960784313727
0.6,0.3177941176470588
0.7,0.3204901960784314
0.8,0.3265196078431372
0.9,0.33970588235294114
1.0,0.36759803921568623
2.0,0.4794117647058823
3.0,0.4957843137254902
4.0,0.4847549019607843
5.0,0.48588235294117643
6.0,0.49014705882352944
7.0,0.49299019607843136
8.0,0.4936274509803921
9.0,0.48892156862745095
10.0,0.49073529411764705
