root	relative_path	storage	archive_path	raw_bytes	raw_lines	raw_sha256
run	best_policy/constraint_metadata.json	small	small_files/run/best_policy/constraint_metadata.json	260	9	14e1cf6b79c5593ebe4a11f26bf712b9fcfdfb1f9aae34c100bee12016c9a120
run	logs/elastic_gpu_health_events.jsonl	gzip	streams/run__7a7521f9277f__elastic_gpu_health_events.jsonl.gz	2360	12	47886d4157b0032352a20c2db4eb1d2650addfaba27a87071771fe8b0bfade7a
run	logs/glue_dataset_equivalent_route.txt	small	small_files/run/logs/glue_dataset_equivalent_route.txt	1223	20	c8af7813f39b34b47f9ade713458ef27e59ae58d70adbe0ea4636e58d3db758c
run	logs/glue_dataset_local_route.txt	small	small_files/run/logs/glue_dataset_local_route.txt	1137	27	ea2b99f5c2b7290876f3e93723a8de1af59824d55f5f7494154c81d9f58c9dc3
run	logs/stage2_base_rte_30k.log	small	small_files/run/logs/stage2_base_rte_30k.log	17225	245	44ff704fe576cc99c28fdd1a1f3bc40e9f9b2a41b5a99c7c67f02360e84d1fdf
run	logs/stage2_base_rte_resume_30k_to50k_20260802.log	small	small_files/run/logs/stage2_base_rte_resume_30k_to50k_20260802.log	687	10	dac6524d61c5e17e92fc014a2900f85d50e73fb1eb05509fcad4226cd5bf6d22
run	logs/stage2_base_rte_resume_30k_to50k_20260802_offline.log	small	small_files/run/logs/stage2_base_rte_resume_30k_to50k_20260802_offline.log	10032	183	faf6c66b3327e60abd6bb031ab6d4e1cf3b2a3bda21154da8184ec91d2ab25cf
run	logs/stage2_base_rte_resume_30k_to50k_20260802_retry.log	small	small_files/run/logs/stage2_base_rte_resume_30k_to50k_20260802_retry.log	9367	112	783fea8c00dca0931dd8600268e65a543eaca0f272071244464a4b872d5c2036
run	logs/stage2_base_rte_resume_30k_to50k_20260803_offline_local.log	small	small_files/run/logs/stage2_base_rte_resume_30k_to50k_20260803_offline_local.log	18904	267	c7c9770d1b10f537790d47042399fde4b5a8eddd2baf8a95c07f73c5a9df7da1
run	logs/stage2_base_rte_resume_30k_to50k_20260803_seed20260725.log	small	small_files/run/logs/stage2_base_rte_resume_30k_to50k_20260803_seed20260725.log	17555	246	add47fc257fde657fb1fc18db1c2a4b24cc9d6277b679c49768b493906968f9b
run	logs/stage2_base_rte_resume_contract_trace.log	small	small_files/run/logs/stage2_base_rte_resume_contract_trace.log	18529	266	d30168b500493d18e3dcaa7d8c73448a61b7613c0583c96d3efea67ee7236902
run	metadata.json	small	small_files/run/metadata.json	828	28	9449bb43d00fa058c4b08a15b2bf1889729e407ee69c80b93643ec26db5900aa
run	rl.pid	small	small_files/run/rl.pid	7		48a9ae2166889817ed8deb0a904a1215835e66a0adffe06cf7c17d96fc0dcad4
run	run.pid	small	small_files/run/run.pid	7		48a9ae2166889817ed8deb0a904a1215835e66a0adffe06cf7c17d96fc0dcad4
run	stage1/pruning_search_log.txt	small	small_files/run/stage1/pruning_search_log.txt	6133	93	37e7b716ea07a5f693091c1edb35f2885c2c8e97d326440f3699f14be2b7b8b4
run	stage2_noise/progress/blb_stage2_live_summary.md	small	small_files/run/stage2_noise/progress/blb_stage2_live_summary.md	1192	45	906db1f2eb2373273972423a502bd424ee06779086b875a0cf9822c4963bd93f
run	stage2_noise/progress/blb_stage2_rl_checkpoint_live.pt	small	small_files/run/stage2_noise/progress/blb_stage2_rl_checkpoint_live.pt	8433331		001db68534d20418a563e97c87373de4db53a10bc12f90d22e70e87b29df18a9
run	stage2_noise/progress/blb_stage2_status.json	small	small_files/run/stage2_noise/progress/blb_stage2_status.json	6042	211	9873800b3615923a218e75a49433960ffd676b06326b78beaf6091a6b716ad3f
run	stage2_noise/progress/blb_stage2_training_curve.npz	small	small_files/run/stage2_noise/progress/blb_stage2_training_curve.npz	2409328		de2e0adf88205ef9238517d2ca56f794cee4029fcc3498fdb86b5e1efc0a7301
run	stage2_noise/progress/candidate_store.jsonl	gzip	streams/run__2ffd341b5e22__candidate_store.jsonl.gz	601788488	76061	395309dcb41b3ccea9f7778068811971e25f5aee29514f494340286c036c9b8a
run	stage2_noise/progress/diagnostics/action_histogram.npz	small	small_files/run/stage2_noise/progress/diagnostics/action_histogram.npz	449290		e279fa9c0e3b752bbbcefa6e8b76b1f9de2aa995b87c704d8036b49dcc3a90da
run	stage2_noise/progress/diagnostics/baseline_action_vec.json	small	small_files/run/stage2_noise/progress/diagnostics/baseline_action_vec.json	589141	29773	4cbdcad49958528d47d07cfdf3162badaebfc69600ac25124b3a6d033b5301de
run	stage2_noise/progress/diagnostics/blb_stage2_health.log	small	small_files/run/stage2_noise/progress/diagnostics/blb_stage2_health.log	10835	86	6e608274e6ab4193206cd38f876a50ff06d8f973e1c28fabcfe14a2a8caa86fe
run	stage2_noise/progress/diagnostics/diagnostics_summary.md	small	small_files/run/stage2_noise/progress/diagnostics/diagnostics_summary.md	31801	248	32ab28dd5538414ea99aabd0cbd105b5766567dfd437e05e7a6127d2e788fe12
run	stage2_noise/progress/diagnostics/episodes.jsonl	gzip	streams/run__7c0a50c68779__episodes.jsonl.gz	574240394	50000	dce993ee8d8bb8d51af6046c627205c7a239bf15966f84940405dd63b9f0387c
run	stage2_noise/progress/diagnostics/first_invalid_counts.json	small	small_files/run/stage2_noise/progress/diagnostics/first_invalid_counts.json	2	0	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
run	stage2_noise/progress/diagnostics/pareto_frontier.html	small	small_files/run/stage2_noise/progress/diagnostics/pareto_frontier.html	3792	207	1dbdf0f1d9c2c10d69d08212bd11dab9692d3d24027c1b4c9b143de97bfd3ec3
run	stage2_noise/progress/diagnostics/pareto_frontier.json	small	small_files/run/stage2_noise/progress/diagnostics/pareto_frontier.json	3025420	126146	27cb573f045e588c043a3e911423a2c1e808095fd8b4d8fac4d2dbd5cdd9b09d
run	stage2_noise/progress/diagnostics/pareto_frontier.jsonl	gzip	streams/run__1f2b2a0d5234__pareto_frontier.jsonl.gz	1646044	4	5dd86bbe29c92f33bec69e2b9b3605b7a576b010a7b83ef8938c2759c58c4b96
run	stage2_noise/progress/diagnostics/ppo_updates.jsonl	gzip	streams/run__9d94319920a8__ppo_updates.jsonl.gz	1013125	417	f568443d4ea4e8f2901c8d99c85f8cf33969393bc0765f54ac84855baa5d8a89
run	stage2_noise/progress/diagnostics/top_candidates.jsonl	gzip	streams/run__92dddded939e__top_candidates.jsonl.gz	8248925	20	fd52354465bfc9017992965c81c0f9a3c2237d35b172b6b8655510aff2077bbd
run	stage2_noise/progress/layerwise_run_manifest.json	small	small_files/run/stage2_noise/progress/layerwise_run_manifest.json	73622	2242	1c40abe1288c192caceacffbd3a51da34c6f25b0ae9e4389a411754ce6795e91
run	stage2_noise/progress/layerwise_summary.json	small	small_files/run/stage2_noise/progress/layerwise_summary.json	36667	1188	45e07f0a208c16aee1b03d37438f127179512620deaeac076792dedffaef8d1c
run	stage2_noise/progress/rl_data_points_run_id.txt	small	small_files/run/stage2_noise/progress/rl_data_points_run_id.txt	152	1	ecfc3c3dc626227064fd0130cf3e297f538d5f41512d1ac301945ac9366e9e2b
run	stage2_noise/pruning_search_log.txt	small	small_files/run/stage2_noise/pruning_search_log.txt	20618	190	6d556154b63052e2cc1e35172532088414205f9ad08b3931013389dacc978d0b
structured	episodes.jsonl	gzip	streams/structured__9b15f2ae294f__episodes.jsonl.gz	577440157	50000	1b7772899f2af18fd0f7fd5ed9b5135664fa9a738f276d680c5d635bcab7518f
