worktree	ref	object
/hy-tmp/RFR_k6_13_eb19c6af_20260727	refs/heads/codex/all-agents-k6-13-integrated-20260727	54dfeaa085fc2aa8da9523fb4707451fbde01634
/hy-tmp/RFR_k6_13_eb19c6af_20260727	refs/tags/stage2-rl-v10-shared-baseline-20260721	fa1aae942c632d9ff2b920a139be614167f48c5d
/hy-tmp/RFR_stage2_18group_ff7e7526	refs/heads/codex/bert-large-mrpc-exact-probe-scheduling-20260725	264e4002860818e87c1933006df678af8464d1c2
/hy-tmp/RFR_stage2_18group_ff7e7526	refs/heads/codex/stage2-k-presets-network-budget-20260728-server-sync	6f5ea845380b8746f8aed6fc19c2c2af23221378
/hy-tmp/RFR_stage2_18group_ff7e7526	refs/heads/codex/stage2-terminal-probe-opt-97079	3d89b99dd609a67799811a4bf995000bafe1436c
/hy-tmp/RFR_stage2_18group_ff7e7526	refs/tags/stage2-rl-v10-shared-baseline-20260721	fa1aae942c632d9ff2b920a139be614167f48c5d
/hy-tmp/RFR_stage2_presets_2dbc2934	refs/heads/codex/bert-large-mrpc-exact-probe-scheduling-20260725	264e4002860818e87c1933006df678af8464d1c2
/hy-tmp/RFR_stage2_presets_2dbc2934	refs/heads/codex/stage2-k-presets-network-budget-20260728-server-sync	6f5ea845380b8746f8aed6fc19c2c2af23221378
/hy-tmp/RFR_stage2_presets_2dbc2934	refs/heads/codex/stage2-terminal-probe-opt-97079	3d89b99dd609a67799811a4bf995000bafe1436c
/hy-tmp/RFR_stage2_presets_2dbc2934	refs/tags/stage2-rl-v10-shared-baseline-20260721	fa1aae942c632d9ff2b920a139be614167f48c5d
/hy-tmp/Reinforcement-For-Robustness	refs/heads/codex/bert-large-mrpc-exact-probe-scheduling-20260725	264e4002860818e87c1933006df678af8464d1c2
/hy-tmp/Reinforcement-For-Robustness	refs/heads/codex/stage2-k-presets-network-budget-20260728-server-sync	6f5ea845380b8746f8aed6fc19c2c2af23221378
/hy-tmp/Reinforcement-For-Robustness	refs/heads/codex/stage2-terminal-probe-opt-97079	3d89b99dd609a67799811a4bf995000bafe1436c
/hy-tmp/Reinforcement-For-Robustness	refs/tags/stage2-rl-v10-shared-baseline-20260721	fa1aae942c632d9ff2b920a139be614167f48c5d
/hy-tmp/rfr-elastic-diff-premerge-823108bd	refs/heads/codex/bert-large-mrpc-exact-probe-scheduling-20260725	264e4002860818e87c1933006df678af8464d1c2
/hy-tmp/rfr-elastic-diff-premerge-823108bd	refs/heads/codex/stage2-k-presets-network-budget-20260728-server-sync	6f5ea845380b8746f8aed6fc19c2c2af23221378
/hy-tmp/rfr-elastic-diff-premerge-823108bd	refs/heads/codex/stage2-terminal-probe-opt-97079	3d89b99dd609a67799811a4bf995000bafe1436c
/hy-tmp/rfr-elastic-diff-premerge-823108bd	refs/tags/stage2-rl-v10-shared-baseline-20260721	fa1aae942c632d9ff2b920a139be614167f48c5d
/hy-tmp/rfr-elastic-diff-upstream-efc7e105	refs/heads/codex/bert-large-mrpc-exact-probe-scheduling-20260725	264e4002860818e87c1933006df678af8464d1c2
/hy-tmp/rfr-elastic-diff-upstream-efc7e105	refs/heads/codex/stage2-k-presets-network-budget-20260728-server-sync	6f5ea845380b8746f8aed6fc19c2c2af23221378
/hy-tmp/rfr-elastic-diff-upstream-efc7e105	refs/heads/codex/stage2-terminal-probe-opt-97079	3d89b99dd609a67799811a4bf995000bafe1436c
/hy-tmp/rfr-elastic-diff-upstream-efc7e105	refs/tags/stage2-rl-v10-shared-baseline-20260721	fa1aae942c632d9ff2b920a139be614167f48c5d
/hy-tmp/rfr-elastic-rl-gpu-scheduling-20260726	refs/heads/codex/bert-large-mrpc-exact-probe-scheduling-20260725	264e4002860818e87c1933006df678af8464d1c2
/hy-tmp/rfr-elastic-rl-gpu-scheduling-20260726	refs/heads/codex/stage2-k-presets-network-budget-20260728-server-sync	6f5ea845380b8746f8aed6fc19c2c2af23221378
/hy-tmp/rfr-elastic-rl-gpu-scheduling-20260726	refs/heads/codex/stage2-terminal-probe-opt-97079	3d89b99dd609a67799811a4bf995000bafe1436c
/hy-tmp/rfr-elastic-rl-gpu-scheduling-20260726	refs/tags/stage2-rl-v10-shared-baseline-20260721	fa1aae942c632d9ff2b920a139be614167f48c5d
