root	relative_path	storage	archive_path	raw_bytes	raw_lines	raw_sha256
run	launch_evidence/dataset_cache_verification.txt	small	small_files/run/launch_evidence/dataset_cache_verification.txt	81	2	89f512f35ee624fb29b7baad923e93cf5cd958477a332df929599b169b107d34
run	launch_evidence/gpu_selection.txt	small	small_files/run/launch_evidence/gpu_selection.txt	262	4	8c51554e3ad5791df78971d8f7a24b33aadf8a488b02ca72134a7154073f2989
run	launch_evidence/launch_command.sh	small	small_files/run/launch_evidence/launch_command.sh	1872	1	8f598e8609e385c2d6c04e7fca3770b5cee0382d46844b52e88eebf0ef7f386b
run	launch_evidence/launcher_exit_code.txt	small	small_files/run/launch_evidence/launcher_exit_code.txt	2	1	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa
run	launch_evidence/launcher_final_exit_code.txt	small	small_files/run/launch_evidence/launcher_final_exit_code.txt	2	1	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa
run	launch_evidence/launcher_final_stdout.log	small	small_files/run/launch_evidence/launcher_final_stdout.log	7451	69	b8c09113d2f62e3a6bcc946d6a146e97049165468581ccede4f1c077f11e2516
run	launch_evidence/launcher_retry_exit_code.txt	small	small_files/run/launch_evidence/launcher_retry_exit_code.txt	2	1	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa
run	launch_evidence/launcher_retry_stdout.log	small	small_files/run/launch_evidence/launcher_retry_stdout.log	7451	69	586342deddcec3a7ecd083e6fd3f4f58b65f287ba4862b5d69657e1d69b83fb4
run	launch_evidence/launcher_stdout.log	small	small_files/run/launch_evidence/launcher_stdout.log	7258	68	9e52460f1f6a282a946eaf691e65cf34594bd1e6b416647c567bf267327be8ab
run	launch_evidence/model_cache_verification.txt	small	small_files/run/launch_evidence/model_cache_verification.txt	193	2	9b37a89b596286745b1f9fa4dcc493609bb7cba053fa1e2f82a5dd800436d5b1
run	launch_evidence/runtime_verification.txt	small	small_files/run/launch_evidence/runtime_verification.txt	986	30	aeff13150ddfdaee01f447de1ae5e9b54d406e42b8e0204c009e085c9ce9a8b4
run	launch_evidence/source_provenance.txt	small	small_files/run/launch_evidence/source_provenance.txt	397	9	72f61b257d4de16e1ec2438bc5948ea6d7cfb688d4d268ae1237545334328f22
run	launch_evidence/stage1_config_source.txt	small	small_files/run/launch_evidence/stage1_config_source.txt	764	11	ae2bc5ea3038b1c64a0a293433c3887e246e7725654a9a257ec1be0ea8d32a79
run	logs/elastic_gpu_health_events.jsonl	small	small_files/run/logs/elastic_gpu_health_events.jsonl	6604	27	a06b0788d0d8df8c21fa21ad161dd0999db388ed79a69e1d06a6224a820958ce
run	logs/output.log	small	small_files/run/logs/output.log	26858	332	8027f14ca2e9516196a19e30f60a049b44ac1ef7b97777d87e2be07b24ee97ed
run	metadata.json	small	small_files/run/metadata.json	672	21	e0520e7bd1237f5373a043909c25329ccb2fb169b37f8eea7b00c23049fa3c1b
run	rl.pid	small	small_files/run/rl.pid	8		94214267b6fc04523c8891254b950e14ad527aabca22a24abb45488ea940e574
run	run.pid	small	small_files/run/run.pid	8		94214267b6fc04523c8891254b950e14ad527aabca22a24abb45488ea940e574
run	stage1/pruning_search_log.txt	small	small_files/run/stage1/pruning_search_log.txt	17547	250	562019f25e242b656681eb69c9f6cc7359c1e54f7c8c0883140b57a8b68e1c6a
run	stage2_noise/progress/blb_stage2_live_summary.md	small	small_files/run/stage2_noise/progress/blb_stage2_live_summary.md	1226	45	384575fe831c339c483c40e3a8db5a37648ce438d8951a4693eda788fd36d630
run	stage2_noise/progress/blb_stage2_rl_checkpoint_live.pt	small	small_files/run/stage2_noise/progress/blb_stage2_rl_checkpoint_live.pt	8528120		36956ac271a9590530b96f0e6382032def6b8583ba3f5e713bc1ad036439824e
run	stage2_noise/progress/blb_stage2_status.json	small	small_files/run/stage2_noise/progress/blb_stage2_status.json	247921	11010	0095e0eefbfeb7196738f85e4914fd9e843c1b9884fc84c1bd56e3e72e64fa7f
run	stage2_noise/progress/candidate_store.jsonl	gzip	streams/run__b8702a4daa7f__candidate_store.jsonl.gz	1264936109	76679	a56245e1d74f490b149652b505473ab2b9ece314574a5304cbdf3a5647845d20
run	stage2_noise/progress/diagnostics/action_histogram.npz	small	small_files/run/stage2_noise/progress/diagnostics/action_histogram.npz	897802		78b9cddbccb723a941c57d246f5785b538cefe909914280bf10877952f0d5532
run	stage2_noise/progress/diagnostics/baseline_action_vec.json	small	small_files/run/stage2_noise/progress/diagnostics/baseline_action_vec.json	1179958	59509	5155d2dae8f640ba6c13ab39891d63f7123f020d30f5c93b1da372df336b5620
run	stage2_noise/progress/diagnostics/best_action_vec.json	small	small_files/run/stage2_noise/progress/diagnostics/best_action_vec.json	1277462	63417	faa920d659bf118a6487a5274ea643b1cf37762a31cc37d5ae3912ed2b150d6e
run	stage2_noise/progress/diagnostics/blb_stage2_health.log	small	small_files/run/stage2_noise/progress/diagnostics/blb_stage2_health.log	7883	63	82d5cf7be1600be499d7a016b3776cd76b031afa8121cdb1009641aed2a418d3
run	stage2_noise/progress/diagnostics/diagnostics_summary.md	small	small_files/run/stage2_noise/progress/diagnostics/diagnostics_summary.md	33616	308	b5d91a1d2be1df98ca6e63f78075343376e2129774417542c03a137211411e98
run	stage2_noise/progress/diagnostics/episodes.jsonl	gzip	streams/run__88b692f1a0f7__episodes.jsonl.gz	491696261	33720	0e2c072a43f0f9bc6597536cd836a633c99b5e0851fefa0df00472879fd5a05f
run	stage2_noise/progress/diagnostics/first_invalid_counts.json	small	small_files/run/stage2_noise/progress/diagnostics/first_invalid_counts.json	2	0	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
run	stage2_noise/progress/diagnostics/pareto_frontier.html	small	small_files/run/stage2_noise/progress/diagnostics/pareto_frontier.html	4737	285	8d5ee7c5e68bfc98c462cb08c4762e8be17e4acf7544a2de2b882049eca30d3f
run	stage2_noise/progress/diagnostics/pareto_frontier.json	small	small_files/run/stage2_noise/progress/diagnostics/pareto_frontier.json	9020743	376406	9af2c4724bf657dbc91476ca35e727c16a2a81b795149574c12159a85f682ee4
run	stage2_noise/progress/diagnostics/pareto_frontier.jsonl	gzip	streams/run__d58eb810c283__pareto_frontier.jsonl.gz	4953216	6	5cd9fda086ce5c441ad904e52d6f7c07d7691c6f3d5c44603783e15296ccbae8
run	stage2_noise/progress/diagnostics/ppo_updates.jsonl	gzip	streams/run__386fffc74b70__ppo_updates.jsonl.gz	24711730	281	6c45d5c827af4272df603daf65631bc9fe1ee2f6e026b842aee5094a6679dcfd
run	stage2_noise/progress/diagnostics/top_candidates.jsonl	gzip	streams/run__c5445258486a__top_candidates.jsonl.gz	16537043	20	21edeab8d44f315ba1591ac966fce840de12358ffbebbfee3477107291adb7c5
run	stage2_noise/progress/layerwise_run_manifest.json	small	small_files/run/stage2_noise/progress/layerwise_run_manifest.json	278953	11201	82e3d09b3ebe7e980a36a69a0e4e5d69801618a1ef03633dc623206c548538cd
run	stage2_noise/progress/layerwise_summary.json	small	small_files/run/stage2_noise/progress/layerwise_summary.json	397376	18125	245548fd126b39dd3d05791ecf2c8771643e90215642982e66954a5775912546
run	stage2_noise/progress/rl_data_points_run_id.txt	small	small_files/run/stage2_noise/progress/rl_data_points_run_id.txt	155	1	30bdd2fd6b7ea4a81903fb514943f861a4b184d7dd20bfd7b4522dbfaebff512
run	stage2_noise/pruning_search_log.txt	small	small_files/run/stage2_noise/pruning_search_log.txt	65527	600	2ab5ae36b82c2f0400032d703882b31e32560d392f6fff6336968b69bfa765f5
structured	episodes.jsonl	gzip	streams/structured__fe5d4d21c801__episodes.jsonl.gz	493820672	33720	63f1c625ca0a63668e480fd319ea5392a2051eaabea5cb84159cab345068af0f
structured	manifest.json	small	small_files/structured/manifest.json	99340	3217	463d285ff1578ff4d73ca5fc621055621679bb52d5a05d28de85e53549899db2
structured	ppo_updates.jsonl	gzip	streams/structured__235fb35334b6__ppo_updates.jsonl.gz	24711730	281	a207f3137006eb9d3c43d26bc165bcf213a90c3cecd9cfc39e0f20897496e48e
structured	summary.json	small	small_files/structured/summary.json	397376	18125	245548fd126b39dd3d05791ecf2c8771643e90215642982e66954a5775912546
report	bert_large_rte_stage2_graceful_stop_33720_final_report.html	small	small_files/report/bert_large_rte_stage2_graceful_stop_33720_final_report.html	5948702	0	9a2f5bd08b790d311cd3eeb9f7bf6bc976c4623b8140f45c944edd372fbddace
report	blb_stage2_diagnostics_curve.png	small	small_files/report/blb_stage2_diagnostics_curve.png	296722		8efd00a8f9f1caae0b36af37336130443a2395c5f5c3d95d26c5e291a285ca61
report	blb_stage2_entropy_curve.png	small	small_files/report/blb_stage2_entropy_curve.png	81380		860dd351311ac3c0d225c023e1417094e5ec9daa28c1e8c6cf40a1a63f5300db
report	blb_stage2_layerwise_report.html	small	small_files/report/blb_stage2_layerwise_report.html	5337658	0	1471b296f574720e35c89d9fd3dc63a1efcfd8cd90be3088800af12927d57b23
report	blb_stage2_reward_paper.pdf	small	small_files/report/blb_stage2_reward_paper.pdf	156125		4d74988493bae56279ac4ad1fc652edb319281d1a614fa6f37507efe8008e30e
report	blb_stage2_reward_paper.png	small	small_files/report/blb_stage2_reward_paper.png	75820		beb9953de1b480fd3466d3f12305cf7d1c1f32ae58fc1a8d196141af9874a2d7
report	blb_stage2_search_log.txt	small	small_files/report/blb_stage2_search_log.txt	263	10	243e7e677e3650e158d8ae92b9a40b950e2a270805264c5632f328e5055038cb
report	blb_stage2_training_curve.npz	small	small_files/report/blb_stage2_training_curve.npz	1625712		80d538ee13c90998a667b568083ffd09405e2890c628c8799b968d2277af5fff
report	blb_stage2_training_curve.png	small	small_files/report/blb_stage2_training_curve.png	299739		917f5c93d5f3202821acf5ba0fabe528c6d8e0f42b90839cef65774fcdcac86c
